"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_lag_all","1.027276",".7454054"
"sp75_1311_c_lag_all",".6379267",".2439877"
"sp75_1400_1_c_lag_all",".441775",".3503902"
"sp75_1404_1_c_lag_all",".9063444",".708032"
"sp75_1405_1_c_lag_all",".8194009",".4222032"
"sp75_500_1_c_lag_all","1.311528",".6630433"
"sp75_501_c_lag_all","1.003425",".9702044"
"sp75_506_1_c_lag_all","1.066463",".5796114"
"sp75_507_1_c_lag_all","1.01118",".726189"
"sp75_508_1_c_lag_all",".8934003",".7043589"
"sp75_512_1_c_lag_all",".4625607",".0474214"
"sp75_811_c_lag_all","1.033588",".6206862"
"sp75_1002_c_lag_all",".9065896",".1434872"
"sp75_1003_2_c_lag_all","3.378829",".0327777"
"sp75_1322_c_lag_all","1","."
"sp75_1719_2_c_lag_all","1.484198",".0199611"
"sp75_212_c_lag_all","1.070289",".3591248"
"sp75_332_c_lag_all","1.056151",".642274"
"sp75_501_2_c_lag_all",".9503748",".6581639"
"sp75_502_c_lag_all",".7178325",".2270543"
"sp75_602_c_lag_all","1.053125",".2301094"
"sp75_812_c_lag_all",".8173081",".3579844"
"sp75_1003_c_lag_all",".9409301",".0701249"
"sp75_153_c_lag_all",".5311459",".3100656"
"sp75_203_c_lag_all",".9917945",".5677179"
"sp75_213_c_lag_all",".9266256",".8504268"
"sp75_343_c_lag_all","1.093198",".6850596"
"sp75_373_c_lag_all","1.165505",".7112959"
"sp75_503_c_lag_all",".9961917",".225251"
"sp75_523_c_lag_all",".9854774",".5621418"
"sp75_523_3_c_lag_all",".9815564",".0485301"
"sp75_603_c_lag_all","1.076817",".4294259"
"sp75_703_3_c_lag_all","1.083756",".3033837"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1404_c_lag_all",".356222",".0031623"
"sp75_1719_4_c_lag_all",".9828683",".7997815"
"sp75_204_c_lag_all","1.04198",".1236433"
"sp75_334_c_lag_all",".9494225",".1565159"
"sp75_524_c_lag_all",".968703",".8842063"
"sp75_604_c_lag_all","1.013033",".0680123"
"sp75_703_4_c_lag_all","1.132709",".6580273"
"sp48_25_c_lag_all",".9428275",".5401303"
"sp48_5_c_lag_all","1.10698",".4637555"
"sp75_1315_c_lag_all","1.239357",".8375307"
"sp75_1403_5_c_lag_all",".9991468",".952207"
"sp75_1405_c_lag_all","1.010307",".8134341"
"sp75_155_c_lag_all","1","."
"sp75_1725_c_lag_all",".9923178",".1020257"
"sp75_205_c_lag_all","1.449924",".0196503"
"sp75_215_c_lag_all",".4565712",".1966393"
"sp75_505_c_lag_all","1.085775",".5538884"
"sp75_605_c_lag_all","1.01495",".4897646"
"sp48_26_c_lag_all","1.051422",".5119607"
"sp48_6_c_lag_all","1.000019",".9998152"
"sp75_1316_c_lag_all",".7713394",".3180318"
"sp75_1403_6_c_lag_all","1.020283",".159538"
"sp75_156_c_lag_all",".6050437",".385691"
"sp75_1906_c_lag_all","1.150732",".0629643"
"sp75_1916_c_lag_all",".8620551",".1086184"
"sp75_606_c_lag_all",".9906646",".3263899"
"sp75_816_c_lag_all",".9394516",".1530395"
"sp75_906_c_lag_all","1.041217",".8699431"
"sp48_27_c_lag_all","1.047658",".6577499"
"sp48_7_c_lag_all","1.039361",".7023226"
"sp75_1403_7_c_lag_all",".9014281",".0592055"
"sp75_207_c_lag_all","1.243554",".1072281"
"sp75_327_c_lag_all","2.313",".6012444"
"sp75_337_c_lag_all",".9939662",".9326367"
"sp75_507_c_lag_all","1.122991",".0966913"
"sp75_607_c_lag_all","1.003043",".9388736"
"sp75_807_c_lag_all","1.016639",".2201492"
"sp75_817_c_lag_all","1.15164",".7755866"
"sp48_28_c_lag_all",".972211",".6875333"
"sp48_8_c_lag_all","1.173085",".1720243"
"sp75_1318_c_lag_all",".8316012",".6824238"
"sp75_1403_8_c_lag_all",".9747779",".0753942"
"sp75_208_c_lag_all",".9832119",".3293048"
"sp75_388_c_lag_all","1.089515",".286976"
"sp75_209_c_lag_all",".9998864",".9984648"
"sp75_389_c_lag_all",".7916481",".1742775"
"sp75_509_c_lag_all","1.456628",".0454831"
"sp75_100_c_lag_all","1.585788",".0504186"
"sp75_1400_c_lag_all","1.087424",".4392592"
"sp75_1403_10_c_lag_all","1.045438",".1157539"
"sp75_160_c_lag_all","1.53687",".1439639"
"sp75_1720_c_lag_all","1.072545",".0701791"
"sp75_340_c_lag_all","1.032543",".0849348"
"sp75_500_c_lag_all","1.042129",".5292818"
"sp75_510_c_lag_all","1","."
"sp75_810_c_lag_all",".9695788",".1732354"
"mine_time","1.002179",".6630721"
"onsite_insp_hours","1.0038","1.97e-13"
"longwall","1.731566",".0244101"
"1.state","1.027734",".9454266"
"3.state","1.419803",".1201525"
"4.state","4.944345","1.41e-06"
"5.state","1.932896",".0818084"
"6.state","1","."
"7.state","2.073946",".1690897"
"8.state","1","."
"9.state","1.346283",".261286"
"10.state","1.332376",".2454481"
"11.state","4.441708",".0003031"
"12.state","1.738625",".0000103"
"13.state","1.791597",".0078931"
"14.state",".3609695",".0001835"
"15.state","1.111645",".2621624"
"16.state","1.637681","1.53e-09"
"17.state","2.891218",".0064433"
"1.time","1","."
"2.time","1.482274",".0032748"
"3.time","1.568193",".0017475"
"4.time",".7702262",".0534037"
"5.time",".9540737",".7390948"
"6.time",".9490784",".7116727"
"7.time","1.204639",".2297574"
"8.time",".9485434",".7287852"
"9.time","1.055939",".7183949"
"10.time",".8644691",".3530062"
"11.time","1.235548",".1999411"
"12.time",".7777362",".1200671"
"13.time",".8911681",".5221727"
"14.time",".9010916",".552818"
"15.time","1.355884",".0764517"
"16.time",".6973182",".0404722"
"17.time",".7401835",".0809031"
"18.time",".6843362",".0245663"
"19.time",".7144982",".0530104"
"20.time",".5633646",".0008769"
"21.time",".6930598",".0387967"
"22.time",".6017278",".0031398"
"23.time",".701121",".0516993"
"24.time",".517392",".0002633"
"25.time",".6511382",".0240419"
"26.time",".5389784",".0004111"
"27.time",".6585039",".0199147"
"28.time",".5524244",".0016083"
"29.time",".5205935",".0003752"
"30.time",".4452159",".0000101"
"31.time",".5630147",".0020266"
"32.time",".456966",".0000119"
"33.time",".4475735",".0000168"
"34.time",".4576496",".0000464"
"35.time",".4367608","6.48e-06"
"36.time",".4497315","9.55e-06"
"37.time",".5128367",".0003265"
"38.time",".5265734",".0015722"
"39.time",".4074242",".0000118"
"40.time",".4556281",".0000673"
"41.time",".4358192",".000124"
"42.time",".4564282",".0001089"
"43.time",".6545762",".0478861"
"44.time",".3829765","4.96e-06"
"45.time",".4437398",".000111"
"46.time",".4260436",".000048"
"47.time",".5585371",".0040929"
"48.time",".4473672",".0001557"
"49.time",".3522676","3.88e-07"
"50.time",".4888755",".0006718"
"51.time",".4390657",".0002174"
"52.time",".1738071","2.18e-14"
"53.time",".3623433",".0000173"
"54.time",".3544941",".0000179"
"55.time",".2827348","4.12e-07"
"56.time",".2208198","6.37e-10"
"57.time",".2808008","1.01e-06"
"58.time",".2402956","5.90e-08"
"59.time",".2662795","1.91e-07"
"60.time",".3970166",".000784"
"61.time",".2859187","1.14e-06"
"62.time",".1694756","1.47e-11"
"63.time",".3173238",".0000141"
"64.time",".1872007","1.71e-09"
"N","19017",""
