"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag","1.000404",".4870875"
"sp48_24_pp_1lag","1.001486","6.66e-16"
"sp48_25_pp_1lag",".9993272",".5859101"
"sp48_26_pp_1lag","1.000907",".4490807"
"sp48_27_pp_1lag","1.000485",".6339789"
"sp48_28_pp_1lag",".99802",".1076913"
"sp48_4_pp_1lag",".9948385","1.10e-09"
"sp48_5_pp_1lag","1.001008",".6358271"
"sp48_6_pp_1lag",".9998715",".8609762"
"sp48_7_pp_1lag","1.000687",".1962819"
"sp48_8_pp_1lag","1.003169",".0520082"
"sp75_100_pp_1lag","1.000266",".873092"
"sp75_1002_pp_1lag","1.000329",".4007889"
"sp75_1003_pp_1lag",".9996304",".3769385"
"sp75_1003_2_pp_1lag",".9991232",".0080811"
"sp75_1311_pp_1lag","1.000247",".7430203"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag",".9977812",".218273"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9965173",".0001602"
"sp75_1400_1_pp_1lag",".9971806",".4689628"
"sp75_1403_10_pp_1lag","1.000717",".0004018"
"sp75_1403_5_pp_1lag",".9998752",".5153887"
"sp75_1403_6_pp_1lag",".9996255",".0057364"
"sp75_1403_7_pp_1lag","1.000154",".8197013"
"sp75_1403_8_pp_1lag",".9993057","6.08e-07"
"sp75_1404_pp_1lag","1.000929",".6184297"
"sp75_1404_1_pp_1lag",".9966955",".3497969"
"sp75_1405_pp_1lag",".9997794",".2863931"
"sp75_1405_1_pp_1lag",".9988045",".1170195"
"sp75_153_pp_1lag",".9975024",".3551409"
"sp75_156_pp_1lag","1.00044",".9088825"
"sp75_160_pp_1lag","1.016775",".0573392"
"sp75_1719_2_pp_1lag","1.000219",".8910335"
"sp75_1719_4_pp_1lag","1.000499",".3384154"
"sp75_1720_pp_1lag",".9997357",".5699658"
"sp75_1725_pp_1lag","1.000103",".1283553"
"sp75_1906_pp_1lag","1.001722",".0155936"
"sp75_1916_pp_1lag","1.001081",".1296064"
"sp75_203_pp_1lag","1.000562",".0270464"
"sp75_204_pp_1lag","1.000125",".6495304"
"sp75_205_pp_1lag","1.006841",".1550422"
"sp75_207_pp_1lag","1.002515",".205286"
"sp75_208_pp_1lag","1.0001",".6986846"
"sp75_209_pp_1lag","1.000114",".9179415"
"sp75_212_pp_1lag","1.000935",".112151"
"sp75_213_pp_1lag","1.003392","4.86e-11"
"sp75_215_pp_1lag",".9922411",".103749"
"sp75_332_pp_1lag",".9982739",".311309"
"sp75_334_pp_1lag",".9998017",".6954836"
"sp75_337_pp_1lag",".9998405",".7764881"
"sp75_340_pp_1lag","1.000085",".6853787"
"sp75_343_pp_1lag","1.000791",".2358119"
"sp75_373_pp_1lag","1.010365",".5061335"
"sp75_388_pp_1lag",".9992836",".567069"
"sp75_389_pp_1lag",".9994948",".6856316"
"sp75_500_pp_1lag",".9998032",".8648472"
"sp75_500_1_pp_1lag","1.001357",".6067797"
"sp75_501_pp_1lag",".998081",".2115312"
"sp75_501_2_pp_1lag",".9995795",".8526443"
"sp75_502_pp_1lag",".9982381",".5473948"
"sp75_503_pp_1lag","1.000047",".4009192"
"sp75_505_pp_1lag",".9985725",".4490315"
"sp75_506_1_pp_1lag","1.001597",".2385009"
"sp75_507_pp_1lag","1.000919",".2386353"
"sp75_507_1_pp_1lag",".9998188",".7049155"
"sp75_508_1_pp_1lag",".9750011","1.40e-13"
"sp75_509_pp_1lag","1.00174",".4033817"
"sp75_510_pp_1lag",".9918735",".0021088"
"sp75_512_1_pp_1lag",".9991549",".7929282"
"sp75_523_pp_1lag",".9988466",".1318896"
"sp75_523_3_pp_1lag",".9996434",".0256066"
"sp75_524_pp_1lag","1.004824",".0064615"
"sp75_602_pp_1lag","1.000133",".8047216"
"sp75_603_pp_1lag","1.001136",".1366278"
"sp75_604_pp_1lag","1.000163",".0813502"
"sp75_605_pp_1lag","1.00008",".7993659"
"sp75_606_pp_1lag",".9999655",".8191108"
"sp75_607_pp_1lag",".9991971",".2593034"
"sp75_703_3_pp_1lag","1.002077",".0255768"
"sp75_703_4_pp_1lag",".9995482",".9578717"
"sp75_807_pp_1lag","1.000269",".1045052"
"sp75_810_pp_1lag","1.001146",".0414678"
"sp75_811_pp_1lag","1.001238",".1584421"
"sp75_812_pp_1lag",".9984626",".3021656"
"sp75_816_pp_1lag",".9999677",".9391138"
"sp75_817_pp_1lag",".9994943",".6653435"
"sp75_906_pp_1lag",".9928322",".0934301"
"mine_time","1.001001",".4654122"
"onsite_insp_hours",".9996587",".0007351"
"longwall",".8002747",".0007464"
"1.state","1.150782",".1867435"
"2.state","1.617797","0"
"3.state",".6752863",".0002247"
"4.state","1.066758",".4650866"
"5.state",".8031499",".0218729"
"6.state",".8164768",".0000511"
"7.state","1.119812",".4542277"
"8.state",".4814105","0"
"9.state",".7203477","8.32e-07"
"10.state",".9069909",".3445857"
"11.state","1.334877",".2085178"
"12.state","1.066419",".3973673"
"13.state","1.492015",".0120791"
"14.state",".481493",".0002187"
"15.state",".7209429","6.17e-07"
"16.state","1","."
"17.state",".664794","3.88e-10"
"29.time","1.1836",".011607"
"30.time","1.278673",".0013462"
"31.time","1.465383","2.87e-08"
"32.time","1.189311",".0054745"
"33.time","1.110114",".0899035"
"34.time","1.085236",".2155967"
"35.time","1.224996",".0003577"
"36.time","1","."
"37.time","1.009576",".8666626"
"38.time",".9629805",".5653344"
"39.time","1.098991",".1102647"
"40.time",".9426184",".3678973"
"41.time",".9389169",".3796803"
"42.time",".9461334",".5202395"
"43.time","1.171998",".01574"
"44.time",".9294024",".296376"
"45.time",".9377554",".3103"
"46.time",".8845045",".0602918"
"47.time","1.025403",".6794217"
"48.time",".7862554",".0001714"
"49.time",".8709299",".0505352"
"50.time",".7617742",".0000177"
"51.time",".8724985",".0576681"
"52.time",".6878389","1.40e-06"
"53.time",".7696583",".0002618"
"54.time",".7389159",".000067"
"55.time",".8519877",".0363336"
"56.time",".6643092","6.56e-07"
"57.time",".7438313",".0000933"
"58.time",".7596849",".0004925"
"59.time",".8243439",".0099655"
"60.time",".7897585",".0021204"
"61.time",".7202993",".0000249"
"62.time",".6814935","7.38e-07"
"63.time",".9010712",".1958552"
"64.time",".6931697",".0000569"
"N","13965",""
