"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_c_lag_all","1.07325",".112666"
"sp48_25_ss_c_lag_all",".8736694",".0000228"
"sp48_26_ss_c_lag_all","1.15693",".0157776"
"sp48_27_ss_c_lag_all","1.07529",".1250823"
"sp48_28_ss_c_lag_all",".9297893",".2013534"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.028005",".7028716"
"sp48_6_ss_c_lag_all","1.062972",".4166987"
"sp48_7_ss_c_lag_all",".9552901",".3084809"
"sp48_8_ss_c_lag_all","1.039821",".7045651"
"sp75_100_ss_c_lag_all","1.204259",".232696"
"sp75_1002_ss_c_lag_all","1.112243",".011099"
"sp75_1003_ss_c_lag_all","1.012295",".1768442"
"sp75_1003_2_ss_c_lag_all","1.054114",".3759939"
"sp75_1311_ss_c_lag_all","1.033885",".8044758"
"sp75_1315_ss_c_lag_all",".8343468",".4711787"
"sp75_1316_ss_c_lag_all",".9640363",".6302607"
"sp75_1318_ss_c_lag_all",".6878654","6.58e-12"
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all","1.04257",".1698256"
"sp75_1400_1_ss_c_lag_all",".8193186",".2167724"
"sp75_1403_10_ss_c_lag_all","1.015474",".0833279"
"sp75_1403_5_ss_c_lag_all",".992167",".0041885"
"sp75_1403_6_ss_c_lag_all","1.009021",".0596759"
"sp75_1403_7_ss_c_lag_all",".9312804",".0099566"
"sp75_1403_8_ss_c_lag_all",".9922015",".0612171"
"sp75_1404_ss_c_lag_all","1.089957",".495912"
"sp75_1404_1_ss_c_lag_all",".5913538","1.30e-06"
"sp75_1405_ss_c_lag_all","1.009044",".4390178"
"sp75_1405_1_ss_c_lag_all","1.440386",".0581388"
"sp75_153_ss_c_lag_all","1.496698",".0286176"
"sp75_155_ss_c_lag_all",".4769719",".0201161"
"sp75_156_ss_c_lag_all",".3488575","0"
"sp75_1719_2_ss_c_lag_all","2.23938",".0014953"
"sp75_1719_4_ss_c_lag_all",".8687912",".1143543"
"sp75_1720_ss_c_lag_all","1.048627",".0282982"
"sp75_1725_ss_c_lag_all",".998458",".3279913"
"sp75_1906_ss_c_lag_all","1.756582",".0050268"
"sp75_1916_ss_c_lag_all",".884731",".0150904"
"sp75_203_ss_c_lag_all",".9864449",".0734069"
"sp75_204_ss_c_lag_all","1.025565",".1692008"
"sp75_205_ss_c_lag_all","1.712862","5.27e-12"
"sp75_207_ss_c_lag_all","1.313296",".0843883"
"sp75_208_ss_c_lag_all","1.014138",".1450061"
"sp75_209_ss_c_lag_all","1.000348",".9945949"
"sp75_212_ss_c_lag_all","1.024024",".182487"
"sp75_213_ss_c_lag_all","1.116078",".0559673"
"sp75_215_ss_c_lag_all","1.257364",".1947221"
"sp75_332_ss_c_lag_all",".881438",".0619277"
"sp75_334_ss_c_lag_all",".9624345",".1645252"
"sp75_337_ss_c_lag_all","1.008257",".7005979"
"sp75_340_ss_c_lag_all",".983172",".0319849"
"sp75_343_ss_c_lag_all",".9739143",".7504106"
"sp75_373_ss_c_lag_all","1.22e-07","0"
"sp75_388_ss_c_lag_all","1.067415",".2255556"
"sp75_389_ss_c_lag_all",".8849656",".4676714"
"sp75_500_ss_c_lag_all","1.141847",".2142609"
"sp75_500_1_ss_c_lag_all","1.008436",".9800076"
"sp75_501_ss_c_lag_all","1.254222",".0166463"
"sp75_501_2_ss_c_lag_all","1.013141",".9422821"
"sp75_502_ss_c_lag_all",".9436121",".6961797"
"sp75_503_ss_c_lag_all",".9975859",".1186154"
"sp75_505_ss_c_lag_all",".840105",".2729891"
"sp75_506_1_ss_c_lag_all","1.133501",".5013064"
"sp75_507_ss_c_lag_all","1.042058",".3576766"
"sp75_507_1_ss_c_lag_all","1.031343",".2872107"
"sp75_509_ss_c_lag_all","1.09459",".1968061"
"sp75_512_1_ss_c_lag_all","1.001307",".9950672"
"sp75_523_ss_c_lag_all",".9969368",".8542054"
"sp75_523_3_ss_c_lag_all",".9930376",".142589"
"sp75_524_ss_c_lag_all","1.242627",".0000872"
"sp75_602_ss_c_lag_all","1.06459",".1731076"
"sp75_603_ss_c_lag_all",".9719407",".2522109"
"sp75_604_ss_c_lag_all",".9965229",".087652"
"sp75_605_ss_c_lag_all","1.002788",".8736785"
"sp75_606_ss_c_lag_all","1.006683",".2818753"
"sp75_607_ss_c_lag_all",".9812947",".5852901"
"sp75_703_3_ss_c_lag_all","1.211707",".002427"
"sp75_807_ss_c_lag_all","1.017562",".1150709"
"sp75_810_ss_c_lag_all","1.04801",".3260851"
"sp75_811_ss_c_lag_all",".9728754",".706669"
"sp75_812_ss_c_lag_all",".8891165",".2069722"
"sp75_816_ss_c_lag_all","1.027459",".6218318"
"sp75_817_ss_c_lag_all",".8484726",".5779148"
"sp75_906_ss_c_lag_all",".6440145",".0146103"
"mine_time","1.001677",".4194584"
"onsite_insp_hours",".9999371",".5300483"
"longwall",".7333914","1.10e-07"
"1.state","1.249305",".0854733"
"3.state","1.073572",".4603052"
"4.state","1.519234","7.23e-07"
"5.state","1.170199",".1193413"
"6.state","1","."
"7.state","1.675192",".0047777"
"8.state","1.17e-07","0"
"9.state",".9955062",".9604857"
"10.state","1.20916",".1667802"
"11.state","3.618109","0"
"12.state","1.387396",".0000599"
"13.state","1.707231","6.69e-06"
"14.state",".6229071",".0009095"
"15.state",".9927537",".8960863"
"16.state","1.297032","2.41e-07"
"17.state","1.021876",".8997783"
"1.time","1","."
"2.time","1.152166",".0068645"
"3.time","1.264642",".0000102"
"4.time",".8807229",".0313277"
"5.time",".8964498",".069628"
"6.time",".986583",".8333272"
"7.time","1.164126",".0168271"
"8.time",".9051809",".1148108"
"9.time","1.003194",".9683533"
"10.time",".9498401",".4004364"
"11.time",".9845792",".8061175"
"12.time",".8447832",".0128021"
"13.time",".7942708",".0014685"
"14.time",".8639999",".0476573"
"15.time",".9179213",".1854431"
"16.time",".691927","7.40e-07"
"17.time",".7227919",".0000111"
"18.time",".7753502",".0002571"
"19.time",".8144452",".0037132"
"20.time",".6399057","6.43e-09"
"21.time",".6514385","1.27e-08"
"22.time",".6760088","1.75e-07"
"23.time",".796481",".0015282"
"24.time",".6514452","5.09e-08"
"25.time",".6836045","9.10e-07"
"26.time",".6305774","4.33e-10"
"27.time",".7771968",".000567"
"28.time",".6357864","1.38e-09"
"29.time",".634027","1.73e-10"
"30.time",".6131701","2.24e-08"
"31.time",".7787251",".0044507"
"32.time",".6595349","8.27e-08"
"33.time",".6036401","1.98e-11"
"34.time",".5936453","5.04e-11"
"35.time",".7112247",".0000834"
"36.time",".5815112","5.52e-12"
"37.time",".5882138","1.61e-13"
"38.time",".5869795","2.54e-10"
"39.time",".6057015","4.21e-09"
"40.time",".5206412","0"
"41.time",".4761432","0"
"42.time",".521008","1.72e-10"
"43.time",".6461869","7.56e-08"
"44.time",".5269276","5.17e-14"
"45.time",".5098815","8.88e-16"
"46.time",".4666891","0"
"47.time",".5330738","1.11e-15"
"48.time",".4218174","0"
"49.time",".4471316","0"
"50.time",".4281465","0"
"51.time",".5022611","1.21e-13"
"52.time",".363338","0"
"53.time",".4169192","0"
"54.time",".3852899","0"
"55.time",".4447377","0"
"56.time",".3634357","0"
"57.time",".4064061","0"
"58.time",".3978698","0"
"59.time",".4331959","0"
"60.time",".4332473","0"
"61.time",".3753023","0"
"62.time",".3335543","0"
"63.time",".4628075","3.11e-15"
"64.time",".3466148","0"
"N","19145",""
