"","est1",""
"","b","p"
"dv","",""
"sp48_11","1.064123",".1527471"
"sp75_1311","1.051947",".586606"
"sp75_1400_1","1.039524",".9161284"
"sp75_1404_1","1.161028",".599588"
"sp75_1405_1","1.202388",".351191"
"sp75_500_1",".7787807",".1235922"
"sp75_501","1.507144",".1257625"
"sp75_506_1","1.048704",".4016029"
"sp75_507_1","1.044056",".1849908"
"sp75_508_1",".7735577",".0099159"
"sp75_512_1",".8955082",".6512614"
"sp75_811","1.000112",".9976214"
"sp75_1002",".9881364",".6619351"
"sp75_1003_2","1.016123",".8182874"
"sp75_1322","1.881527",".1591268"
"sp75_1719_2",".9330204",".5114091"
"sp75_212","1.129213",".000608"
"sp75_332",".9093123",".2337078"
"sp75_501_2",".9004326",".2775514"
"sp75_502","1.158812",".2355058"
"sp75_602","1.041069",".3012591"
"sp75_812","1.090557",".5365364"
"sp75_1003",".9134595",".0004578"
"sp75_153","1.025551",".9124067"
"sp75_203","1.015891",".2186339"
"sp75_213","1.145663",".0795501"
"sp75_343","1.000082",".9985839"
"sp75_373",".9877198",".9849021"
"sp75_503","1.001351",".7431887"
"sp75_523",".9540679",".0736821"
"sp75_523_3",".9776066",".0185277"
"sp75_603","1.130374",".0366566"
"sp75_703_3",".9356617",".1466163"
"sp48_24",".9333126","7.13e-12"
"sp48_4",".4522544",".0001026"
"sp75_1404","1.0488",".8502733"
"sp75_1719_4","1.005935",".8319167"
"sp75_204","1.01829",".2807818"
"sp75_334","1.027734",".4587128"
"sp75_524",".9986127",".9923562"
"sp75_604","1.010568",".0929653"
"sp75_703_4","2.66e-08","0"
"sp48_25",".9333209",".3452897"
"sp48_5","1.19402",".0792276"
"sp75_1315","1.45416",".4011913"
"sp75_1403_5",".980361",".1594735"
"sp75_1405",".9773695",".2748719"
"sp75_155","1.042415",".8382335"
"sp75_1725","1.017352",".002472"
"sp75_205","1.239383",".1245223"
"sp75_215","1.069984",".7311798"
"sp75_505",".9768717",".8251872"
"sp75_605","1.001753",".9204906"
"sp48_26","1.094145",".0922026"
"sp48_6","1.085032",".1200985"
"sp75_1316",".8181256",".3502021"
"sp75_1403_6",".9928125",".4161854"
"sp75_156","1.063693",".5931747"
"sp75_1906","1.134391",".0025608"
"sp75_1916","1.072522",".1158044"
"sp75_606","1.007989",".454718"
"sp75_816",".9676258",".273708"
"sp75_906",".9272589",".6196249"
"sp48_27","1.056923",".3968898"
"sp48_7","1.076397",".1089188"
"sp75_1403_7",".9785353",".6428671"
"sp75_207","1.092122",".7318548"
"sp75_327","1.175797",".4973501"
"sp75_337",".9862201",".6523925"
"sp75_507","1.062661",".3315428"
"sp75_607",".9326395",".1348583"
"sp75_807","1.03256",".0034272"
"sp75_817",".9234502",".754017"
"sp48_28",".9515547",".5744394"
"sp48_8","1.164744",".05319"
"sp75_1318","1.628625",".2815762"
"sp75_1403_8",".9713584",".0115182"
"sp75_208","1.028104",".0936364"
"sp75_388","1.121556",".0776226"
"sp75_209",".9792073",".7112468"
"sp75_389","1.102591",".590153"
"sp75_509","1.276367",".0124145"
"sp75_100","1.340682",".0541909"
"sp75_1400","1.014843",".7572942"
"sp75_1403_10","1.006231",".6768673"
"sp75_160","1.149223",".5682925"
"sp75_1720","1.07942",".0147138"
"sp75_340","1.002577",".8553569"
"sp75_500",".9612705",".4373997"
"sp75_510",".8134203",".1653376"
"sp75_810","1.115796",".0633574"
"mine_time","1.002748",".0355801"
"onsite_insp_hours",".9997469",".0217368"
"longwall",".715289","9.11e-10"
"1.state","1.284568",".0195381"
"2.state","1.778411","0"
"3.state",".9777627",".8453239"
"4.state","1.360743",".0001881"
"5.state","1.067653",".3532344"
"6.state","1","."
"7.state","1.288193",".1358848"
"8.state",".7089801","1.36e-09"
"9.state",".9717272",".6128563"
"10.state","1.208325",".0508548"
"11.state","1.941829",".0000165"
"12.state","1.381516","4.73e-07"
"13.state","1.765233","2.89e-10"
"14.state",".6198498",".0014912"
"15.state",".9714466",".5576807"
"16.state","1.313462","1.74e-10"
"17.state","1.083298",".3040326"
"1.time",".9477881",".4086757"
"2.time","1.099985",".1333589"
"3.time","1.216044",".000875"
"4.time",".8547446",".0120228"
"5.time",".8590303",".0081896"
"6.time","1","."
"7.time","1.108053",".0607895"
"8.time",".8870127",".0401318"
"9.time",".9574096",".5511619"
"10.time",".9325391",".2719744"
"11.time","1.006388",".9214543"
"12.time",".8328728",".0053582"
"13.time",".7868085",".0007321"
"14.time",".8463126",".0207401"
"15.time",".9590125",".5271759"
"16.time",".6874058","1.50e-08"
"17.time",".7251851","6.34e-06"
"18.time",".7837903",".0004194"
"19.time",".8387636",".0072407"
"20.time",".6713314","1.24e-09"
"21.time",".6647449","2.81e-09"
"22.time",".7041387","1.95e-07"
"23.time",".7625999",".0000464"
"24.time",".6368436","2.53e-10"
"25.time",".6879813","4.77e-07"
"26.time",".6625637","2.21e-08"
"27.time",".760711",".0001914"
"28.time",".6195671","1.21e-10"
"29.time",".6104289","4.58e-11"
"30.time",".6443456","5.59e-08"
"31.time",".7551373",".0003633"
"32.time",".6046598","5.14e-11"
"33.time",".573381","2.22e-14"
"34.time",".5687088","1.25e-13"
"35.time",".6208905","2.87e-09"
"36.time",".5044769","0"
"37.time",".5144077","0"
"38.time",".5153872","4.44e-16"
"39.time",".5686523","5.37e-12"
"40.time",".4860878","0"
"41.time",".4839227","0"
"42.time",".4813983","0"
"43.time",".5940025","2.59e-11"
"44.time",".479315","0"
"45.time",".4775287","0"
"46.time",".4540461","0"
"47.time",".5279185","0"
"48.time",".4054702","0"
"49.time",".4515922","0"
"50.time",".38669","0"
"51.time",".4450451","0"
"52.time",".3478217","0"
"53.time",".3954431","0"
"54.time",".3762154","0"
"55.time",".4357667","0"
"56.time",".3459679","0"
"57.time",".3721022","0"
"58.time",".3865278","0"
"59.time",".4105276","0"
"60.time",".4018136","0"
"61.time",".3639809","0"
"62.time",".3422837","0"
"63.time",".4434615","0"
"64.time",".357204","0"
"N","28089",""
