"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_c_4lag","1.001142",".065443"
"p75_pp_c_4lag","1.00001",".2584017"
"mine_time","1.022187",".2722432"
"onsite_insp_hours","1.002643","3.08e-08"
"longwall",".2758469",".0273358"
"1.state","1.213468",".6257371"
"2.state",".8842485",".5182781"
"3.state","1.045983",".9252956"
"4.state","3.39535",".3069892"
"5.state",".8862383",".8022457"
"6.state",".4423068",".0000318"
"7.state","1","."
"8.state",".1192789","5.35e-07"
"9.state","1","."
"10.state",".499946",".1397922"
"11.state","1.870055",".4599198"
"12.state",".5074433",".0135803"
"13.state","1.342057",".8099487"
"14.state",".4874502",".0042053"
"15.state",".3816351",".0000149"
"16.state","1","."
"17.state","1","."
"8.time","1.385434",".0944983"
"9.time","1","."
"10.time","1.148081",".5315541"
"11.time",".8841254",".5574764"
"12.time","1.04314",".8481624"
"13.time",".7305232",".1357694"
"14.time","1.074226",".7827893"
"15.time",".6934474",".1441141"
"16.time",".4982766",".0104929"
"N","3296",""
