"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss_1lag","1.204969",".2601365"
"p75_ss_1lag","1.005606",".2220706"
"mine_time","1.020308",".3021768"
"onsite_insp_hours","1.003659","0"
"longwall",".4386401",".1763681"
"1.state","1.128147",".8748841"
"2.state",".664483",".0032277"
"3.state","1.515855",".3228606"
"4.state","4.720642",".0415554"
"5.state",".9377463",".898292"
"6.state",".4729767","1.70e-07"
"7.state","2.099874",".4715918"
"8.state",".8337986",".192177"
"9.state",".3027799",".0001032"
"10.state",".6769775",".3471738"
"11.state","3.180949",".1790073"
"12.state",".5225942",".0028055"
"13.state","1.858029",".3541338"
"14.state",".4861627",".0363391"
"15.state",".6231406",".0060967"
"16.state","1","."
"17.state","1","."
"1.time","1.030496",".8742932"
"2.time","1","."
"3.time",".6946923",".0594536"
"4.time",".9235089",".7261784"
"5.time",".5371183",".003934"
"6.time",".4879188",".0005845"
"7.time",".5006177",".0014001"
"8.time",".3287512","3.03e-07"
"9.time",".237694","5.68e-11"
"10.time",".278363","3.13e-07"
"11.time",".2057389","1.09e-10"
"12.time",".2497229","1.56e-08"
"13.time",".1757763","1.44e-12"
"14.time",".2632484","5.29e-06"
"15.time",".1653413","9.16e-10"
"16.time",".1123411","1.93e-12"
"N","6242",""
