"","est1",""
"","b","p"
"dv_indicator","",""
"p48_c_4lag","1.082766",".0050579"
"p75_c_4lag",".9997841",".6628146"
"mine_time","1.021368",".2803852"
"onsite_insp_hours","1.003899","8.88e-16"
"longwall",".4408861",".1786866"
"1.state","1.1575",".8467361"
"2.state",".6531489",".0023029"
"3.state","1.468882",".3720113"
"4.state","4.717563",".043369"
"5.state",".9435688",".9085763"
"6.state",".4828043","3.78e-07"
"7.state","2.203672",".4304365"
"8.state",".8202459",".1442155"
"9.state",".308224",".0001009"
"10.state",".6986669",".3929757"
"11.state","3.452265",".1523495"
"12.state",".512457",".0021624"
"13.state","1.848473",".3610112"
"14.state",".493104",".0425545"
"15.state",".63568",".0090071"
"16.state","1","."
"17.state","1","."
"1.time","1.017988",".9257653"
"2.time","1","."
"3.time",".6826176",".0486214"
"4.time",".9019053",".6505904"
"5.time",".5275976",".0030236"
"6.time",".474528",".0003427"
"7.time",".4907259",".0010714"
"8.time",".3248725","2.23e-07"
"9.time",".2303216","2.27e-11"
"10.time",".267616","1.22e-07"
"11.time",".2022482","6.20e-11"
"12.time",".243023","8.89e-09"
"13.time",".166139","2.64e-13"
"14.time",".2474496","1.70e-06"
"15.time",".1539761","2.09e-10"
"16.time",".1030767","1.93e-13"
"N","6242",""
