"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_lag_all","1.000025",".2454649"
"p75_pp_c_lag_all","1",".2285692"
"mine_time","1.006763",".276393"
"onsite_insp_hours",".9999128",".0201734"
"longwall",".7390315",".0000447"
"1.state","1.063394",".6261193"
"2.state","1.442574","1.66e-12"
"3.state",".7365175",".0099956"
"4.state","1.116304",".2617277"
"5.state",".794687",".0269336"
"6.state",".7952958",".0000458"
"7.state","1.180883",".3460648"
"8.state",".5157757","0"
"9.state",".7166916",".0000197"
"10.state",".8666608",".2598855"
"11.state","1.372877",".1996283"
"12.state","1.046326",".5645018"
"13.state","1.707815",".0032101"
"14.state",".5024925",".0001928"
"15.state",".6925494","6.43e-08"
"16.state","1","."
"17.state",".6958023","1.48e-06"
"8.time","1.132012",".0024957"
"9.time","1","."
"10.time",".8930555",".0039175"
"11.time",".8811052",".0084183"
"12.time",".8092007","2.38e-06"
"13.time",".7059072","1.61e-11"
"14.time",".6864349","1.40e-10"
"15.time",".672081","2.34e-12"
"16.time",".6358323","4.79e-13"
"N","3333",""
