"","est1",""
"","b","p"
"dv","",""
"p48_ss_1lag",".9921175",".6831327"
"p75_ss_1lag","1.002987","3.00e-08"
"mine_time","1.009343",".0923521"
"onsite_insp_hours",".9998731",".0001739"
"longwall",".6600296","4.01e-11"
"1.state",".9919059",".9402077"
"2.state","1.214902",".0000122"
"3.state",".8613673",".1708117"
"4.state","1.128744",".1992067"
"5.state",".84825",".0424123"
"6.state",".7611849","2.51e-09"
"7.state","1.044923",".8217741"
"8.state",".6399018","0"
"9.state",".7918721",".0000811"
"10.state",".8577337",".0896422"
"11.state","1.508329",".0180927"
"12.state","1.081609",".2239976"
"13.state","1.486534",".0001897"
"14.state",".5071001","2.61e-06"
"15.state",".7219955","3.49e-10"
"16.state","1","."
"17.state",".9062623",".1130851"
"1.time","1.050184",".2863883"
"2.time","1","."
"3.time",".9279538",".0949098"
"4.time",".8410559",".0017403"
"5.time",".7744608","7.80e-07"
"6.time",".6968691","3.36e-11"
"7.time",".6813019","8.56e-12"
"8.time",".6750795","1.29e-10"
"9.time",".5933483","0"
"10.time",".5352653","0"
"11.time",".5245582","0"
"12.time",".4901299","0"
"13.time",".43589","0"
"14.time",".4322681","0"
"15.time",".426036","0"
"16.time",".4074932","0"
"N","6253",""
