"","est1",""
"","b","p"
"dv","",""
"p48_1lag","1.003937",".4289249"
"p75_1lag","1.001038","9.05e-08"
"mine_time","1.009518",".087402"
"onsite_insp_hours",".9998467",".000027"
"longwall",".6590579","3.26e-11"
"1.state",".9971965",".979433"
"2.state","1.220672","7.35e-06"
"3.state",".8118237",".0663841"
"4.state","1.070583",".4540468"
"5.state",".8183491",".0138439"
"6.state",".7589138","2.29e-09"
"7.state","1.042565",".8331175"
"8.state",".6231437","0"
"9.state",".7743614",".0000162"
"10.state",".8806147",".1665326"
"11.state","1.513499",".0132141"
"12.state","1.088441",".1904766"
"13.state","1.496135",".0001779"
"14.state",".5040846","3.17e-06"
"15.state",".7230179","4.25e-10"
"16.state","1","."
"17.state",".8664068",".0186718"
"1.time","1.044385",".3498571"
"2.time","1","."
"3.time",".9219271",".0709177"
"4.time",".836488",".0013533"
"5.time",".7763539","1.16e-06"
"6.time",".6979999","5.63e-11"
"7.time",".6826659","1.62e-11"
"8.time",".6709029","9.56e-11"
"9.time",".5810127","0"
"10.time",".5180309","0"
"11.time",".5148647","0"
"12.time",".4820113","0"
"13.time",".4250586","0"
"14.time",".4171601","0"
"15.time",".4112677","0"
"16.time",".3897064","0"
"N","6253",""
