"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_1lag","1.017843",".1154743"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1.00313",".7701124"
"sp48_26_pp_1lag","1.003047",".4350965"
"sp48_27_pp_1lag",".9926409",".4323778"
"sp48_28_pp_1lag","1.028764",".2237662"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag",".9950144",".4693414"
"sp48_6_pp_1lag",".9993125",".8753262"
"sp48_7_pp_1lag","1.000377",".9321045"
"sp48_8_pp_1lag",".9935336",".301583"
"sp75_100_pp_1lag","1","."
"sp75_1002_pp_1lag","1.001507",".6090476"
"sp75_1003_pp_1lag","1","."
"sp75_1003_2_pp_1lag","1","."
"sp75_1311_pp_1lag",".976066",".0100956"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag",".9641208","4.12e-06"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9988746",".926632"
"sp75_1400_1_pp_1lag","1","."
"sp75_1403_10_pp_1lag","1.017773",".0087532"
"sp75_1403_5_pp_1lag","1.003128",".5134808"
"sp75_1403_6_pp_1lag","1.000337",".9208686"
"sp75_1403_7_pp_1lag",".9872991",".1243392"
"sp75_1403_8_pp_1lag","1","."
"sp75_1404_pp_1lag",".9486837",".003853"
"sp75_1404_1_pp_1lag","1","."
"sp75_1405_pp_1lag","1","."
"sp75_1405_1_pp_1lag","1","."
"sp75_153_pp_1lag","1","."
"sp75_156_pp_1lag","1","."
"sp75_160_pp_1lag","1.023195",".0714432"
"sp75_1719_2_pp_1lag",".974611",".0213619"
"sp75_1719_4_pp_1lag",".9961816",".2257368"
"sp75_1720_pp_1lag",".9996799",".9101825"
"sp75_1725_pp_1lag","1.001036",".145162"
"sp75_1906_pp_1lag",".9941996",".5700045"
"sp75_1916_pp_1lag",".9784674",".0944597"
"sp75_203_pp_1lag",".9999903",".9922008"
"sp75_204_pp_1lag","1.00272",".1071099"
"sp75_205_pp_1lag","1.005336",".7771527"
"sp75_207_pp_1lag",".9941509",".5889065"
"sp75_208_pp_1lag",".9953795",".0039061"
"sp75_209_pp_1lag",".9989965",".7602937"
"sp75_212_pp_1lag","1.048713",".02998"
"sp75_213_pp_1lag","1.007117",".8941734"
"sp75_215_pp_1lag","1","."
"sp75_332_pp_1lag","1.003219",".7991723"
"sp75_334_pp_1lag","1.003452",".3847455"
"sp75_337_pp_1lag","1.002118",".5630461"
"sp75_340_pp_1lag","1.007671",".0121618"
"sp75_343_pp_1lag","1","."
"sp75_373_pp_1lag","1","."
"sp75_388_pp_1lag",".9961255",".2113664"
"sp75_389_pp_1lag","1","."
"sp75_500_pp_1lag","1.002518",".6696416"
"sp75_500_1_pp_1lag","1","."
"sp75_501_pp_1lag","1.004266",".6225853"
"sp75_501_2_pp_1lag","1.023717",".1283345"
"sp75_502_pp_1lag","1","."
"sp75_503_pp_1lag",".9994809",".154206"
"sp75_505_pp_1lag","1.008874",".6010603"
"sp75_506_1_pp_1lag","1.011928",".6025756"
"sp75_507_pp_1lag",".9986086",".7767033"
"sp75_507_1_pp_1lag","1.003915",".1599064"
"sp75_508_1_pp_1lag","1","."
"sp75_509_pp_1lag","1","."
"sp75_510_pp_1lag","1","."
"sp75_512_1_pp_1lag","1","."
"sp75_523_pp_1lag",".9960214",".196533"
"sp75_523_3_pp_1lag",".9992172",".3367531"
"sp75_524_pp_1lag","1","."
"sp75_602_pp_1lag",".997485",".5708498"
"sp75_603_pp_1lag",".9934893",".2244856"
"sp75_604_pp_1lag","1.000674",".3300269"
"sp75_605_pp_1lag","1.001709",".4240488"
"sp75_606_pp_1lag",".9984723",".1739924"
"sp75_607_pp_1lag","1.005083",".2171247"
"sp75_703_3_pp_1lag","1.013302",".2922971"
"sp75_703_4_pp_1lag","1","."
"sp75_807_pp_1lag","1.00222",".1064888"
"sp75_810_pp_1lag",".9955664",".1095587"
"sp75_811_pp_1lag","1.009923",".0887862"
"sp75_812_pp_1lag","1","."
"sp75_816_pp_1lag",".9983013",".5550601"
"sp75_817_pp_1lag",".9679188",".0637328"
"sp75_906_pp_1lag",".9894637",".2318815"
"mine_time","1.011993",".5696296"
"onsite_insp_hours","1.002868","2.32e-10"
"longwall",".2681987",".0352235"
"1.state","1.219643",".6480414"
"2.state",".4378551",".0196379"
"3.state","1.035184",".9414162"
"4.state","3.61815",".2670061"
"5.state",".961559",".9413838"
"6.state",".4961618",".0003875"
"7.state","1","."
"8.state",".062926",".0000982"
"9.state","1","."
"10.state",".4484819",".0778486"
"11.state","1.550795",".6020048"
"12.state",".4830954",".0076493"
"13.state","1.604311",".692749"
"14.state",".5237546",".0081508"
"15.state",".4026048",".0000473"
"16.state","1","."
"17.state","1","."
"8.time","1.340261",".1678182"
"9.time","1","."
"10.time","1.169758",".5056599"
"11.time",".7764648",".2628555"
"12.time","1.055004",".8271039"
"13.time",".7481801",".1974897"
"14.time","1.028498",".9182856"
"15.time",".6602382",".1289112"
"16.time",".5046784",".0193609"
"N","2946",""
