"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss_c_4lag","1.475083",".067868"
"sp48_25_ss_c_4lag","1.235284",".5719094"
"sp48_26_ss_c_4lag","1.221361",".230417"
"sp48_27_ss_c_4lag",".8030953",".4139851"
"sp48_28_ss_c_4lag","1.374383",".2661189"
"sp48_4_ss_c_4lag","1","."
"sp48_5_ss_c_4lag","1.090482",".7444576"
"sp48_6_ss_c_4lag",".7929582",".1051516"
"sp48_7_ss_c_4lag","1.021254",".881358"
"sp48_8_ss_c_4lag","1.285447",".224996"
"sp75_100_ss_c_4lag",".838405",".6269357"
"sp75_1002_ss_c_4lag","1.335614",".1393237"
"sp75_1003_ss_c_4lag","1","."
"sp75_1003_2_ss_c_4lag","1","."
"sp75_1311_ss_c_4lag",".7134315",".498252"
"sp75_1315_ss_c_4lag",".5474952",".0267338"
"sp75_1316_ss_c_4lag",".6854271",".0773431"
"sp75_1318_ss_c_4lag","1","."
"sp75_1322_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag",".995171",".978664"
"sp75_1400_1_ss_c_4lag","1","."
"sp75_1403_10_ss_c_4lag","1.539596",".0223328"
"sp75_1403_5_ss_c_4lag",".9756818",".786953"
"sp75_1403_6_ss_c_4lag","1.030263",".7051311"
"sp75_1403_7_ss_c_4lag",".8252398",".112703"
"sp75_1403_8_ss_c_4lag","1","."
"sp75_1404_ss_c_4lag","1","."
"sp75_1404_1_ss_c_4lag",".3321731",".0098375"
"sp75_1405_ss_c_4lag","1.715299",".1966435"
"sp75_1405_1_ss_c_4lag","1","."
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag","1","."
"sp75_1719_2_ss_c_4lag",".2288939","0"
"sp75_1719_4_ss_c_4lag","1","."
"sp75_1720_ss_c_4lag","1.024667",".6794149"
"sp75_1725_ss_c_4lag","1.00618",".600212"
"sp75_1906_ss_c_4lag","1","."
"sp75_1916_ss_c_4lag","1","."
"sp75_203_ss_c_4lag",".9964786",".8478173"
"sp75_204_ss_c_4lag","1.130285",".0386467"
"sp75_205_ss_c_4lag","1","."
"sp75_207_ss_c_4lag","2.325658",".1221208"
"sp75_208_ss_c_4lag",".9140688",".0017707"
"sp75_209_ss_c_4lag","1.026378",".7634404"
"sp75_212_ss_c_4lag","1.226421",".1604235"
"sp75_213_ss_c_4lag","1","."
"sp75_215_ss_c_4lag","1","."
"sp75_332_ss_c_4lag",".6924037",".0311881"
"sp75_334_ss_c_4lag","1.036662",".7210134"
"sp75_337_ss_c_4lag",".8635268",".2236335"
"sp75_340_ss_c_4lag","1.094264",".1368493"
"sp75_343_ss_c_4lag","1","."
"sp75_373_ss_c_4lag","1","."
"sp75_388_ss_c_4lag","1.029258",".6974843"
"sp75_389_ss_c_4lag",".8221953",".4668386"
"sp75_500_ss_c_4lag","1.170015",".5110703"
"sp75_500_1_ss_c_4lag","1","."
"sp75_501_ss_c_4lag",".5253322",".1930033"
"sp75_501_2_ss_c_4lag",".4540406",".0004683"
"sp75_502_ss_c_4lag",".6859787",".1763956"
"sp75_503_ss_c_4lag","1.02097",".1688219"
"sp75_505_ss_c_4lag","1","."
"sp75_506_1_ss_c_4lag",".7771797",".506778"
"sp75_507_ss_c_4lag","1.13919",".4091166"
"sp75_507_1_ss_c_4lag",".9310679",".5600276"
"sp75_509_ss_c_4lag","1.539184",".3454723"
"sp75_512_1_ss_c_4lag",".2651548",".0865788"
"sp75_523_ss_c_4lag",".9325861",".0466673"
"sp75_523_3_ss_c_4lag",".9791574",".2408479"
"sp75_524_ss_c_4lag","1","."
"sp75_602_ss_c_4lag",".8863251",".5855071"
"sp75_603_ss_c_4lag",".9302453",".6684744"
"sp75_604_ss_c_4lag","1.020003",".2324485"
"sp75_605_ss_c_4lag","1.041551",".5054485"
"sp75_606_ss_c_4lag",".9462885",".040826"
"sp75_607_ss_c_4lag","1.324898",".0979406"
"sp75_703_3_ss_c_4lag","2.024796",".0781021"
"sp75_807_ss_c_4lag","1.006133",".897031"
"sp75_810_ss_c_4lag",".7808376",".1612912"
"sp75_811_ss_c_4lag",".5424334",".0886945"
"sp75_812_ss_c_4lag","1","."
"sp75_816_ss_c_4lag",".7439647",".0671789"
"sp75_817_ss_c_4lag","1","."
"sp75_906_ss_c_4lag",".7416356",".2463664"
"mine_time","1.009447",".630595"
"onsite_insp_hours","1.00376","0"
"longwall",".4901873",".2263921"
"1.state","1.071222",".9228377"
"2.state",".5868395",".000138"
"3.state","1.274471",".5880475"
"4.state","4.462941",".0533404"
"5.state",".8620734",".7714179"
"6.state",".5062639","3.33e-06"
"7.state","2.36556",".4984211"
"8.state",".8615607",".2769845"
"9.state",".2714288",".0000282"
"10.state",".6925508",".3789631"
"11.state","2.395098",".3044897"
"12.state",".5080535",".0018077"
"13.state","1.951665",".3003127"
"14.state",".4998982",".0621619"
"15.state",".6433056",".0122971"
"16.state","1","."
"17.state","1","."
"1.time",".9381033",".7396332"
"2.time","1","."
"3.time",".6875384",".0546084"
"4.time",".9307415",".7616128"
"5.time",".5073741",".0018006"
"6.time",".4688361",".000372"
"7.time",".4951547",".0011584"
"8.time",".3008592","4.53e-08"
"9.time",".2224642","1.74e-11"
"10.time",".2813661","8.01e-07"
"11.time",".1895512","4.75e-11"
"12.time",".2265609","1.31e-08"
"13.time",".1655311","1.28e-12"
"14.time",".2363466","9.74e-07"
"15.time",".1485337","2.85e-10"
"16.time",".1048664","1.56e-12"
"N","5776",""
