"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_lag_all","1.025208",".6320206"
"sp75_1311_c_lag_all","1.137787",".425073"
"sp75_1400_1_c_lag_all","1","."
"sp75_1404_1_c_lag_all","1","."
"sp75_1405_1_c_lag_all",".4295368",".0014855"
"sp75_500_1_c_lag_all","1","."
"sp75_501_c_lag_all",".95184",".429102"
"sp75_506_1_c_lag_all",".9474445",".5883084"
"sp75_507_1_c_lag_all","1.000603",".9833531"
"sp75_508_1_c_lag_all",".7067967",".0390872"
"sp75_512_1_c_lag_all","1","."
"sp75_811_c_lag_all","1.205471",".0574654"
"sp75_1002_c_lag_all",".975767",".6323354"
"sp75_1003_2_c_lag_all","1","."
"sp75_1322_c_lag_all","1","."
"sp75_1719_2_c_lag_all","1.074141",".7243624"
"sp75_212_c_lag_all","1.042676",".4870011"
"sp75_332_c_lag_all",".8877511",".2967805"
"sp75_501_2_c_lag_all",".8111398",".0014251"
"sp75_502_c_lag_all",".6921485",".0484277"
"sp75_602_c_lag_all","1.123991",".0216246"
"sp75_812_c_lag_all","1","."
"sp75_1003_c_lag_all","1","."
"sp75_153_c_lag_all","1","."
"sp75_203_c_lag_all","1.016531",".2170182"
"sp75_213_c_lag_all","1.071643",".8906614"
"sp75_343_c_lag_all","1","."
"sp75_373_c_lag_all",".8976598",".7970103"
"sp75_503_c_lag_all",".998167",".5027897"
"sp75_523_c_lag_all","1.019789",".2884057"
"sp75_523_3_c_lag_all",".9869883",".071997"
"sp75_603_c_lag_all","1.005212",".9382048"
"sp75_703_3_c_lag_all",".9895477",".8740209"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1404_c_lag_all",".8614604",".0603913"
"sp75_1719_4_c_lag_all","1.003469",".9680211"
"sp75_204_c_lag_all","1.019856",".3864436"
"sp75_334_c_lag_all",".9862286",".759844"
"sp75_524_c_lag_all","1.140798",".4860413"
"sp75_604_c_lag_all","1.019953",".0063318"
"sp75_703_4_c_lag_all","1","."
"sp48_25_c_lag_all","1.045779",".6289007"
"sp48_5_c_lag_all","1.058329",".6620084"
"sp75_1315_c_lag_all",".6874345",".1231444"
"sp75_1403_5_c_lag_all",".9743651",".1508672"
"sp75_1405_c_lag_all","1.409458",".1283973"
"sp75_155_c_lag_all","1","."
"sp75_1725_c_lag_all",".9963288",".4464277"
"sp75_205_c_lag_all",".9814899",".9346222"
"sp75_215_c_lag_all","1","."
"sp75_505_c_lag_all","1.562077",".0485238"
"sp75_605_c_lag_all","1.043461",".0631395"
"sp48_26_c_lag_all",".9628475",".27004"
"sp48_6_c_lag_all",".9221494",".1905716"
"sp75_1316_c_lag_all",".8723008",".4343559"
"sp75_1403_6_c_lag_all",".9780794",".1657344"
"sp75_156_c_lag_all",".8371692",".4684654"
"sp75_1906_c_lag_all",".8310444",".1258722"
"sp75_1916_c_lag_all","1.031244",".7102306"
"sp75_606_c_lag_all",".9855671",".1155287"
"sp75_816_c_lag_all","1.018597",".6260172"
"sp75_906_c_lag_all","1.286231",".6165498"
"sp48_27_c_lag_all",".9483454",".4399634"
"sp48_7_c_lag_all",".9049408",".0784629"
"sp75_1403_7_c_lag_all","1.011084",".8394683"
"sp75_207_c_lag_all","1.361579",".0179182"
"sp75_327_c_lag_all","1","."
"sp75_337_c_lag_all",".9723101",".5415791"
"sp75_507_c_lag_all",".9519554",".2106327"
"sp75_607_c_lag_all","1.114649",".0722955"
"sp75_807_c_lag_all",".9996365",".9777629"
"sp75_817_c_lag_all","1","."
"sp48_28_c_lag_all","1.191032",".0979136"
"sp48_8_c_lag_all","1.025649",".6994866"
"sp75_1318_c_lag_all",".9165669",".4879206"
"sp75_1403_8_c_lag_all","1.091376",".3623094"
"sp75_208_c_lag_all",".9644025",".0068148"
"sp75_388_c_lag_all","1.008328",".8374877"
"sp75_209_c_lag_all","1.042856",".2534432"
"sp75_389_c_lag_all","1.081287",".5956316"
"sp75_509_c_lag_all","1.360122",".010144"
"sp75_100_c_lag_all","1","."
"sp75_1400_c_lag_all",".9270444",".5404818"
"sp75_1403_10_c_lag_all",".9985299",".9523592"
"sp75_160_c_lag_all","1.984609",".0207576"
"sp75_1720_c_lag_all","1.066694",".0452828"
"sp75_340_c_lag_all","1.045835",".009735"
"sp75_500_c_lag_all","1.019263",".7341511"
"sp75_510_c_lag_all","1","."
"sp75_810_c_lag_all",".9565745",".0076597"
"mine_time",".9990065",".9633091"
"onsite_insp_hours","1.003804","0"
"longwall",".4227593",".2139586"
"1.state","1.042273",".9596242"
"2.state",".8034572",".1373159"
"3.state","1.307043",".5752527"
"4.state","5.109502",".0238458"
"5.state","1.144403",".8089281"
"6.state",".5229274",".0000105"
"7.state","3.476879",".4947349"
"8.state",".8579672",".2650048"
"9.state",".1768592",".0022218"
"10.state",".5897237",".1962334"
"11.state","2.497546",".3786625"
"12.state",".527759",".0047137"
"13.state","2.009982",".3022653"
"14.state",".5695224",".1327442"
"15.state",".6766245",".0368972"
"16.state","1","."
"17.state","1","."
"1.time",".9852556",".9381375"
"2.time","1","."
"3.time",".662369",".0340152"
"4.time",".8613817",".5139101"
"5.time",".5236113",".0038618"
"6.time",".4740197",".0004734"
"7.time",".5045449",".0016599"
"8.time",".3205564","3.46e-07"
"9.time",".2312511","6.28e-11"
"10.time",".2728153","5.75e-07"
"11.time",".1977693","4.66e-10"
"12.time",".242432","3.01e-08"
"13.time",".1660132","1.39e-12"
"14.time",".2335249","5.77e-07"
"15.time",".1528716","6.54e-10"
"16.time",".0946202","1.50e-12"
"N","5614",""
