"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag","1.001216",".0364599"
"sp48_24_pp_1lag","1.001538","0"
"sp48_25_pp_1lag","1.000309",".7034072"
"sp48_26_pp_1lag","1.001534",".0667848"
"sp48_27_pp_1lag",".9995474",".5270576"
"sp48_28_pp_1lag",".998685",".2151538"
"sp48_4_pp_1lag","1.008953",".0062227"
"sp48_5_pp_1lag",".999889",".9222686"
"sp48_6_pp_1lag","1.000279",".6395187"
"sp48_7_pp_1lag","1.000588",".1860502"
"sp48_8_pp_1lag","1.001041",".2975068"
"sp75_100_pp_1lag","1.003745",".0110124"
"sp75_1002_pp_1lag",".9999457",".823741"
"sp75_1003_pp_1lag",".9999303",".6955003"
"sp75_1003_2_pp_1lag",".9989813",".0547968"
"sp75_1311_pp_1lag",".9979518",".0187856"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag",".9987384",".5018522"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9988868",".163811"
"sp75_1400_1_pp_1lag",".9989306",".6407196"
"sp75_1403_10_pp_1lag","1.000122",".4144159"
"sp75_1403_5_pp_1lag",".9998843",".3936363"
"sp75_1403_6_pp_1lag",".9998878",".270632"
"sp75_1403_7_pp_1lag",".9998084",".6856127"
"sp75_1403_8_pp_1lag",".9998209",".0135349"
"sp75_1404_pp_1lag",".9983149",".4553135"
"sp75_1404_1_pp_1lag",".9968444",".0353797"
"sp75_1405_pp_1lag",".9999762",".9240954"
"sp75_1405_1_pp_1lag","1.00238",".0718627"
"sp75_153_pp_1lag",".9964215",".153888"
"sp75_156_pp_1lag",".9984819",".3948302"
"sp75_160_pp_1lag","1.014997",".0163146"
"sp75_1719_2_pp_1lag",".9981154",".112269"
"sp75_1719_4_pp_1lag","1.000103",".7586904"
"sp75_1720_pp_1lag","1.000338",".3721931"
"sp75_1725_pp_1lag","1.000094",".0132988"
"sp75_1906_pp_1lag","1.001188",".0269778"
"sp75_1916_pp_1lag","1.000582",".2807445"
"sp75_203_pp_1lag","1.000012",".9274644"
"sp75_204_pp_1lag","1.000309",".0724104"
"sp75_205_pp_1lag","1.000575",".7878004"
"sp75_207_pp_1lag","1.001009",".4618509"
"sp75_208_pp_1lag",".9999686",".8599741"
"sp75_209_pp_1lag",".9990354",".1894107"
"sp75_212_pp_1lag","1.001414",".0193281"
"sp75_213_pp_1lag","1.002109",".0037908"
"sp75_215_pp_1lag","1.002552",".0384694"
"sp75_332_pp_1lag",".9994185",".6085646"
"sp75_334_pp_1lag","1.000187",".656307"
"sp75_337_pp_1lag",".9995984",".1556161"
"sp75_340_pp_1lag","1.000073",".5542242"
"sp75_343_pp_1lag","1.000303",".6439074"
"sp75_373_pp_1lag","1","."
"sp75_388_pp_1lag","1.000341",".7134626"
"sp75_389_pp_1lag",".9983432",".3481568"
"sp75_500_pp_1lag","1.000389",".6940066"
"sp75_500_1_pp_1lag",".9979878",".4365469"
"sp75_501_pp_1lag",".999222",".5262926"
"sp75_501_2_pp_1lag","1.000143",".9229325"
"sp75_502_pp_1lag","1.005235",".0340036"
"sp75_503_pp_1lag",".9999954",".8809675"
"sp75_505_pp_1lag","1.000381",".7650773"
"sp75_506_1_pp_1lag","1.002034",".0055387"
"sp75_507_pp_1lag","1.000138",".7807591"
"sp75_507_1_pp_1lag",".999957",".8743793"
"sp75_508_1_pp_1lag",".9902973",".0000123"
"sp75_509_pp_1lag","1.001906",".1494403"
"sp75_510_pp_1lag",".9966478",".3072116"
"sp75_512_1_pp_1lag",".999211",".7355584"
"sp75_523_pp_1lag",".9993296",".1854626"
"sp75_523_3_pp_1lag",".9998117",".0804623"
"sp75_524_pp_1lag","1.002493",".0670058"
"sp75_602_pp_1lag",".999959",".9310219"
"sp75_603_pp_1lag","1.000377",".2066149"
"sp75_604_pp_1lag","1.000052",".2922642"
"sp75_605_pp_1lag","1.000182",".395705"
"sp75_606_pp_1lag",".999969",".7591628"
"sp75_607_pp_1lag",".9990888",".0178741"
"sp75_703_3_pp_1lag","1.000821",".2923549"
"sp75_703_4_pp_1lag",".9959552",".0447403"
"sp75_807_pp_1lag","1.000233",".0350262"
"sp75_810_pp_1lag","1.00104",".0205569"
"sp75_811_pp_1lag","1.001028",".047692"
"sp75_812_pp_1lag","1.000623",".6853545"
"sp75_816_pp_1lag","1.000039",".9010399"
"sp75_817_pp_1lag","1.001389",".6481053"
"sp75_906_pp_1lag",".9949978",".1033232"
"mine_time","1.009372",".1012517"
"onsite_insp_hours",".9998495",".00005"
"longwall",".7793557",".0005031"
"1.state","1.163183",".2571836"
"2.state","1.368639","2.91e-08"
"3.state",".7223217",".0075558"
"4.state","1.087276",".3560207"
"5.state",".8124445",".0490363"
"6.state",".8244522",".0005137"
"7.state","1.111266",".5879781"
"8.state",".4961243","0"
"9.state",".7451107",".0003113"
"10.state",".8864452",".3450607"
"11.state","1.366578",".2221233"
"12.state","1.097634",".2324918"
"13.state","1.79009",".0008705"
"14.state",".4958673",".0000794"
"15.state",".7369194","3.70e-06"
"16.state","1","."
"17.state",".7247888",".0000417"
"8.time","1.166409",".0004762"
"9.time","1","."
"10.time",".8968263",".0103265"
"11.time",".9017248",".0334605"
"12.time",".8424944",".0003978"
"13.time",".7307261","1.62e-08"
"14.time",".7093052","5.28e-08"
"15.time",".7036474","2.26e-08"
"16.time",".6761139","2.23e-09"
"N","3333",""
