"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss","1.050169",".3325461"
"sp48_25_ss",".9616964",".4205942"
"sp48_26_ss","1.113938",".1248779"
"sp48_27_ss",".9595059",".5320042"
"sp48_28_ss",".9712827",".6515264"
"sp48_4_ss",".672749",".1642346"
"sp48_5_ss","1.139075",".3010396"
"sp48_6_ss",".9834289",".8326929"
"sp48_7_ss","1.092854",".0531385"
"sp48_8_ss","1.220435",".2423396"
"sp75_100_ss","1.367804",".0528984"
"sp75_1002_ss",".9950119",".9180794"
"sp75_1003_ss",".9387866",".0854158"
"sp75_1003_2_ss",".9081106",".2236306"
"sp75_1311_ss",".8705373",".2494931"
"sp75_1315_ss",".9233489",".8134129"
"sp75_1316_ss",".8168078",".3391348"
"sp75_1318_ss","1.123319",".0855623"
"sp75_1322_ss","1","."
"sp75_1400_ss","1.191098",".0112173"
"sp75_1400_1_ss",".8448525",".5258929"
"sp75_1403_10_ss","1.029857",".0620986"
"sp75_1403_5_ss",".9807934",".1196363"
"sp75_1403_6_ss",".9916572",".4006997"
"sp75_1403_7_ss","1.011277",".7187684"
"sp75_1403_8_ss",".9805822",".0355735"
"sp75_1404_ss","1.296241",".3465846"
"sp75_1404_1_ss",".8049791",".0232768"
"sp75_1405_ss",".9734506",".0304501"
"sp75_1405_1_ss","1.393962",".0651836"
"sp75_153_ss","1.588872",".0008537"
"sp75_155_ss",".9126287",".4654329"
"sp75_156_ss","1.099345",".603134"
"sp75_1719_2_ss",".6845355",".4545896"
"sp75_1719_4_ss",".9529563",".5644963"
"sp75_1720_ss","1.069685",".018128"
"sp75_1725_ss","1.005074",".1483248"
"sp75_1906_ss","1.04517",".7480521"
"sp75_1916_ss","1.087807",".1934892"
"sp75_203_ss","1.008426",".5279721"
"sp75_204_ss","1.063188",".0071293"
"sp75_205_ss","1.64247",".0072796"
"sp75_207_ss","1.110412",".2679832"
"sp75_208_ss","1.014402",".3168249"
"sp75_209_ss","1.087473",".1001199"
"sp75_212_ss","1.094726",".057338"
"sp75_213_ss","1.116915",".1500458"
"sp75_215_ss","1.380828",".266557"
"sp75_332_ss",".8742467",".1580179"
"sp75_334_ss",".9932549",".8624605"
"sp75_337_ss",".9657857",".133053"
"sp75_340_ss","1.013175",".3188939"
"sp75_343_ss","1.043424",".5483118"
"sp75_373_ss","1","."
"sp75_388_ss","1.066499",".2813591"
"sp75_389_ss",".890132",".6261062"
"sp75_500_ss","1.034084",".7370554"
"sp75_500_1_ss",".6248627",".0252357"
"sp75_501_ss",".909756",".4056269"
"sp75_501_2_ss",".7248232",".2766802"
"sp75_502_ss","1.499328",".1030092"
"sp75_503_ss","1.010513",".0244368"
"sp75_505_ss",".8104068",".4062632"
"sp75_506_1_ss","1.208759",".2568463"
"sp75_507_ss","1.087825",".142209"
"sp75_507_1_ss",".993135",".8518875"
"sp75_509_ss","1.240694",".006736"
"sp75_512_1_ss","1.276025",".1212858"
"sp75_523_ss",".9126417","4.62e-06"
"sp75_523_3_ss",".9861817",".1494493"
"sp75_524_ss",".9777568",".9114971"
"sp75_602_ss",".9822385",".705229"
"sp75_603_ss","1.115913",".0648254"
"sp75_604_ss","1.003919",".3959358"
"sp75_605_ss","1.004195",".8570781"
"sp75_606_ss",".9988196",".9348163"
"sp75_607_ss","1.030332",".4941796"
"sp75_703_3_ss",".987833",".8226655"
"sp75_807_ss","1.016995",".3303494"
"sp75_810_ss","1.064989",".3563496"
"sp75_811_ss",".7778888",".0136133"
"sp75_812_ss",".8623148",".2235402"
"sp75_816_ss","1.087821",".2623723"
"sp75_817_ss","1.600495",".4373657"
"sp75_906_ss",".4252944","1.51e-09"
"mine_time","1.012273",".0266142"
"onsite_insp_hours",".9999237",".0403214"
"longwall",".7102341","5.56e-09"
"1.state",".9385817",".5552737"
"2.state","1.177886",".0008437"
"3.state",".792597",".0311308"
"4.state","1.071424",".3918746"
"5.state",".8058353",".0039427"
"6.state",".7423476","2.87e-11"
"7.state","1.010991",".9576355"
"8.state",".570579","0"
"9.state",".723907","7.64e-09"
"10.state",".9528942",".676585"
"11.state","1.477512",".0264174"
"12.state","1.021993",".7362561"
"13.state","1.504883",".0001041"
"14.state",".4628691","3.72e-07"
"15.state",".7132684","3.98e-11"
"16.state","1","."
"17.state",".7952575",".0007152"
"1.time","1.048141",".2778085"
"2.time","1","."
"3.time",".9503914",".28335"
"4.time",".8482549",".001624"
"5.time",".7898503","1.33e-06"
"6.time",".7131557","9.87e-12"
"7.time",".6950496","2.91e-12"
"8.time",".6719613","1.06e-12"
"9.time",".5856926","0"
"10.time",".5333277","0"
"11.time",".5214499","0"
"12.time",".4840349","0"
"13.time",".4293286","0"
"14.time",".4179666","0"
"15.time",".4085655","0"
"16.time",".3883341","0"
"N","6253",""
