"","est1",""
"","b","p"
"dv","",""
"sp48_11_c_4lag","1.019646",".0976074"
"sp75_1311_c_4lag",".9613895",".2273453"
"sp75_1400_1_c_4lag","1.032149",".6594653"
"sp75_1404_1_c_4lag",".9555864",".1589445"
"sp75_1405_1_c_4lag","1.073659",".0096057"
"sp75_500_1_c_4lag",".9361252",".3434074"
"sp75_501_c_4lag","1.018603",".3851896"
"sp75_506_1_c_4lag","1.017814",".2039272"
"sp75_507_1_c_4lag","1.00331",".6039511"
"sp75_508_1_c_4lag",".8071224",".0038044"
"sp75_512_1_c_4lag","1.006136",".8815079"
"sp75_811_c_4lag","1.013127",".2037643"
"sp75_1002_c_4lag",".9990289",".8582218"
"sp75_1003_2_c_4lag",".9849822",".3075656"
"sp75_1322_c_4lag","1.216589",".0463415"
"sp75_1719_2_c_4lag",".9891794",".6138809"
"sp75_212_c_4lag","1.019037",".049637"
"sp75_332_c_4lag",".9802293",".3568757"
"sp75_501_2_c_4lag",".9674778",".1664325"
"sp75_502_c_4lag","1.034468",".3332586"
"sp75_602_c_4lag","1.004737",".5662673"
"sp75_812_c_4lag","1.024082",".5127033"
"sp75_1003_c_4lag",".9937039",".1185299"
"sp75_153_c_4lag",".986825",".8326817"
"sp75_203_c_4lag","1.001805",".4787591"
"sp75_213_c_4lag","1.062534",".0018992"
"sp75_343_c_4lag","1.006475",".6550527"
"sp75_373_c_4lag",".9435664",".5829818"
"sp75_503_c_4lag",".9998811",".8626515"
"sp75_523_c_4lag",".9869393",".0159405"
"sp75_523_3_c_4lag",".9956878",".0199262"
"sp75_603_c_4lag","1.017239",".1574713"
"sp75_703_3_c_4lag","1.000107",".9935204"
"sp48_24_c_4lag","1.036141","0"
"sp48_4_c_4lag","1.094877",".3209904"
"sp75_1404_c_4lag",".9372206",".3325939"
"sp75_1719_4_c_4lag","1.000577",".9233445"
"sp75_204_c_4lag","1.002899",".4253024"
"sp75_334_c_4lag","1.002984",".6885006"
"sp75_524_c_4lag","1.000724",".9888867"
"sp75_604_c_4lag","1.002039",".0708524"
"sp75_703_4_c_4lag",".8310202",".0001588"
"sp48_25_c_4lag",".9979368",".9006523"
"sp48_5_c_4lag","1.005577",".8230821"
"sp75_1315_c_4lag",".7209703",".0125867"
"sp75_1403_5_c_4lag",".9959994",".0124733"
"sp75_1405_c_4lag",".9945439",".2013934"
"sp75_155_c_4lag","1.007326",".918731"
"sp75_1725_c_4lag","1.001172",".1588176"
"sp75_205_c_4lag","1.096425",".0000494"
"sp75_215_c_4lag","1.037832",".6392808"
"sp75_505_c_4lag","1.009176",".7678358"
"sp75_605_c_4lag",".9979554",".5919072"
"sp48_26_c_4lag","1.037497",".0153403"
"sp48_6_c_4lag",".9999694",".9982999"
"sp75_1316_c_4lag",".9470263",".2151714"
"sp75_1403_6_c_4lag",".9996855",".8431592"
"sp75_156_c_4lag",".9011658",".0659756"
"sp75_1906_c_4lag","1.034746",".0001901"
"sp75_1916_c_4lag","1.008289",".3998326"
"sp75_606_c_4lag",".9977865",".297422"
"sp75_816_c_4lag","1.004934",".4769313"
"sp75_906_c_4lag",".9166285",".0311429"
"sp48_27_c_4lag","1.003154",".8647841"
"sp48_7_c_4lag","1.014339",".2435027"
"sp75_1403_7_c_4lag",".9971592",".7385652"
"sp75_207_c_4lag","1.013537",".5195856"
"sp75_327_c_4lag",".9382532",".2811989"
"sp75_337_c_4lag",".987409",".1191928"
"sp75_507_c_4lag","1.013259",".2143954"
"sp75_607_c_4lag",".9893645",".1347716"
"sp75_807_c_4lag","1.005482",".0152499"
"sp75_817_c_4lag",".9535485",".3887972"
"sp48_28_c_4lag",".9896563",".6215665"
"sp48_8_c_4lag","1.057964",".0577657"
"sp75_1318_c_4lag",".9496329",".4546788"
"sp75_1403_8_c_4lag",".9982728",".2279653"
"sp75_208_c_4lag",".9989081",".7724583"
"sp75_388_c_4lag","1.009037",".5689983"
"sp75_209_c_4lag","1.008585",".5784773"
"sp75_389_c_4lag",".9898969",".7903262"
"sp75_509_c_4lag","1.065696",".0160592"
"sp75_100_c_4lag","1.087432",".0086316"
"sp75_1400_c_4lag","1.006422",".5464364"
"sp75_1403_10_c_4lag",".9995721",".8778301"
"sp75_160_c_4lag","1.071134",".4574135"
"sp75_1720_c_4lag","1.015757",".0704659"
"sp75_340_c_4lag",".9992363",".7231495"
"sp75_500_c_4lag","1.000103",".9941844"
"sp75_510_c_4lag",".9727836",".5929087"
"sp75_810_c_4lag","1.013292",".1396348"
"mine_time","1.011723",".0339013"
"onsite_insp_hours",".9999201",".0279276"
"longwall",".719388","3.07e-08"
"1.state",".954619",".7155271"
"2.state","1.143472",".0051271"
"3.state",".7526497",".0091345"
"4.state","1.026948",".7382175"
"5.state",".7926223",".0021509"
"6.state",".7557032","2.66e-10"
"7.state","1.02779",".8935098"
"8.state",".5535112","0"
"9.state",".7115254","4.57e-09"
"10.state",".9250699",".437735"
"11.state","1.519169",".0095029"
"12.state","1.05215",".4340746"
"13.state","1.482454",".000184"
"14.state",".4618435","4.57e-07"
"15.state",".7350268","1.78e-09"
"16.state","1","."
"17.state",".8164232",".0022572"
"1.time","1.070008",".128757"
"2.time","1","."
"3.time",".928991",".1252567"
"4.time",".8455502",".0012749"
"5.time",".7917319","1.35e-06"
"6.time",".7127122","1.53e-11"
"7.time",".6920512","9.61e-13"
"8.time",".676619","8.86e-12"
"9.time",".5859998","0"
"10.time",".5212734","0"
"11.time",".5162287","0"
"12.time",".484748","0"
"13.time",".4231287","0"
"14.time",".4053818","0"
"15.time",".4033398","0"
"16.time",".3777883","0"
"N","6253",""
