"","est1",""
"","b","p"
"dv","",""
"p47",".3493859",".0097663"
"p48","1.070268",".1151221"
"p71",".6094237",".074354"
"p72","1.076122",".3558989"
"p75",".9981667",".2908501"
"p77",".9589812",".0249307"
"mine_time","1.001906",".913155"
"onsite_insp_hours","1.000097",".6599347"
"4.state","1.444583",".0133731"
"5.state",".7888556",".043723"
"6.state","1.014979",".8847307"
"11.state",".8968906",".1867067"
"12.state","1.204366",".2482615"
"13.state",".5948153",".0041729"
"14.state","1.085646",".2543724"
"15.state",".7589079",".023223"
"16.state","1","."
"1.time","1","."
"2.time","1.272119",".3895251"
"3.time","1.368765",".2271801"
"4.time",".9884958",".9665847"
"5.time","1.299191",".2320761"
"6.time",".6180444",".0956941"
"7.time",".9336277",".8278773"
"8.time","1.121316",".6732443"
"9.time",".7925058",".4942678"
"10.time","1.530869",".141789"
"11.time",".8624625",".6577871"
"12.time",".8217915",".5588018"
"13.time",".6762866",".2918963"
"14.time","1.087081",".8231669"
"15.time","1.188609",".6307586"
"16.time",".6851414",".3599017"
"17.time",".7035653",".3672153"
"18.time",".4990607",".1944986"
"19.time",".8575128",".7081971"
"20.time",".8310326",".6707021"
"21.time",".457752",".1255768"
"22.time",".5843132",".3357924"
"23.time",".5884483",".3140819"
"24.time",".7023425",".5260765"
"25.time",".40626",".1404167"
"26.time",".3911142",".0896114"
"27.time",".5780725",".3472027"
"28.time",".4706826",".2661462"
"29.time",".3986532",".118478"
"30.time",".5012662",".2688161"
"31.time",".6273718",".5219706"
"32.time",".4945988",".3136672"
"33.time",".3752731",".1803788"
"34.time",".4106345",".1757243"
"35.time",".3970237",".2081027"
"36.time",".4534059",".2888043"
"37.time",".517026",".3729269"
"38.time",".4937379",".351655"
"39.time",".3938925",".2663298"
"40.time",".5178151",".4311948"
"41.time",".3804451",".2404089"
"42.time",".2578161",".0901413"
"43.time",".3735816",".3174929"
"44.time",".313999",".2639867"
"45.time",".3185622",".2489786"
"46.time",".3473341",".2455405"
"47.time",".6820378",".6573021"
"48.time",".5195484",".4573295"
"49.time",".3520435",".3278784"
"50.time",".3878467",".383477"
"51.time",".4457506",".4345109"
"52.time",".3016114",".264983"
"53.time",".3316563",".3450826"
"N","2101",""
