"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_1lag",".9915519",".0944678"
"sp47_42_pp_1lag",".8617342","0"
"sp47_44_pp_1lag","1.006092",".7014879"
"sp48_11_pp_1lag",".9978557",".5564655"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1","."
"sp48_26_pp_1lag",".9957231",".4679144"
"sp48_27_pp_1lag","1.015876",".0019036"
"sp48_28_pp_1lag",".835945","6.66e-16"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag","1.099918",".0089874"
"sp48_6_pp_1lag",".7637098","0"
"sp48_7_pp_1lag","1.005983",".0040596"
"sp48_8_pp_1lag","1.001448",".7601566"
"sp71_701_pp_1lag","1","."
"sp72_503_pp_1lag","1.003633",".7668319"
"sp72_610_pp_1lag","1","."
"sp72_620_pp_1lag","1.022365",".0068181"
"sp72_630_pp_1lag",".9979177",".0278493"
"sp75_100_pp_1lag",".9977742",".8324475"
"sp75_1001_1_pp_1lag","1","."
"sp75_1001_pp_1lag","1","."
"sp75_1003_1_pp_1lag","1","."
"sp75_1100_2_pp_1lag","1.001813",".1060551"
"sp75_1101_20_pp_1lag","1","."
"sp75_1102_pp_1lag",".995551",".4027111"
"sp75_1103_4_pp_1lag","1.000769",".5216423"
"sp75_1104_pp_1lag","1.003237",".2589805"
"sp75_1106_2_pp_1lag","1.004834",".3349333"
"sp75_1106_3_pp_1lag",".9974859",".2168922"
"sp75_1106_4_pp_1lag",".9507996",".0000876"
"sp75_1106_5_pp_1lag","1.011513",".0347289"
"sp75_1106_6_pp_1lag","1","."
"sp75_1106_pp_1lag",".95248",".0544426"
"sp75_1107_14_pp_1lag","1","."
"sp75_1400_1_pp_1lag","1","."
"sp75_1400_2_pp_1lag",".9804951",".3370193"
"sp75_1400_3_pp_1lag",".9924702",".1103671"
"sp75_1400_4_pp_1lag","1.017139",".0761636"
"sp75_1400_pp_1lag","1.00446",".6442256"
"sp75_1401_1_pp_1lag","1","."
"sp75_1401_pp_1lag","1.235747","0"
"sp75_1403_10_pp_1lag",".9955878",".1269184"
"sp75_1403_11_pp_1lag","1.02675",".1517109"
"sp75_1403_3_pp_1lag","1.113939",".0032355"
"sp75_1403_4_pp_1lag","1.09932",".0348178"
"sp75_1403_5_pp_1lag",".9991162",".6483825"
"sp75_1403_6_pp_1lag","1.001573",".523965"
"sp75_1403_7_pp_1lag",".9864795",".0326961"
"sp75_1403_8_pp_1lag","1.01086",".1959011"
"sp75_1403_9_pp_1lag","1","."
"sp75_1404_1_pp_1lag","1","."
"sp75_1404_pp_1lag","1","."
"sp75_1405_1_pp_1lag","1","."
"sp75_1405_pp_1lag",".8320219","0"
"sp75_1431_pp_1lag","1","."
"sp75_1432_pp_1lag","1.025634",".0038017"
"sp75_1433_pp_1lag","1.004213",".5028831"
"sp75_1434_pp_1lag","1.045392",".0713973"
"sp75_1435_pp_1lag","1.04754","3.26e-06"
"sp75_1437_pp_1lag","1","."
"sp75_150_pp_1lag","1","."
"sp75_151_pp_1lag",".7824147","0"
"sp75_153_pp_1lag","1","."
"sp75_156_pp_1lag","1","."
"sp75_160_pp_1lag","1","."
"sp75_1600_2_pp_1lag",".9957852",".4176852"
"sp75_1712_10_pp_1lag",".7355566","0"
"sp75_1712_6_pp_1lag","1.006858",".4625333"
"sp75_1720_pp_1lag",".9945203",".4177989"
"sp75_1721_pp_1lag","1","."
"sp75_1725_pp_1lag","1.001306",".00468"
"sp75_1726_pp_1lag","1.001744",".7139816"
"sp75_1727_pp_1lag","1","."
"sp75_1728_pp_1lag","1","."
"sp75_1729_pp_1lag","1.115886",".0012143"
"sp75_1730_pp_1lag","1","."
"sp75_1731_pp_1lag","1.000535",".3231296"
"sp75_1903_pp_1lag",".9986812",".8109729"
"sp75_1909_pp_1lag","1.001019",".1005638"
"sp75_1910_pp_1lag","1.000023",".9826738"
"sp75_1911_pp_1lag",".9987748",".2708376"
"sp75_1912_pp_1lag",".9760203",".0177313"
"sp75_1913_pp_1lag",".6602523","0"
"sp75_1914_pp_1lag",".9963536",".0000148"
"sp75_1915_pp_1lag","1.004485",".4498061"
"sp75_202_pp_1lag",".9995857",".2355255"
"sp75_208_pp_1lag","1.005589",".0063441"
"sp75_211_pp_1lag","1.002713",".0518385"
"sp75_212_pp_1lag",".998969",".8430844"
"sp75_214_pp_1lag",".9961454",".3638372"
"sp75_312_pp_1lag",".9991977",".6194555"
"sp75_320_pp_1lag",".9989328",".6863102"
"sp75_324_pp_1lag",".9733361",".0888852"
"sp75_337_pp_1lag",".9928009",".2818115"
"sp75_340_pp_1lag",".996691",".0100223"
"sp75_341_pp_1lag","1","."
"sp75_342_pp_1lag","1.00012",".8944483"
"sp75_344_pp_1lag",".9776795",".2656625"
"sp75_352_pp_1lag",".9975907",".6646869"
"sp75_382_pp_1lag","1.010621",".0008168"
"sp75_503_pp_1lag","1.000368",".3453886"
"sp75_504_pp_1lag",".8187721","0"
"sp75_505_pp_1lag","1","."
"sp75_506_1_pp_1lag",".9821263",".0257617"
"sp75_506_pp_1lag",".9987455",".9330331"
"sp75_507_pp_1lag","1.001694",".7101923"
"sp75_511_1_pp_1lag","1","."
"sp75_511_pp_1lag",".9809244",".1280334"
"sp75_512_1_pp_1lag",".9962758",".8573061"
"sp75_512_2_pp_1lag","1.001028",".5840242"
"sp75_512_pp_1lag",".9982496",".0019052"
"sp75_513_1_pp_1lag",".9836366",".3138876"
"sp75_513_pp_1lag",".9739214",".0213677"
"sp75_514_pp_1lag","1.000054",".9826769"
"sp75_515_pp_1lag",".9974809",".0032198"
"sp75_516_1_pp_1lag","1","."
"sp75_516_2_pp_1lag",".9982898",".5415809"
"sp75_516_pp_1lag",".9988177",".4172864"
"sp75_517_1_pp_1lag","1.012842",".2715831"
"sp75_517_pp_1lag",".9994465",".0657913"
"sp75_518_1_pp_1lag","1.013501",".1070321"
"sp75_518_pp_1lag",".9984036",".3474376"
"sp75_519_pp_1lag","1","."
"sp75_520_pp_1lag","1.012056",".0010587"
"sp75_523_1_pp_1lag","1.001428",".8394152"
"sp75_523_2_pp_1lag","1.00149",".4715852"
"sp75_523_pp_1lag",".9982603",".6190909"
"sp75_600_1_pp_1lag",".792697","3.14e-12"
"sp75_600_pp_1lag","1.057686",".05346"
"sp75_601_1_pp_1lag","1.000386",".7932026"
"sp75_601_2_pp_1lag","1","."
"sp75_601_3_pp_1lag","1","."
"sp75_601_pp_1lag",".996952",".1007073"
"sp75_602_pp_1lag","1.011752",".0928261"
"sp75_603_pp_1lag","1.006932",".4149456"
"sp75_604_pp_1lag","1.001464",".0145532"
"sp75_605_pp_1lag",".9972641",".1020764"
"sp75_606_pp_1lag","1.002282",".007177"
"sp75_607_pp_1lag","1.004872",".0868171"
"sp75_700_1_pp_1lag",".8047251","0"
"sp75_700_pp_1lag",".9947839",".3349365"
"sp75_701_1_pp_1lag","1.004092",".3471884"
"sp75_701_2_pp_1lag",".9960839",".4454366"
"sp75_701_3_pp_1lag",".9756129",".0005664"
"sp75_701_4_pp_1lag",".7528629","0"
"sp75_701_5_pp_1lag","1","."
"sp75_701_pp_1lag","1.000927",".4657354"
"sp75_702_1_pp_1lag",".7527482","0"
"sp75_702_pp_1lag","1","."
"sp75_703_1_pp_1lag","1.08684",".0011927"
"sp75_703_2_pp_1lag",".7726381","0"
"sp75_703_3_pp_1lag","1.000488",".9469667"
"sp75_703_4_pp_1lag","1","."
"sp75_703_pp_1lag","1.002001",".7579503"
"sp75_704_pp_1lag","1","."
"sp75_705_1_pp_1lag",".8148833","0"
"sp75_705_3_pp_1lag","1","."
"sp75_705_8_pp_1lag","1","."
"sp75_705_pp_1lag","1","."
"sp75_706_pp_1lag",".9963931",".629584"
"sp75_800_2_pp_1lag",".7780464","0"
"sp75_800_3_pp_1lag","1.019839",".0648813"
"sp75_800_4_pp_1lag",".9957553",".6889194"
"sp75_800_pp_1lag","1.018747",".1131152"
"sp75_801_pp_1lag","1","."
"sp75_802_pp_1lag","1.036244",".0473113"
"sp75_803_2_pp_1lag","1","."
"sp75_803_pp_1lag","1.00644",".4744398"
"sp75_804_pp_1lag",".790898","0"
"sp75_805_pp_1lag","1","."
"sp75_806_pp_1lag","1","."
"sp75_807_pp_1lag",".9989366",".3716449"
"sp75_808_pp_1lag",".9984615",".7776038"
"sp75_809_pp_1lag","1.001308",".6874507"
"sp75_810_pp_1lag",".9961997",".6910729"
"sp75_811_pp_1lag",".9895661",".0597167"
"sp75_812_pp_1lag","1.10842",".108131"
"sp75_814_pp_1lag","1.07237",".0217916"
"sp75_815_pp_1lag",".7857168",".0003543"
