"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_c_4lag","1","."
"sp47_44_ss_c_4lag","1","."
"sp48_11_ss_c_4lag",".9906901",".9752272"
"sp48_25_ss_c_4lag","1.627856",".0696263"
"sp48_26_ss_c_4lag","1.127313",".6621952"
"sp48_27_ss_c_4lag","1.12251",".5981865"
"sp48_28_ss_c_4lag","3.46e-07","0"
"sp48_4_ss_c_4lag","2.22e-07","0"
"sp48_5_ss_c_4lag",".483142",".4076322"
"sp48_6_ss_c_4lag","1.254237",".7998168"
"sp48_7_ss_c_4lag","1.344574",".0395835"
"sp48_8_ss_c_4lag","2.130877",".0758484"
"sp71_701_ss_c_4lag","1","."
"sp72_503_ss_c_4lag",".7617127",".3865326"
"sp72_610_ss_c_4lag","1","."
"sp72_620_ss_c_4lag",".6970495",".0675768"
"sp72_630_ss_c_4lag","1.066432",".0638766"
"sp75_100_ss_c_4lag","1.93818",".2246733"
"sp75_1001_1_ss_c_4lag","1","."
"sp75_1001_ss_c_4lag","1","."
"sp75_1003_1_ss_c_4lag","1","."
"sp75_1100_2_ss_c_4lag","1.091708",".4431652"
"sp75_1101_20_ss_c_4lag","1","."
"sp75_1102_ss_c_4lag",".7209165",".0919485"
"sp75_1103_4_ss_c_4lag",".7146474",".0694268"
"sp75_1104_ss_c_4lag","1.284138",".6342164"
"sp75_1106_2_ss_c_4lag","1.043389",".7549741"
"sp75_1106_3_ss_c_4lag",".9918981",".9557404"
"sp75_1106_4_ss_c_4lag",".328675",".4902923"
"sp75_1106_5_ss_c_4lag",".8400638",".6755745"
"sp75_1106_6_ss_c_4lag","1","."
"sp75_1106_ss_c_4lag","1.061026",".5403854"
"sp75_1107_14_ss_c_4lag","1","."
"sp75_1400_1_ss_c_4lag","1","."
"sp75_1400_2_ss_c_4lag","1","."
"sp75_1400_3_ss_c_4lag",".8764529",".7374039"
"sp75_1400_4_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","27.96897",".1015905"
"sp75_1401_ss_c_4lag","2.815904",".0263525"
"sp75_1403_10_ss_c_4lag",".8676074",".0594987"
"sp75_1403_11_ss_c_4lag","1.702373",".1677937"
"sp75_1403_3_ss_c_4lag",".1247248",".4519563"
"sp75_1403_4_ss_c_4lag","4.686709",".0121273"
"sp75_1403_5_ss_c_4lag","1.034596",".4225595"
"sp75_1403_6_ss_c_4lag","1.102347",".4714913"
"sp75_1403_7_ss_c_4lag",".6813752",".0843208"
"sp75_1403_8_ss_c_4lag",".6939638",".0771107"
"sp75_1403_9_ss_c_4lag","1","."
"sp75_1404_1_ss_c_4lag","1","."
"sp75_1404_ss_c_4lag","1","."
"sp75_1405_1_ss_c_4lag","1","."
"sp75_1405_ss_c_4lag",".5009211",".0985126"
"sp75_1431_ss_c_4lag","1","."
"sp75_1432_ss_c_4lag","1","."
"sp75_1433_ss_c_4lag","2.620861",".0236168"
"sp75_1434_ss_c_4lag",".4342559",".0270683"
"sp75_1435_ss_c_4lag","2.64e+07","0"
"sp75_1437_ss_c_4lag","4.068869",".0436586"
"sp75_150_ss_c_4lag","1","."
"sp75_151_ss_c_4lag","1","."
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag","1","."
"sp75_1600_2_ss_c_4lag","1.785301",".0344854"
"sp75_1712_10_ss_c_4lag",".5246011",".1308904"
"sp75_1712_6_ss_c_4lag","2.012903",".0699625"
"sp75_1720_ss_c_4lag",".9328839",".5224214"
"sp75_1721_ss_c_4lag","1","."
"sp75_1725_ss_c_4lag",".9727902",".1892472"
"sp75_1726_ss_c_4lag","1.260521",".5628487"
"sp75_1727_ss_c_4lag","1","."
"sp75_1728_ss_c_4lag","1","."
"sp75_1729_ss_c_4lag",".3384479",".0016713"
"sp75_1730_ss_c_4lag",".2647257",".0172668"
"sp75_1731_ss_c_4lag",".976954",".330311"
"sp75_1903_ss_c_4lag","3.574678",".0024285"
"sp75_1909_ss_c_4lag",".9856743",".7882922"
"sp75_1910_ss_c_4lag","1.072568",".4738999"
"sp75_1911_ss_c_4lag",".8923706",".4269828"
"sp75_1912_ss_c_4lag","1","."
"sp75_1913_ss_c_4lag","7.762567",".0000872"
"sp75_1914_ss_c_4lag",".9409151",".2498294"
"sp75_1915_ss_c_4lag",".8991106",".6870319"
"sp75_202_ss_c_4lag",".9977041",".7108644"
"sp75_208_ss_c_4lag",".9620862",".4454553"
"sp75_211_ss_c_4lag",".9464693",".4063798"
"sp75_212_ss_c_4lag","1.46249",".0280437"
"sp75_214_ss_c_4lag","3.096407",".0001365"
"sp75_312_ss_c_4lag",".3265628",".0165571"
"sp75_320_ss_c_4lag","1.379479",".1468523"
"sp75_324_ss_c_4lag",".6521847",".0773261"
"sp75_337_ss_c_4lag","2.074206",".0059956"
"sp75_340_ss_c_4lag","1.106194",".3292694"
"sp75_342_ss_c_4lag",".9872198",".6878518"
"sp75_344_ss_c_4lag","2.338434",".4226855"
"sp75_352_ss_c_4lag",".9593894",".8754071"
"sp75_382_ss_c_4lag",".8192095",".1160747"
"sp75_503_ss_c_4lag","1.014812",".5273505"
"sp75_504_ss_c_4lag","2.38e-07","0"
"sp75_505_ss_c_4lag","1.63e-07","0"
"sp75_506_1_ss_c_4lag","1.611668",".3207639"
"sp75_506_ss_c_4lag","1.31e-06","0"
"sp75_507_ss_c_4lag","1.482413",".0905241"
"sp75_511_1_ss_c_4lag","1","."
"sp75_511_ss_c_4lag","1.477607",".0960906"
"sp75_512_1_ss_c_4lag","9.905909",".000294"
"sp75_512_2_ss_c_4lag",".7009066",".0627687"
"sp75_512_ss_c_4lag",".9324523",".0230207"
"sp75_513_1_ss_c_4lag",".8859728",".639607"
"sp75_513_ss_c_4lag",".361786",".030988"
"sp75_514_ss_c_4lag","1.026857",".7860563"
"sp75_515_ss_c_4lag",".7762542",".0027997"
"sp75_516_1_ss_c_4lag",".4962683",".0977267"
"sp75_516_2_ss_c_4lag","1","."
"sp75_516_ss_c_4lag","1.132623",".3400229"
"sp75_517_1_ss_c_4lag","1.022105",".967212"
"sp75_517_ss_c_4lag",".9819214",".2661561"
"sp75_518_1_ss_c_4lag","3.42e-07","0"
"sp75_518_ss_c_4lag","1.118842",".179994"
"sp75_519_ss_c_4lag","1","."
"sp75_520_ss_c_4lag",".976666",".9146264"
"sp75_523_1_ss_c_4lag",".8153215",".0926709"
"sp75_523_2_ss_c_4lag","1.174686",".022961"
"sp75_523_ss_c_4lag",".8440126",".0996449"
"sp75_600_1_ss_c_4lag","1","."
"sp75_600_ss_c_4lag","1","."
"sp75_601_1_ss_c_4lag","1.146582",".0372494"
"sp75_601_2_ss_c_4lag","1","."
"sp75_601_3_ss_c_4lag","1","."
"sp75_601_ss_c_4lag",".9417798",".5075251"
"sp75_602_ss_c_4lag",".9534915",".6586715"
"sp75_603_ss_c_4lag",".8334232",".686827"
"sp75_604_ss_c_4lag","1.03553",".0469156"
"sp75_605_ss_c_4lag",".8670091",".3305681"
"sp75_606_ss_c_4lag","1.071705",".2449002"
"sp75_607_ss_c_4lag","1.378384",".0064588"
"sp75_700_1_ss_c_4lag","6.920974",".003719"
"sp75_700_ss_c_4lag","1.170465",".6373154"
"sp75_701_1_ss_c_4lag","1.269168",".2817434"
"sp75_701_2_ss_c_4lag","1.340632",".1955237"
"sp75_701_3_ss_c_4lag","2.569224",".0000402"
"sp75_701_4_ss_c_4lag","1","."
"sp75_701_ss_c_4lag","1.04589",".6108429"
"sp75_703_2_ss_c_4lag","1","."
"sp75_703_3_ss_c_4lag","8.11e-07","0"
"sp75_703_ss_c_4lag","1.046534",".9092768"
"sp75_704_ss_c_4lag","1","."
"sp75_705_1_ss_c_4lag",".4951415",".0824839"
"sp75_705_8_ss_c_4lag","1","."
"sp75_705_ss_c_4lag",".5958844",".0354022"
"sp75_706_ss_c_4lag","1.007306",".9896192"
"sp75_800_2_ss_c_4lag","1","."
"sp75_800_3_ss_c_4lag",".6758553",".1505106"
"sp75_800_4_ss_c_4lag","1","."
"sp75_800_ss_c_4lag","1.589044",".2140436"
"sp75_801_ss_c_4lag","1","."
"sp75_802_ss_c_4lag","2.756041",".1513588"
"sp75_803_2_ss_c_4lag","1","."
"sp75_803_ss_c_4lag","1.010189",".9455711"
"sp75_804_ss_c_4lag",".6397717",".4834292"
"sp75_805_ss_c_4lag","1.85e-07","0"
"sp75_806_ss_c_4lag","1","."
"sp75_807_ss_c_4lag",".9117265",".2198736"
"sp75_808_ss_c_4lag","1.71e-07","0"
"sp75_809_ss_c_4lag",".9603595",".8481927"
