"","est1",""
"","b","p"
"dv","",""
"p47_c_4lag",".9723699",".3223476"
"p48_c_4lag",".9966215",".7397532"
"p71_c_4lag",".9040387",".0957075"
"p72_c_4lag",".9687281",".0359013"
"p75_c_4lag","1.00001",".9548312"
"p77_c_4lag",".997795",".5685375"
"mine_time","1.21719",".2070757"
"onsite_insp_hours",".9999917",".8835754"
"4.state","1.514851",".0555513"
"5.state",".8316288",".1852739"
"6.state","1.025525",".7875106"
"11.state",".899824",".327898"
"12.state","1.232779",".2036547"
"13.state",".3295486","2.51e-06"
"14.state","1.320474",".0620016"
"15.state",".7631361",".0528017"
"16.state","1","."
"1.time","1","."
"2.time",".7405766",".1490707"
"3.time",".5895414",".086084"
"4.time",".4866081",".0953245"
"5.time",".2919802",".0494545"
"6.time",".1861776",".0292767"
"7.time",".1265672",".0233979"
"8.time",".1177332",".0452533"
"9.time",".0841232",".0432295"
"10.time",".0801774",".0727329"
"11.time",".0449056",".0543072"
"12.time",".0487309",".0788729"
"13.time",".0344258",".0665151"
"N","496",""
