"","est1",""
"","b","p"
"dv","",""
"sp47_41_1lag",".7412176",".3192647"
"sp48_11_1lag","1.459802",".1819986"
"sp71_701_1lag","1","."
"sp75_1001_1_1lag","1","."
"sp75_1001_1lag","1","."
"sp75_1003_1_1lag","1","."
"sp75_1400_1_1lag","1","."
"sp75_1401_1_1lag","1","."
"sp75_1401_1lag",".2631528",".2096036"
"sp75_1403_11_1lag","589.9116",".1866686"
"sp75_1404_1_1lag","1","."
"sp75_1405_1_1lag","1","."
"sp75_1431_1lag","1","."
"sp75_151_1lag","9.32e-09","0"
"sp75_1721_1lag","1","."
"sp75_1731_1lag",".9013351",".0022882"
"sp75_1911_1lag",".9079525",".3040636"
"sp75_211_1lag","1.234189",".0861473"
"sp75_341_1lag","1","."
"sp75_506_1_1lag","2.076394",".2188726"
"sp75_510_1_1lag","1","."
"sp75_511_1_1lag","1","."
"sp75_511_1lag","1.093521",".79143"
"sp75_512_1_1lag",".4422688",".7311272"
"sp75_513_1_1lag",".57791",".3840642"
"sp75_516_1_1lag","2.012217",".0970159"
"sp75_517_1_1lag","1.359115",".9048434"
"sp75_518_1_1lag","2.72946",".0000114"
"sp75_523_1_1lag","1.180431",".4967933"
"sp75_600_1_1lag",".6694761",".4756746"
"sp75_601_1_1lag",".9688444",".5483137"
"sp75_601_1lag",".7622517",".0003332"
"sp75_700_1_1lag",".0769248",".2092144"
"sp75_701_1_1lag","1.121921",".5519978"
"sp75_701_1lag",".8244985",".0197821"
"sp75_702_1_1lag","1.643967",".4352402"
"sp75_703_1_1lag","2.320071",".682538"
"sp75_705_1_1lag","3.090692",".1731177"
"sp75_801_1lag","1","."
"sp75_811_1lag","2.779216",".0060127"
"sp75_821_1lag",".0740659",".887782"
"sp75_831_1lag","1.36e-08","1.75e-06"
"sp75_901_1lag","2.412422",".4991179"
"sp75_902_1_1lag","1","."
"sp77_1111_1lag","1.53e-08","1.38e-08"
"sp77_401_1lag","1.486297",".4286211"
"sp77_403_1_1lag","4.07553",".072099"
"sp77_411_1lag","1","."
"sp77_501_1lag","8.971598",".1561174"
"sp77_502_1_1lag",".3146706",".0700505"
"sp77_503_1_1lag",".0288203",".0428348"
"sp77_506_1_1lag",".9741579",".7932897"
"sp77_508_1_1lag",".6275577",".6273247"
"sp77_511_1lag","5.796169",".0530443"
"sp77_601_1lag","1","."
"sp77_606_1_1lag","1","."
"sp77_700_1_1lag","6.037329",".0103546"
"sp77_701_1_1lag","41.45997",".0161806"
"sp77_701_1lag",".6391733",".0131315"
"sp77_704_1_1lag","1","."
"sp77_800_1_1lag","1.78e-07","0"
"sp77_801_1_1lag","1","."
"sp77_801_1lag","1","."
"sp77_807_1_1lag","1","."
"sp77_900_1_1lag","1.581149",".6507663"
"sp77_901_1_1lag","1","."
"sp77_901_1lag",".2405725",".2042929"
"sp47_42_1lag",".0000391","0"
"sp75_1100_2_1lag","1.09244",".0308753"
"sp75_1102_1lag",".8606582",".2420811"
"sp75_1106_2_1lag",".6931057",".1450586"
"sp75_1400_2_1lag","2.100496",".2672161"
"sp75_1402_2_1lag","1","."
"sp75_1432_1lag","2.034959",".609179"
"sp75_1600_2_1lag",".8399024",".4508697"
"sp75_1912_1lag",".0192344",".0843481"
"sp75_202_1lag",".9634149",".0309578"
"sp75_212_1lag","1.585507",".1577899"
"sp75_312_1lag",".8578506",".1511579"
"sp75_342_1lag",".9280211",".1337056"
"sp75_352_1lag",".5115888",".1035783"
"sp75_382_1lag","1.717388",".0208195"
"sp75_512_2_1lag","1.1892",".2415032"
"sp75_512_1lag",".9619765",".2636122"
"sp75_516_2_1lag",".9627677",".7795857"
"sp75_523_2_1lag","1.146582",".312333"
"sp75_601_2_1lag","1","."
"sp75_602_1lag","1.372807",".0395633"
"sp75_701_2_1lag","1.195872",".6347586"
"sp75_702_1lag","1","."
"sp75_703_2_1lag",".2032507",".4808298"
"sp75_705_2_1lag","1","."
"sp75_800_2_1lag",".0254175",".0847031"
"sp75_802_1lag",".0077947",".0025417"
"sp75_803_2_1lag","1","."
"sp75_812_1lag",".0289822",".0061692"
"sp75_832_1lag","1","."
"sp75_900_2_1lag","1","."
"sp75_902_2_1lag","1.669081",".5700275"
"sp75_902_1lag",".8193681",".056768"
"sp77_1112_1lag","4.11956",".6935506"
"sp77_1432_1lag","1","."
"sp77_1802_1lag","1","."
"sp77_202_1lag",".701785",".1477745"
"sp77_402_1lag","1.240441",".4836261"
"sp77_403_2_1lag","1","."
"sp77_412_1lag","3.439518",".1875261"
"sp77_502_2_1lag","1.260706",".6630924"
"sp77_502_1lag","1.042069",".6943861"
"sp77_512_1lag",".6433305",".0418567"
"sp77_602_1lag",".0861603",".024059"
"sp77_701_2_1lag","47.12244",".006796"
"sp77_702_1lag","1","."
"sp77_800_2_1lag","1.054898",".9523412"
"sp77_802_1lag","2.39e-07","0"
"sp77_807_2_1lag","1","."
"sp77_900_2_1lag",".2482513",".060377"
"sp77_902_2_1lag","1","."
"sp77_902_1lag","13.46054",".0028403"
"sp47_43_1lag","1","."
"sp72_503_1lag",".0577581",".0240284"
"sp75_1106_3_1lag",".9979102",".9790568"
"sp75_1400_3_1lag",".5573428",".118303"
"sp75_1403_3_1lag","5.20e-06",".0776933"
"sp75_1433_1lag","1.248273",".4977537"
"sp75_153_1lag","1","."
"sp75_1903_1lag","1.08977",".9027554"
"sp75_1913_1lag",".077553",".208438"
"sp75_503_1lag",".9692274",".0566843"
"sp75_513_1lag",".5796833",".2651164"
"sp75_523_1lag",".9493563",".7143717"
"sp75_601_3_1lag","5.043118",".4797982"
"sp75_603_1lag",".6867749",".2084419"
"sp75_701_3_1lag","1.027905",".958688"
"sp75_703_3_1lag",".1774518",".2465227"
"sp75_703_1lag","1.546646",".0435739"
"sp75_705_3_1lag","1","."
"sp75_800_3_1lag","1.960336",".206491"
"sp75_803_1lag","1.757802",".1436417"
"sp75_900_3_1lag",".8256293",".4954134"
"sp75_903_1lag","1.424413",".0293796"
"sp77_103_1lag","1","."
"sp77_1103_1lag","1.113434",".5669423"
"sp77_1403_1lag",".170098",".1960436"
"sp77_1433_1lag",".0799518",".0011167"
"sp77_203_1lag","1.26e-07","0"
"sp77_403_1lag","2.834767",".0051895"
"sp77_413_1lag","1","."
"sp77_503_1lag","6.878998",".0334806"
"sp77_513_1lag","1.715746",".0035468"
"sp77_603_1lag","1.061832",".9472825"
"sp77_701_3_1lag","2.764322",".1046399"
"sp77_703_1lag","1","."
"sp77_803_1lag","9.752072",".2539787"
"sp77_807_3_1lag","1.835093",".6065994"
"sp77_902_3_1lag","1","."
"sp77_903_1lag","4.59e-06",".0002112"
"sp47_44_1lag","2.16437",".4504038"
"sp48_24_1lag","1","."
"sp48_4_1lag","1","."
"sp75_1103_4_1lag",".8740744",".1788146"
"sp75_1104_1lag","1.148799",".5006579"
"sp75_1106_4_1lag",".5174054",".3881714"
"sp75_1107_14_1lag","1","."
"sp75_1400_4_1lag","79.78111",".0025428"
"sp75_1403_4_1lag","408245.1",".211716"
"sp75_1404_1lag","1","."
"sp75_1434_1lag","1.459095",".6152813"
"sp75_1914_1lag",".9367388",".4692478"
"sp75_214_1lag","1.076401",".7237012"
"sp75_324_1lag","2.73075",".0959823"
"sp75_344_1lag","6.088935",".2784584"
"sp75_504_1lag",".5808598",".3001167"
"sp75_514_1lag","1.316693",".0502623"
"sp75_604_1lag","1.13728",".0000146"
"sp75_701_4_1lag","8.89e-08","0"
"sp75_703_4_1lag","1","."
"sp75_704_1lag","52757.11",".0015139"
"sp75_800_4_1lag","1.451294",".481411"
"sp75_804_1lag","1.109801",".5995613"
"sp75_814_1lag","1.59e+07",".2227007"
"sp75_834_1lag","1","."
"sp75_900_4_1lag","1.940378",".003805"
"sp75_902_4_1lag",".4801212",".0539361"
"sp75_904_1lag","1.028341",".6677023"
"sp77_104_1lag","1.622696",".8920987"
"sp77_1104_1lag",".9678978",".6251309"
"sp77_1434_1lag",".0038127",".0006067"
"sp77_204_1lag",".8812051",".5342522"
"sp77_314_1lag","1","."
"sp77_404_1lag","1.113178",".1182"
"sp77_504_1lag","1.139298",".5735669"
"sp77_514_1lag","2.62e-07","0"
"sp77_604_1lag","29.71454",".0068867"
"sp77_701_4_1lag","1","."
"sp77_704_1lag","1.30e+09",".7401121"
"sp77_804_1lag","1","."
"sp77_904_1lag","1.168597",".408646"
"sp48_25_1lag","1.189821",".5542792"
"sp48_5_1lag",".3525445",".0071851"
"sp75_1106_5_1lag",".7578339",".3242634"
"sp75_1403_5_1lag",".9340179",".5879553"
"sp75_1405_1lag",".6481909",".1625606"
