"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_lag_all",".9997885",".5136968"
"p75_pp_c_lag_all",".9999986",".2248135"
"mine_time",".9711638",".5886702"
"onsite_insp_hours",".9999132",".5728685"
"4.state","1.615908",".1114306"
"5.state",".9093671",".7169113"
"6.state","1","."
"11.state","1.820064",".0000111"
"12.state","1.199944",".2584416"
"15.state",".5927527",".0000538"
"16.state",".9399915",".7149591"
"17.time","1","."
"18.time",".7858986",".2175719"
"19.time","1.267488",".2157157"
"20.time","1.197077",".5253207"
"21.time","1.066053",".8318545"
"22.time","1.052173",".8873391"
"23.time","1.001903",".9960129"
"24.time",".9051272",".8156788"
"25.time","1.024911",".957854"
"26.time",".9354499",".8964738"
"27.time","1.222548",".7177591"
"28.time","1.157558",".8199151"
"29.time","1.023297",".9735952"
"30.time","1.249211",".7569923"
"31.time","1.836813",".4219697"
"32.time","1.234276",".79031"
"33.time","1.282308",".7637845"
"34.time","1.162274",".8712633"
"35.time","1.28478",".7999629"
"36.time","1.210822",".8537129"
"37.time","1.369023",".7761278"
"38.time","1.148247",".9074834"
"39.time","1.320259",".8070984"
"40.time","1.121965",".9269168"
"41.time","1.506508",".7500559"
"42.time","1.682383",".6882946"
"43.time","1.795451",".6646661"
"44.time",".8537646",".9148701"
"45.time","1.539757",".7753154"
"46.time","1.774998",".708172"
"47.time","1.901883",".6922829"
"48.time","1.534137",".8005756"
"49.time","1.636207",".7702629"
"50.time","1.748259",".7540881"
"51.time","2.905349",".5465786"
"52.time","1.565656",".8116663"
"53.time","2.318974",".6713461"
"N","576",""
