"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag","1.000703",".4987493"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1","."
"sp48_26_pp_1lag","1.002905",".3292199"
"sp48_27_pp_1lag",".9996978",".8473292"
"sp48_28_pp_1lag",".9981945",".7495441"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag",".9991089",".6299835"
"sp48_6_pp_1lag",".7246314","0"
"sp48_7_pp_1lag",".9995435",".7081184"
"sp48_8_pp_1lag","1.004432","3.34e-06"
"sp75_100_pp_1lag",".9968088",".0264473"
"sp75_1002_pp_1lag","1.001641",".3168468"
"sp75_1003_pp_1lag","1","."
"sp75_1003_2_pp_1lag","1","."
"sp75_1311_pp_1lag","1","."
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag","1","."
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9981428",".6451884"
"sp75_1400_1_pp_1lag","1","."
"sp75_1403_10_pp_1lag","1.000158",".7069081"
"sp75_1403_5_pp_1lag","1.000801",".0511784"
"sp75_1403_6_pp_1lag",".9999127",".9015534"
"sp75_1403_7_pp_1lag",".9986753",".180294"
"sp75_1403_8_pp_1lag","1.00167",".2048743"
"sp75_1404_pp_1lag","1","."
"sp75_1404_1_pp_1lag","1","."
"sp75_1405_pp_1lag",".997022",".5193508"
"sp75_1405_1_pp_1lag","1","."
"sp75_153_pp_1lag","1","."
"sp75_156_pp_1lag","1","."
"sp75_160_pp_1lag","1.035081","0"
"sp75_1719_2_pp_1lag",".9990484",".6293599"
"sp75_1719_4_pp_1lag","1.005632",".0049286"
"sp75_1720_pp_1lag",".9999211",".9236153"
"sp75_1725_pp_1lag","1.000077",".6653186"
"sp75_1906_pp_1lag","1.001003",".6186032"
"sp75_1916_pp_1lag","1.000216",".7992225"
"sp75_203_pp_1lag",".99961",".4420736"
"sp75_204_pp_1lag",".9990416",".2699755"
"sp75_205_pp_1lag",".9847301",".0080917"
"sp75_207_pp_1lag",".9979256",".7104654"
"sp75_208_pp_1lag","1.00096",".0475583"
"sp75_209_pp_1lag",".9987122",".6056702"
"sp75_212_pp_1lag","1.001387",".0556558"
"sp75_213_pp_1lag","1","."
"sp75_215_pp_1lag","1","."
"sp75_332_pp_1lag",".9999413",".9918347"
"sp75_334_pp_1lag","1.002281",".1593322"
"sp75_337_pp_1lag",".9993403",".7825416"
"sp75_340_pp_1lag",".999523",".237869"
"sp75_343_pp_1lag","1.000627",".7525968"
"sp75_373_pp_1lag","1","."
"sp75_388_pp_1lag","1.006076",".3945609"
"sp75_389_pp_1lag","1","."
"sp75_500_pp_1lag",".9981592",".1643578"
"sp75_500_1_pp_1lag","1","."
"sp75_501_pp_1lag",".9952397",".3981964"
"sp75_501_2_pp_1lag",".9987159",".7959286"
"sp75_502_pp_1lag",".7878816","0"
"sp75_503_pp_1lag","1.00007",".5348735"
"sp75_505_pp_1lag","1","."
"sp75_506_1_pp_1lag",".9869041",".0023927"
"sp75_507_pp_1lag","1.005653","5.56e-06"
"sp75_507_1_pp_1lag",".9986654",".1968108"
"sp75_508_1_pp_1lag","1","."
"sp75_509_pp_1lag",".9969886",".6575696"
"sp75_510_pp_1lag","1","."
"sp75_512_1_pp_1lag",".9975371",".5399025"
"sp75_523_pp_1lag",".9989297",".1451132"
"sp75_523_3_pp_1lag",".9998143",".7316345"
"sp75_524_pp_1lag","1.000561",".7937703"
"sp75_602_pp_1lag","1.001278",".6878536"
"sp75_603_pp_1lag",".9989889",".8421535"
"sp75_604_pp_1lag","1.000297",".0612043"
"sp75_605_pp_1lag",".9996481",".6327913"
"sp75_606_pp_1lag",".9996493",".3406715"
"sp75_607_pp_1lag","1.001558",".2841563"
"sp75_703_3_pp_1lag",".9951742",".3672259"
"sp75_703_4_pp_1lag","1","."
"sp75_807_pp_1lag",".9998425",".5809081"
"sp75_810_pp_1lag",".9950447",".1294138"
"sp75_811_pp_1lag",".9989836",".6042682"
"sp75_812_pp_1lag","1.003422",".585332"
"sp75_816_pp_1lag",".9998704",".9215922"
"sp75_817_pp_1lag",".9965861",".498554"
"sp75_906_pp_1lag","1.013844",".0001423"
"mine_time",".9948184",".8437073"
"onsite_insp_hours",".9996598",".1130982"
"4.state","1.035087",".7863613"
"5.state",".7467293",".0303109"
"6.state",".889783",".4441515"
"11.state","1.757294","1.49e-08"
"12.state","1.466882",".0002625"
"13.state","1.814703",".0789915"
"14.state",".9393846",".5029398"
"15.state",".633383",".0000585"
"16.state","1","."
"17.time","1.112694",".5369348"
"18.time","1","."
"19.time","1.284181",".0934543"
"20.time","1.181633",".3150269"
"21.time","1.090527",".6023812"
"22.time","1.101195",".612562"
"23.time","1.169462",".4771351"
"24.time",".9987604",".9952676"
"25.time",".8274622",".4428733"
"26.time",".7457993",".3003682"
"27.time",".9860067",".9595149"
"28.time",".8441615",".5730243"
"29.time",".6568357",".2047741"
"30.time",".8770378",".7083248"
"31.time","1.233161",".5505961"
"32.time",".8672115",".6919151"
"33.time",".9263515",".8524037"
"34.time",".744347",".4792044"
"35.time",".7558811",".5476208"
"36.time",".5864595",".2741424"
"37.time",".7578795",".5859975"
"38.time",".6827329",".4851251"
"39.time",".6855286",".5114659"
"40.time",".6993668",".5375328"
"41.time",".7177549",".5799537"
"42.time",".7452229",".6424673"
"43.time",".7259357",".6377136"
"44.time",".3687217",".1848619"
"45.time",".6184331",".5203695"
"46.time",".6936705",".6117416"
"47.time",".7892875",".756612"
"48.time",".5851592",".5011196"
"49.time",".4417702",".3355726"
"50.time",".6529456",".6275784"
"51.time",".8869714",".8940831"
"52.time",".7141924",".7088042"
"53.time",".6721256",".6791902"
"N","1119",""
