"","est1",""
"","b","p"
"dv","",""
"p48_pp",".9999287",".9098001"
"p75_pp","1.000005",".5862691"
"mine_time",".9978911",".9822134"
"onsite_insp_hours",".9998577",".308964"
"4.state",".9840785",".9159951"
"5.state",".7431626",".0392258"
"6.state",".8916163",".5687258"
"11.state","1.644049",".0000652"
"12.state","1.395905",".0126555"
"13.state","2.115756",".0750402"
"14.state",".8641347",".3066994"
"15.state",".6602353",".0003118"
"16.state","1","."
"5.time","1","."
"6.time",".9686244",".7470125"
"7.time",".699708",".1328676"
"8.time",".781071",".4251412"
"9.time",".5844567",".1448431"
"10.time",".5907509",".2725205"
"11.time",".5995807",".3859657"
"12.time",".5709201",".3885609"
"13.time",".5268731",".3900057"
"N","267",""
