"","est1",""
"","b","p"
"dv","",""
"p48_ss_1lag",".9830251",".6736308"
"p75_ss_1lag","1.002937",".0041822"
"mine_time",".9791859",".7848325"
"onsite_insp_hours",".999823",".0310651"
"4.state",".9502903",".7138216"
"5.state",".7614329",".0045986"
"6.state",".819295",".1194684"
"11.state","1.22638",".0263773"
"12.state","1.342903",".0111999"
"13.state","1.328095",".2663969"
"14.state",".9573224",".6996003"
"15.state",".7400388",".000178"
"16.state","1","."
"1.time","1","."
"2.time",".8726102",".2372283"
"3.time",".7395793",".0765824"
"4.time",".7647585",".2504375"
"5.time",".6925599",".2884578"
"6.time",".680826",".3266492"
"7.time",".5057281",".1517734"
"8.time",".5785915",".3179728"
"9.time",".4451233",".1807899"
"10.time",".4721823",".2821302"
"11.time",".4995244",".375961"
"12.time",".4918945",".3966914"
"13.time",".4632347",".4039314"
"N","499",""
