"","est1",""
"","b","p"
"dv","",""
"p48",".9918113",".7794012"
"p75","1.000745",".1154434"
"mine_time",".9793911",".7890162"
"onsite_insp_hours",".9998416",".1152684"
"4.state",".853757",".2403497"
"5.state",".7213042",".0005393"
"6.state",".8177993",".1298648"
"11.state","1.215768",".0338527"
"12.state","1.317164",".0196025"
"13.state","1.331522",".2717876"
"14.state",".970691",".7954966"
"15.state",".7397986",".0002646"
"16.state","1","."
"1.time","1","."
"2.time",".868913",".2238026"
"3.time",".7463685",".0876015"
"4.time",".7685736",".2666853"
"5.time",".6915179",".2934641"
"6.time",".6788165",".3315231"
"7.time",".5080185",".1606484"
"8.time",".5790567",".3238801"
"9.time",".4439331",".1846405"
"10.time",".463579",".2745209"
"11.time",".4910476",".3665976"
"12.time",".4728946",".3752268"
"13.time",".4524772",".3935591"
"N","499",""
