"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp","1.002336",".4306206"
"sp48_24_pp","1","."
"sp48_25_pp","1","."
"sp48_26_pp","1.001014",".8108205"
"sp48_27_pp",".9976707",".4397135"
"sp48_28_pp",".9909399",".0456839"
"sp48_4_pp","1","."
"sp48_5_pp",".9887973",".0017355"
"sp48_6_pp",".9995561",".9652014"
"sp48_7_pp","1.000849",".431108"
"sp48_8_pp","1.003239",".3005134"
"sp75_100_pp","1.002647",".1881414"
"sp75_1002_pp",".9989033",".6132926"
"sp75_1003_pp","1","."
"sp75_1003_2_pp","1","."
"sp75_1311_pp","1","."
"sp75_1315_pp","1","."
"sp75_1316_pp","1","."
"sp75_1318_pp","1","."
"sp75_1400_pp",".9904711",".0032438"
"sp75_1400_1_pp","1","."
"sp75_1403_10_pp","1.000407",".5555582"
"sp75_1403_5_pp","1.000319",".5600685"
"sp75_1403_6_pp","1.001326",".0429149"
"sp75_1403_7_pp","1.000748",".842223"
"sp75_1403_8_pp",".9983874",".3709206"
"sp75_1404_pp","1","."
"sp75_1404_1_pp","1","."
"sp75_1405_pp",".9972126",".1604644"
"sp75_1405_1_pp","1","."
"sp75_153_pp","1","."
"sp75_156_pp","1","."
"sp75_160_pp","1.024585","1.68e-10"
"sp75_1719_2_pp",".9992924",".8731444"
"sp75_1719_4_pp",".9989287",".761103"
"sp75_1720_pp",".9988997",".4301263"
"sp75_1725_pp","1.000197",".1585043"
"sp75_1906_pp","1.001068",".6371153"
"sp75_1916_pp",".9984217",".6429779"
"sp75_203_pp",".9999793",".9701246"
"sp75_204_pp",".9998753",".8586301"
"sp75_205_pp","1.005387",".5723853"
"sp75_207_pp","1.001332",".8016287"
"sp75_208_pp","1.001279",".020892"
"sp75_209_pp",".9950633",".06208"
"sp75_212_pp","1.001768",".1583255"
"sp75_213_pp","1","."
"sp75_215_pp","1","."
"sp75_332_pp","1.000461",".8820753"
"sp75_334_pp","1.00149",".640211"
"sp75_337_pp","1.000777",".8198159"
"sp75_340_pp",".9994584",".5737989"
"sp75_343_pp","1.003235",".4051756"
"sp75_373_pp","1","."
"sp75_388_pp","1.000526",".9347964"
"sp75_389_pp","1","."
"sp75_500_pp",".9978423",".2814629"
"sp75_500_1_pp","1","."
"sp75_501_pp",".991736",".2985258"
"sp75_501_2_pp","1.000877",".8736362"
"sp75_502_pp","1.000881",".730668"
"sp75_503_pp",".9998434",".3255794"
"sp75_505_pp","1","."
"sp75_506_1_pp","1.000451",".9313217"
"sp75_507_pp","1.00398",".1131847"
"sp75_507_1_pp",".9992401",".5593478"
"sp75_508_1_pp","1","."
"sp75_509_pp","1.007356",".0006703"
"sp75_510_pp","1","."
"sp75_512_1_pp",".9869572",".0214912"
"sp75_523_pp",".9998192",".9348762"
"sp75_523_3_pp",".9992113",".0995565"
"sp75_524_pp","1.005304",".253472"
"sp75_602_pp",".9971971",".2285575"
"sp75_603_pp",".9960402",".123126"
"sp75_604_pp","1.000281",".2340586"
"sp75_605_pp","1.000081",".9298439"
"sp75_606_pp",".9998989",".8046577"
"sp75_607_pp",".9998525",".9461807"
"sp75_703_3_pp",".9873213",".1311125"
"sp75_703_4_pp","1","."
"sp75_807_pp","1.000459",".1315494"
"sp75_810_pp",".9957352",".0244656"
"sp75_811_pp","1.003239",".3062171"
"sp75_812_pp","1.007854",".2230375"
"sp75_816_pp",".9997772",".9048309"
"sp75_817_pp","1.000582",".9358806"
"sp75_906_pp","1.011537",".1517968"
"mine_time","1.029763",".7271063"
"onsite_insp_hours",".9997246",".0101754"
"4.state",".8009998",".3684252"
"5.state",".6328628",".191618"
"6.state","1.076332",".6817982"
"11.state","2.012777",".0001511"
"12.state","1.489833",".0020826"
"13.state","2.597132",".0099717"
"14.state",".9352506",".7665103"
"15.state",".7151299",".0982452"
"16.state","1","."
"5.time","1","."
"6.time","1.11623",".5900566"
"7.time",".7572653",".3028829"
"8.time",".9247154",".8311672"
"9.time",".5699173",".1323649"
"10.time",".6782834",".3754065"
"11.time",".7198719",".559313"
"12.time",".5616703",".3297078"
"13.time",".5089485",".367824"
"N","267",""
