"","est1",""
"","b","p"
"dv","",""
"sp48_11","1.206097",".1042906"
"sp75_1311","1","."
"sp75_1400_1","1","."
"sp75_1404_1","1","."
"sp75_1405_1","1","."
"sp75_500_1","1","."
"sp75_501",".8790811",".5676393"
"sp75_506_1",".9594122",".768673"
"sp75_507_1","1.125988",".1273438"
"sp75_508_1","1","."
"sp75_512_1",".8143695",".3938935"
"sp75_811","1.050844",".6572912"
"sp75_1002",".9434845",".4222379"
"sp75_1003_2","1","."
"sp75_1322","1","."
"sp75_1719_2",".691086",".0846496"
"sp75_212","1.124031",".1600603"
"sp75_332","1.099606",".6565959"
"sp75_501_2",".6776688",".1713699"
"sp75_502",".6243098",".1273875"
"sp75_602",".958781",".6048107"
"sp75_812","2.135309",".0042238"
"sp75_1003","1","."
"sp75_153","1","."
"sp75_203",".9563219",".0970518"
"sp75_213","1.456335",".0005197"
"sp75_343","1.130055",".1957093"
"sp75_373","1","."
"sp75_503",".9936367",".2198217"
"sp75_523",".9726285",".5966113"
"sp75_523_3",".9863657",".5108254"
"sp75_603","1.118432",".2710968"
"sp75_703_3",".8184052",".5860957"
"sp48_24","1","."
"sp48_4",".0976028",".0014125"
"sp75_1404","1","."
"sp75_1719_4",".9216883",".5509637"
"sp75_204",".9723779",".3825779"
"sp75_334",".8769513",".1371201"
"sp75_524","1.086144",".7758702"
"sp75_604","1.016996",".0042813"
"sp75_703_4","1","."
"sp48_25","1.227177",".0000526"
"sp48_5",".6875212",".1368605"
"sp75_1315","1","."
"sp75_1403_5","1.0267",".2639502"
"sp75_1405",".8119738",".0158487"
"sp75_155","1","."
"sp75_1725","1.013316",".2977699"
"sp75_205","1.229551",".1976232"
"sp75_215","1","."
"sp75_505",".8157642",".7805939"
"sp75_605",".9908854",".8426513"
"sp48_26","1.004546",".9745227"
"sp48_6","1.660943",".0933262"
"sp75_1316",".398707","0"
"sp75_1403_6","1.049092",".071361"
"sp75_156","1","."
"sp75_1906",".9488384",".4986751"
"sp75_1916",".9069905",".4956859"
"sp75_606",".9997789",".990186"
"sp75_816","1.037425",".6570985"
"sp75_906",".9229631",".8517013"
"sp48_27","1.032423",".8839985"
"sp48_7",".9815098",".8463863"
"sp75_1403_7","1.097712",".4023605"
"sp75_207",".851095",".4800286"
"sp75_327","1","."
"sp75_337",".9838061",".9096063"
"sp75_507","1.159794",".1693995"
"sp75_607","1.005621",".9112037"
"sp75_807","1.030269",".0600653"
"sp75_817",".7978416",".4435462"
"sp48_28","1.178416",".1067132"
"sp48_8","1.01849",".8772217"
"sp75_1318","1","."
"sp75_1403_8","1.025175",".7304919"
"sp75_208","1.095289",".00099"
"sp75_388","1.017299",".9142157"
"sp75_209",".9572506",".7449978"
"sp75_389","1.301337",".2621266"
"sp75_509","1.169974",".2823343"
"sp75_100","1.491222",".0500275"
"sp75_1400",".9939663",".9728816"
"sp75_1403_10",".9460356",".1250499"
"sp75_160","7.269352","2.55e-07"
"sp75_1720","1.005398",".9339516"
"sp75_340","1.032628",".3307347"
"sp75_500",".8048166",".0647714"
"sp75_510","1","."
"sp75_810",".901517",".0366109"
"mine_time","1.026953",".7180697"
"onsite_insp_hours",".9997426",".0004631"
"4.state",".8813753",".4564097"
"5.state",".6038616",".0000807"
"6.state",".8154455",".1227581"
"11.state","1.076091",".5341394"
"12.state","1.31261",".0193017"
"13.state","1.485631",".1233131"
"14.state","1.156296",".3097505"
"15.state",".7726724",".0098425"
"16.state","1","."
"1.time","1","."
"2.time",".8650986",".2089123"
"3.time",".6306498",".0097614"
"4.time",".704182",".108793"
"5.time",".5064485",".030206"
"6.time",".5819457",".1568849"
"7.time",".3748205",".0339724"
"8.time",".457371",".1341554"
"9.time",".316619",".0539535"
"10.time",".353625",".1259439"
"11.time",".3407212",".1674944"
"12.time",".3081239",".1478125"
"13.time",".293383",".1778947"
"N","499",""
