"","est1",""
"","b","p"
"dv","",""
"p47_pp_1lag",".9964476",".1355756"
"p48_pp_1lag","1.000095",".8736766"
"p71_pp_1lag","1.002747",".2122332"
"p72_pp_1lag",".9953869",".0867807"
"p75_pp_1lag","1.000004",".8574124"
"p77_pp_1lag",".9995158",".1857681"
"mine_time",".9917883",".8498191"
"onsite_insp_hours",".9997958",".2616022"
"1.state",".9292174",".9152953"
"2.state","2.362549","1.51e-10"
"3.state",".9305119",".8515264"
"4.state","1.671081",".0101643"
"5.state","1.112991",".5640073"
"6.state","1.187146",".2993898"
"11.state",".7768443",".0369466"
"12.state","1.367767",".0787917"
"14.state","1.130068",".3770306"
"15.state",".7404214",".1513535"
"16.state","1","."
"17.time",".7992164",".463504"
"18.time","1","."
"19.time","1.131669",".7099372"
"20.time","1.136555",".6338061"
"21.time","1.011015",".9634048"
"22.time",".7992829",".5440966"
"23.time",".9992842",".9984773"
"24.time",".8971536",".7462181"
"25.time",".9871366",".9780528"
"26.time",".6426773",".3988379"
"27.time","1.037712",".9443023"
"28.time",".7601685",".6194096"
"29.time",".8342453",".7695171"
"30.time",".9810912",".9764495"
"31.time",".981356",".9788779"
"32.time",".8055211",".7539421"
"33.time",".7785858",".7530964"
"34.time",".7669041",".722859"
"35.time",".8441696",".834217"
"36.time",".9890846",".9901249"
"37.time","1.03849",".9660924"
"38.time",".7954208",".7993693"
"39.time",".7928458",".8161708"
"40.time",".9818255",".9850496"
"41.time",".6648058",".6959251"
"42.time",".4427453",".449748"
"43.time","1.016227",".9888602"
"44.time",".6245407",".7237535"
"45.time",".7666407",".8392373"
"46.time",".6324067",".7120429"
"47.time","1.264432",".8567016"
"48.time",".8877524",".9273543"
"49.time",".7339905",".8214782"
"50.time",".6544808",".7815577"
"51.time",".9894203",".9942593"
"52.time",".4687828",".5883886"
"53.time",".6358301",".7734224"
"N","1259",""
