"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_lag_all","1.046886",".7264447"
"p48_ss_c_lag_all","1.046458",".1374804"
"p71_ss_c_lag_all",".9544081",".7335485"
"p72_ss_c_lag_all",".8844299",".2968172"
"p75_ss_c_lag_all",".9997748",".2656075"
"p77_ss_c_lag_all",".9952065",".7669393"
"mine_time",".9987826",".9638281"
"onsite_insp_hours",".9999404",".6567091"
"1.state",".7846467",".5855706"
"3.state",".6171567",".0018726"
"4.state","1.176073",".0579146"
"5.state",".6196432",".0056644"
"6.state","1","."
"11.state",".8647154",".1070286"
"12.state",".9339943",".7072147"
"13.state","7.71e-08","0"
"15.state",".6483756","9.71e-06"
"16.state","1.079131",".4514384"
"1.time","1","."
"2.time","1.22333",".4906606"
"3.time","1.290239",".3361917"
"4.time","1.202465",".473607"
"5.time","1.367934",".0939701"
"6.time",".8064404",".4144936"
"7.time",".9484396",".8737124"
"8.time",".9545332",".873116"
"9.time",".9128289",".7704121"
"10.time","1.325127",".3920982"
"11.time",".9955719",".9911737"
"12.time",".6521132",".378231"
"13.time",".7245487",".4691334"
"14.time","1.416593",".4709358"
"15.time","1.531306",".3377171"
"16.time",".9451508",".9103994"
"17.time",".7092799",".504905"
"18.time",".5807629",".3729953"
"19.time","1.010639",".9842228"
"20.time",".9793835",".9711083"
"21.time",".6828181",".5124761"
"22.time",".7686969",".6747402"
"23.time",".6549545",".5152733"
"24.time",".7008044",".6112539"
"25.time",".6927482",".6291277"
"26.time",".5273371",".3737527"
"27.time",".787333",".7276444"
"28.time",".6862924",".6414413"
"29.time",".7364494",".6832686"
"30.time",".8464071",".8374653"
"31.time",".6939756",".6700526"
"32.time",".7295468",".7085938"
"33.time",".7601802",".7651623"
"34.time",".4918821",".4207874"
"35.time",".5103348",".5057892"
"36.time",".7886609",".8054797"
"37.time",".7258103",".7454206"
"38.time",".6191987",".6416805"
"39.time",".6277363",".657671"
"40.time",".7570454",".8036051"
"41.time",".4836297",".5257377"
"42.time",".2768063",".2720324"
"43.time",".7795629",".8424467"
"44.time",".4169829",".4983435"
"45.time",".7657861",".8242361"
"46.time",".5273452",".5924945"
"47.time",".7983012",".8569577"
"48.time",".517457",".5994922"
"49.time",".6039271",".7049503"
"50.time",".6735353",".7733308"
"51.time",".8568242",".9124694"
"52.time",".3799422",".5169678"
"53.time",".4654401",".6457956"
"N","1469",""
