"","est1",""
"","b","p"
"dv","",""
"sp47_41_1lag","1.131558",".552719"
"sp48_11_1lag",".9693516",".9080432"
"sp71_701_1lag","1","."
"sp75_1001_1_1lag","1","."
"sp75_1001_1lag","1","."
"sp75_1003_1_1lag","1","."
"sp75_1400_1_1lag","9.01e-08","0"
"sp75_1401_1_1lag",".4281753",".0035559"
"sp75_1401_1lag","1.672229",".3651648"
"sp75_1403_11_1lag","13.85684",".0001111"
"sp75_1404_1_1lag","1","."
"sp75_1405_1_1lag","1","."
"sp75_1431_1lag","1","."
"sp75_151_1lag","1.97e-07","0"
"sp75_1721_1lag","1","."
"sp75_1731_1lag","1.012782",".2425241"
"sp75_1911_1lag","1.055973",".4204017"
"sp75_211_1lag","1.026955",".6462347"
"sp75_341_1lag","1","."
"sp75_506_1_1lag",".828393",".8026356"
"sp75_510_1_1lag","1","."
"sp75_511_1_1lag","1","."
"sp75_511_1lag","1.208638",".4162189"
"sp75_512_1_1lag","1.078839",".8836709"
"sp75_513_1_1lag",".7696048",".7324676"
"sp75_516_1_1lag","2.340301",".1142651"
"sp75_517_1_1lag",".6530795",".3324375"
"sp75_518_1_1lag",".8094109",".2150998"
"sp75_523_1_1lag",".9290489",".4444914"
"sp75_600_1_1lag",".5841395",".431445"
"sp75_601_1_1lag","1.043452",".2145727"
"sp75_601_1lag",".9906245",".8350835"
"sp75_700_1_1lag",".2727118",".0031723"
"sp75_701_1_1lag","1.793744",".0001419"
"sp75_701_1lag",".9264962",".0206896"
"sp75_702_1_1lag","8.02e-08","0"
"sp75_703_1_1lag","1.30278",".7464145"
"sp75_705_1_1lag","2.477833",".3061578"
"sp75_801_1lag","1.31e-07","0"
"sp75_811_1lag",".7916055",".2903467"
"sp75_821_1lag","1.325674",".4779224"
"sp75_831_1lag","1","."
"sp75_901_1lag",".8706426",".7385378"
"sp75_902_1_1lag","1","."
"sp77_1111_1lag",".3525319",".1775724"
"sp77_401_1lag",".6839395",".3874211"
"sp77_403_1_1lag",".5978401",".4442951"
"sp77_411_1lag","1","."
"sp77_501_1lag",".8243095",".6640574"
"sp77_502_1_1lag","1.977232",".0549293"
"sp77_503_1_1lag","1.528191",".551617"
"sp77_506_1_1lag",".9082342",".47841"
"sp77_508_1_1lag","1.76324",".6157128"
"sp77_511_1lag",".2556982",".00241"
"sp77_601_1lag","1.30e-07","0"
"sp77_606_1_1lag","1","."
"sp77_700_1_1lag","2.384421",".093374"
"sp77_701_1_1lag",".9112516",".8179869"
"sp77_701_1lag",".8791346",".4964481"
"sp77_704_1_1lag","1","."
"sp77_800_1_1lag",".4931329",".2879166"
"sp77_801_1_1lag","1","."
"sp77_801_1lag","1","."
"sp77_807_1_1lag","1","."
"sp77_900_1_1lag","1.201625",".7348883"
"sp77_901_1_1lag","1","."
"sp77_901_1lag","1.43e-07","0"
"sp47_42_1lag",".0001228","0"
"sp75_1100_2_1lag","1.029963",".3833445"
"sp75_1102_1lag",".975378",".9148726"
"sp75_1106_2_1lag",".6389068",".004836"
"sp75_1400_2_1lag",".6863498",".4393773"
"sp75_1402_2_1lag","1","."
"sp75_1432_1lag","1.051549",".9176464"
"sp75_1600_2_1lag",".7920632",".3148189"
"sp75_1912_1lag","1.287846",".368687"
"sp75_202_1lag",".9753249",".0453734"
"sp75_212_1lag",".9965857",".9797233"
"sp75_312_1lag","1.178964",".1689774"
"sp75_342_1lag",".99636",".9048813"
"sp75_352_1lag",".6794268",".0578683"
"sp75_382_1lag","1.214896",".0343126"
"sp75_512_2_1lag","1.120223",".089993"
"sp75_512_1lag","1.011477",".577685"
"sp75_516_2_1lag",".9052454",".562614"
"sp75_523_2_1lag","1.238906",".019405"
"sp75_601_2_1lag","1","."
"sp75_602_1lag","1.119267",".3926282"
"sp75_701_2_1lag","1.037695",".8857162"
"sp75_702_1lag","1","."
"sp75_703_2_1lag","6.22e-09","0"
"sp75_705_2_1lag","1","."
"sp75_800_2_1lag","2.913247",".0002583"
"sp75_802_1lag",".3256693",".2734261"
"sp75_803_2_1lag","1","."
"sp75_812_1lag",".1670557",".0126937"
"sp75_832_1lag","1","."
"sp75_900_2_1lag","1","."
"sp75_902_2_1lag","1.099776",".2013707"
"sp75_902_1lag",".9495332",".6624818"
"sp77_1112_1lag","1.42e-07","0"
"sp77_1432_1lag","1","."
"sp77_1802_1lag","1","."
"sp77_202_1lag",".6790764",".0000813"
"sp77_402_1lag","1.346854",".0562366"
"sp77_403_2_1lag","1","."
"sp77_412_1lag","1.266227",".3958232"
"sp77_502_2_1lag",".5952873",".1818249"
"sp77_502_1lag","1.069448",".2878843"
"sp77_512_1lag",".6916798",".0492861"
"sp77_602_1lag","7.29e-08","0"
"sp77_701_2_1lag","1.973737",".1257144"
"sp77_702_1lag","1","."
"sp77_800_2_1lag",".2342179",".0355194"
"sp77_802_1lag","1.26e-07","0"
"sp77_807_2_1lag","1.099691",".7313391"
"sp77_900_2_1lag","1.677906",".3451125"
"sp77_902_2_1lag","1","."
"sp77_902_1lag","1.234751",".2125364"
"sp47_43_1lag","1","."
"sp72_503_1lag",".6058417",".296137"
"sp75_1106_3_1lag",".9575861",".5079969"
"sp75_1400_3_1lag",".8287812",".1915062"
"sp75_1403_3_1lag","6.160933",".0025369"
"sp75_1433_1lag",".5652296",".0022816"
"sp75_153_1lag","1","."
"sp75_1903_1lag","1.171796",".2538299"
"sp75_1913_1lag",".6818731",".5773274"
"sp75_503_1lag","1.028978",".0388352"
"sp75_513_1lag","1.396437",".3602359"
"sp75_523_1lag",".873884",".3186719"
"sp75_601_3_1lag",".0931997",".0001311"
"sp75_603_1lag",".8229897",".5886242"
"sp75_701_3_1lag",".8555066",".3260502"
"sp75_703_3_1lag","1.599668",".0136145"
"sp75_703_1lag",".8692289",".4199575"
"sp75_705_3_1lag","1","."
"sp75_800_3_1lag","1.960021",".0810528"
"sp75_803_1lag","1.579915",".319671"
"sp75_900_3_1lag",".968248",".8212765"
"sp75_903_1lag","1.008088",".965136"
"sp77_103_1lag","1","."
"sp77_1103_1lag","1.053188",".5723002"
"sp77_1403_1lag","9.52e-08","0"
"sp77_1433_1lag","2.75e-07","0"
"sp77_203_1lag","1","."
"sp77_403_1lag","1.36e-07","0"
"sp77_413_1lag","1","."
"sp77_503_1lag",".7572128",".524511"
"sp77_513_1lag",".7985124",".3755329"
"sp77_603_1lag","2.071667",".11559"
"sp77_701_3_1lag","1.81078",".5095874"
"sp77_703_1lag","1","."
"sp77_803_1lag","2.829409",".2384156"
"sp77_807_3_1lag","1.62e-07","0"
"sp77_902_3_1lag","1","."
"sp77_903_1lag","1.12e-07","0"
"sp47_44_1lag",".3526981",".066819"
"sp48_24_1lag","1","."
"sp48_4_1lag","1.11e-07","0"
"sp75_1103_4_1lag","1.11949",".0606074"
"sp75_1104_1lag","1.136794",".1306346"
"sp75_1106_4_1lag","1.526642",".0935145"
"sp75_1107_14_1lag","1","."
"sp75_1400_4_1lag","1.23759",".3458363"
"sp75_1403_4_1lag","21.5906",".0052574"
"sp75_1404_1lag","1","."
"sp75_1434_1lag",".926111",".8210992"
"sp75_1914_1lag",".9696367",".353783"
"sp75_214_1lag",".8791238",".3543589"
"sp75_324_1lag","1.061102",".817724"
"sp75_344_1lag",".6628449",".2271012"
"sp75_504_1lag",".5796867",".4021783"
"sp75_514_1lag","1.053013",".6195299"
"sp75_604_1lag",".9919075",".6707808"
"sp75_701_4_1lag","9.04e-08","0"
"sp75_703_4_1lag","1","."
"sp75_704_1lag","1.583683",".2653211"
"sp75_800_4_1lag",".9469732",".8676948"
"sp75_804_1lag","4.653971",".0053555"
"sp75_814_1lag",".2997114",".1644194"
"sp75_834_1lag","1","."
"sp75_900_4_1lag",".605779",".0425982"
"sp75_902_4_1lag",".9266418",".7472775"
"sp75_904_1lag","1.001476",".9705987"
"sp77_104_1lag","2.30e-07","0"
"sp77_1104_1lag","1.026801",".6404296"
"sp77_1434_1lag","2.96e-09","0"
"sp77_204_1lag","1.216994",".0356036"
"sp77_314_1lag","1","."
"sp77_404_1lag",".9093682",".0366998"
"sp77_504_1lag",".8862017",".6149548"
"sp77_514_1lag","1.44e-07","0"
"sp77_604_1lag","1.656746",".2730635"
"sp77_701_4_1lag","1","."
"sp77_704_1lag","36000.08",".0018208"
"sp77_804_1lag","1","."
"sp77_904_1lag","1.300596",".0083822"
"sp48_25_1lag","3.70183",".0384553"
"sp48_5_1lag","1.60504",".7447007"
"sp75_1106_5_1lag",".9115691",".5647253"
"sp75_1403_5_1lag","1.028675",".4527588"
"sp75_1405_1lag","1.25127",".0855058"
