"","est1",""
"","b","p"
"dv","",""
"p47_pp",".993701",".0039528"
"p48_pp",".99961",".6516347"
"p71_pp",".9995698",".8643424"
"p72_pp",".9975956",".1256466"
"p75_pp",".9999992",".9545259"
"p77_pp",".9998134",".458817"
"mine_time",".9722355",".8522791"
"onsite_insp_hours",".9999701",".6876193"
"1.state","1.092708",".8295135"
"2.state","2.344567","1.12e-07"
"3.state",".9334182",".8628776"
"4.state","1.903948",".0233793"
"5.state","1.228051",".281684"
"6.state","1.156039",".3743015"
"11.state",".8580091",".2778581"
"12.state","1.327684",".1077778"
"14.state","1.164074",".4280122"
"15.state",".743297",".1833776"
"16.state","1","."
"5.time","1","."
"6.time",".9210609",".6649972"
"7.time",".825457",".6115376"
"8.time",".9738362",".95887"
"9.time",".8145203",".7521325"
"10.time",".8261467",".8147092"
"11.time",".6187353",".6288906"
"12.time",".7884715",".8299303"
"13.time",".6701305",".7543862"
"N","305",""
