"","est1",""
"","b","p"
"dv","",""
"p47_ss_1lag",".6368659",".1965309"
"p48_ss_1lag","1.07423",".1548833"
"p71_ss_1lag",".7596612",".5321049"
"p72_ss_1lag",".6461963",".0040262"
"p75_ss_1lag","1.000405",".7596547"
"p77_ss_1lag",".9021561",".1236235"
"mine_time","1.092521",".4881333"
"onsite_insp_hours",".9999435",".2624745"
"1.state","1.028242",".9379682"
"2.state","1.875442","5.87e-08"
"3.state",".7271975",".0406078"
"4.state","1.507963",".0022969"
"5.state",".8134094",".0505742"
"6.state","1.034327",".7028779"
"11.state",".888102",".1925971"
"12.state","1.152401",".4202451"
"14.state","1.176222",".2387353"
"15.state",".6622475",".0000784"
"16.state","1","."
"1.time","1","."
"2.time",".8670808",".4481241"
"3.time",".7081375",".200433"
"4.time",".7945415",".5240837"
"5.time",".5112617",".1906063"
"6.time",".3973705",".14405"
"7.time",".335947",".1638551"
"8.time",".334648",".2209732"
"9.time",".2771625",".2123005"
"10.time",".2540867",".2413947"
"11.time",".160192",".1605558"
"12.time",".1853849",".2307716"
"13.time",".1339404",".1831389"
"N","547",""
