"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_lag_all","1.203321",".035299"
"sp47_42_pp_c_lag_all","1","."
"sp47_44_pp_c_lag_all",".9349954",".7137345"
"sp48_11_pp_c_lag_all","2.23e-28","0"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.256962",".4481786"
"sp48_26_pp_c_lag_all","1.101984",".2298858"
"sp48_27_pp_c_lag_all",".9907797",".8535162"
"sp48_28_pp_c_lag_all",".1608366",".5764824"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.379916",".4541657"
"sp48_6_pp_c_lag_all",".9631932",".476662"
"sp48_7_pp_c_lag_all",".9756768",".185471"
"sp48_8_pp_c_lag_all",".9349817",".3162319"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".7935403",".0593933"
"sp72_610_pp_c_lag_all","1","."
"sp72_620_pp_c_lag_all","3.49e-74","0"
"sp72_630_pp_c_lag_all","1.003006",".4431788"
"sp75_100_pp_c_lag_all",".9543278",".3645736"
"sp75_1001_1_pp_c_lag_all","1","."
"sp75_1001_pp_c_lag_all","1","."
"sp75_1003_1_pp_c_lag_all","1","."
"sp75_1100_2_pp_c_lag_all","1.010278",".3147824"
"sp75_1101_20_pp_c_lag_all","1","."
"sp75_1102_pp_c_lag_all","1.035264",".3919061"
"sp75_1103_4_pp_c_lag_all","1.00727",".4324559"
"sp75_1104_pp_c_lag_all",".9793484",".4615881"
"sp75_1106_2_pp_c_lag_all","1.006071",".7832666"
"sp75_1106_3_pp_c_lag_all","1.014966",".3529075"
"sp75_1106_4_pp_c_lag_all","1.61e+57","0"
"sp75_1106_5_pp_c_lag_all",".9443638",".2565075"
"sp75_1106_6_pp_c_lag_all","1","."
"sp75_1106_pp_c_lag_all",".9175908",".5449045"
"sp75_1107_14_pp_c_lag_all","1","."
"sp75_1400_1_pp_c_lag_all","1","."
"sp75_1400_2_pp_c_lag_all",".9645327",".470132"
"sp75_1400_3_pp_c_lag_all","1.049237",".3015734"
"sp75_1400_4_pp_c_lag_all",".9909868",".9828623"
"sp75_1400_pp_c_lag_all","1.02242",".8702105"
"sp75_1401_1_pp_c_lag_all","1","."
"sp75_1401_pp_c_lag_all","1","."
"sp75_1403_10_pp_c_lag_all","1.000764",".9509601"
"sp75_1403_11_pp_c_lag_all","8018429","5.38e-06"
"sp75_1403_3_pp_c_lag_all","1.26e+09","0"
"sp75_1403_4_pp_c_lag_all","1.72e+17","1.93e-14"
"sp75_1403_5_pp_c_lag_all",".9998493",".9927996"
"sp75_1403_6_pp_c_lag_all",".9596032",".0282462"
"sp75_1403_7_pp_c_lag_all",".0002476","7.00e-11"
"sp75_1403_8_pp_c_lag_all","1.014279",".5472135"
"sp75_1403_9_pp_c_lag_all","1","."
"sp75_1404_1_pp_c_lag_all","1","."
"sp75_1404_pp_c_lag_all","1","."
"sp75_1405_1_pp_c_lag_all","1","."
"sp75_1405_pp_c_lag_all",".9520635",".1851523"
"sp75_1431_pp_c_lag_all","1","."
"sp75_1432_pp_c_lag_all",".5971037",".6859638"
"sp75_1433_pp_c_lag_all","1.049914",".1275828"
"sp75_1434_pp_c_lag_all","5.50e+08","4.65e-11"
"sp75_1435_pp_c_lag_all","7.93e-22","."
"sp75_1437_pp_c_lag_all","1.06122",".4274432"
"sp75_150_pp_c_lag_all","1","."
"sp75_151_pp_c_lag_all",".7522409","."
"sp75_153_pp_c_lag_all","1","."
"sp75_156_pp_c_lag_all","1","."
"sp75_160_pp_c_lag_all","1","."
"sp75_1600_2_pp_c_lag_all","1.004904",".7853462"
"sp75_1712_10_pp_c_lag_all","1.191437",".3118732"
"sp75_1712_6_pp_c_lag_all","1.120256",".0856023"
"sp75_1720_pp_c_lag_all","1.087695",".0030284"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.005576",".4433969"
"sp75_1726_pp_c_lag_all","1.106111",".1738257"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all","1","."
"sp75_1729_pp_c_lag_all","1.21e+47","1.95e-14"
"sp75_1730_pp_c_lag_all",".8504614",".6750228"
"sp75_1731_pp_c_lag_all","1.00232",".1506333"
"sp75_1903_pp_c_lag_all","1.008544",".9444962"
"sp75_1909_pp_c_lag_all",".9867497",".2811434"
"sp75_1910_pp_c_lag_all",".9957096",".6729897"
"sp75_1911_pp_c_lag_all","1.021481",".211538"
"sp75_1912_pp_c_lag_all","1.040681",".7294616"
"sp75_1913_pp_c_lag_all",".8639375",".5894936"
"sp75_1914_pp_c_lag_all","1.003187",".5860485"
"sp75_1915_pp_c_lag_all",".9199874",".1214786"
"sp75_202_pp_c_lag_all",".9983631",".304474"
"sp75_208_pp_c_lag_all","1.017879",".1441881"
"sp75_211_pp_c_lag_all",".9982647",".8091734"
"sp75_212_pp_c_lag_all","1.117284",".0127284"
"sp75_214_pp_c_lag_all","1.017512",".3927653"
"sp75_312_pp_c_lag_all",".9984857",".856282"
"sp75_320_pp_c_lag_all",".9541115",".002642"
"sp75_324_pp_c_lag_all","1936.641","8.99e-13"
"sp75_337_pp_c_lag_all","1.013258",".2145832"
"sp75_340_pp_c_lag_all","1.00527",".5149216"
"sp75_341_pp_c_lag_all","1","."
"sp75_342_pp_c_lag_all",".9991236",".7768794"
"sp75_344_pp_c_lag_all","1.043736",".8638257"
"sp75_352_pp_c_lag_all",".950837",".0368702"
"sp75_382_pp_c_lag_all","1.047807",".8586577"
"sp75_503_pp_c_lag_all",".996388",".2263127"
"sp75_504_pp_c_lag_all",".920745",".1760996"
"sp75_505_pp_c_lag_all","1","."
"sp75_506_1_pp_c_lag_all","2575997","."
"sp75_506_pp_c_lag_all",".8532704",".1743899"
"sp75_507_pp_c_lag_all",".9163681",".0306489"
"sp75_511_1_pp_c_lag_all","1","."
"sp75_511_pp_c_lag_all","1.0174",".3961203"
"sp75_512_1_pp_c_lag_all","2.76e-11","0"
"sp75_512_2_pp_c_lag_all",".959673",".0387939"
"sp75_512_pp_c_lag_all",".994633",".0699738"
"sp75_513_1_pp_c_lag_all","15.7727",".0016333"
"sp75_513_pp_c_lag_all",".9966577",".937437"
"sp75_514_pp_c_lag_all","1.063482",".0474232"
"sp75_515_pp_c_lag_all","1.02216",".0093822"
"sp75_516_1_pp_c_lag_all","7.262383",".5692478"
"sp75_516_2_pp_c_lag_all",".9741075",".6416608"
"sp75_516_pp_c_lag_all",".9692695",".0407223"
"sp75_517_1_pp_c_lag_all",".6915107",".6093818"
"sp75_517_pp_c_lag_all",".9993501",".7595703"
"sp75_518_1_pp_c_lag_all",".6972319",".0016764"
"sp75_518_pp_c_lag_all","1.005645",".6524344"
"sp75_519_pp_c_lag_all","1","."
"sp75_520_pp_c_lag_all","1.017735",".3582964"
"sp75_523_1_pp_c_lag_all",".9366712",".151714"
"sp75_523_2_pp_c_lag_all",".9942059",".6303088"
"sp75_523_pp_c_lag_all",".9808337",".0920368"
"sp75_600_1_pp_c_lag_all","2.08e-06","2.41e-10"
"sp75_600_pp_c_lag_all",".5060243",".4335302"
"sp75_601_1_pp_c_lag_all","1.00362",".6907405"
"sp75_601_2_pp_c_lag_all","1","."
"sp75_601_3_pp_c_lag_all","1","."
"sp75_601_pp_c_lag_all","1.018526",".0086116"
"sp75_602_pp_c_lag_all",".9722363",".3958396"
"sp75_603_pp_c_lag_all","1.114767",".066059"
"sp75_604_pp_c_lag_all",".9995035",".825245"
"sp75_605_pp_c_lag_all","1.009317",".2508084"
"sp75_606_pp_c_lag_all",".9912617",".5547517"
"sp75_607_pp_c_lag_all","1.034001",".4940185"
"sp75_700_1_pp_c_lag_all","1.1635",".7624715"
"sp75_700_pp_c_lag_all",".9429197",".0460014"
"sp75_701_1_pp_c_lag_all","1.031006",".568671"
"sp75_701_2_pp_c_lag_all","1.017938",".8320965"
"sp75_701_3_pp_c_lag_all",".9599492",".7599483"
"sp75_701_4_pp_c_lag_all","1","."
"sp75_701_pp_c_lag_all",".999757",".9815125"
"sp75_702_1_pp_c_lag_all",".9732985",".7449523"
"sp75_702_pp_c_lag_all","1","."
"sp75_703_1_pp_c_lag_all",".5103337",".1599726"
"sp75_703_2_pp_c_lag_all","1","."
"sp75_703_3_pp_c_lag_all","1.001648",".9627565"
"sp75_703_4_pp_c_lag_all","1","."
"sp75_703_pp_c_lag_all",".9729282",".0446478"
"sp75_704_pp_c_lag_all",".9568891",".8007528"
"sp75_705_1_pp_c_lag_all","1.135357",".4686054"
"sp75_705_3_pp_c_lag_all","1","."
"sp75_705_8_pp_c_lag_all","1","."
