"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_c_lag_all","2.330655",".0628785"
"sp47_44_ss_c_lag_all","1","."
"sp48_11_ss_c_lag_all","1.26975",".7241436"
"sp48_25_ss_c_lag_all","1.240272",".2090833"
"sp48_26_ss_c_lag_all","1.431325",".0015669"
"sp48_27_ss_c_lag_all",".8557094",".157114"
"sp48_28_ss_c_lag_all",".9288233",".7698586"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.852917",".0448385"
"sp48_6_ss_c_lag_all","1.684339",".369178"
"sp48_7_ss_c_lag_all","1.018205",".8639855"
"sp48_8_ss_c_lag_all",".8001455",".3320614"
"sp71_701_ss_c_lag_all","1","."
"sp72_503_ss_c_lag_all","1","."
"sp72_610_ss_c_lag_all","1","."
"sp72_620_ss_c_lag_all",".738216",".0530204"
"sp72_630_ss_c_lag_all","1.010732",".3588984"
"sp75_100_ss_c_lag_all","22260.72",".0037345"
"sp75_1001_1_ss_c_lag_all","1","."
"sp75_1001_ss_c_lag_all",".0011756","0"
"sp75_1003_1_ss_c_lag_all","1","."
"sp75_1100_2_ss_c_lag_all",".9828168",".6811025"
"sp75_1101_20_ss_c_lag_all","1","."
"sp75_1102_ss_c_lag_all",".8804327",".3047862"
"sp75_1103_4_ss_c_lag_all","1.073556",".1520404"
"sp75_1104_ss_c_lag_all","1.832555",".090819"
"sp75_1106_2_ss_c_lag_all","1.012432",".8863732"
"sp75_1106_3_ss_c_lag_all","1.023167",".489077"
"sp75_1106_4_ss_c_lag_all","1.027754",".9205978"
"sp75_1106_5_ss_c_lag_all","1.146483",".199003"
"sp75_1106_6_ss_c_lag_all","1","."
"sp75_1106_ss_c_lag_all","1.34094",".3504498"
"sp75_1107_14_ss_c_lag_all","1","."
"sp75_1400_1_ss_c_lag_all","4.225904",".0001208"
"sp75_1400_2_ss_c_lag_all","1","."
"sp75_1400_3_ss_c_lag_all",".8732945",".4614765"
"sp75_1400_4_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all","3.809646","2.86e-08"
"sp75_1401_ss_c_lag_all","1","."
"sp75_1403_10_ss_c_lag_all",".9361606",".0878314"
"sp75_1403_11_ss_c_lag_all","9.19e-17",".3082973"
"sp75_1403_3_ss_c_lag_all","1.478464",".8626476"
"sp75_1403_4_ss_c_lag_all","5182482",".1955472"
"sp75_1403_5_ss_c_lag_all",".9501445",".4716908"
"sp75_1403_6_ss_c_lag_all","1.027509",".4826497"
"sp75_1403_7_ss_c_lag_all",".2969097",".0010489"
"sp75_1403_8_ss_c_lag_all","1.099809",".1996371"
"sp75_1403_9_ss_c_lag_all","1","."
"sp75_1404_1_ss_c_lag_all","1","."
"sp75_1404_ss_c_lag_all","1","."
"sp75_1405_1_ss_c_lag_all","1","."
"sp75_1405_ss_c_lag_all","1.057442",".3088177"
"sp75_1431_ss_c_lag_all","1","."
"sp75_1432_ss_c_lag_all","1","."
"sp75_1433_ss_c_lag_all",".0006296","."
"sp75_1434_ss_c_lag_all",".7388451",".3909328"
"sp75_1435_ss_c_lag_all","4.35e-07",".4034764"
"sp75_1437_ss_c_lag_all","8.0952",".2219346"
"sp75_150_ss_c_lag_all","1","."
"sp75_151_ss_c_lag_all","1","."
"sp75_153_ss_c_lag_all","1","."
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all","1","."
"sp75_1600_2_ss_c_lag_all","1","."
"sp75_1712_10_ss_c_lag_all","1","."
"sp75_1712_6_ss_c_lag_all","1","."
"sp75_1720_ss_c_lag_all","1.007791",".8071899"
"sp75_1721_ss_c_lag_all","1","."
"sp75_1725_ss_c_lag_all",".998222",".771505"
"sp75_1726_ss_c_lag_all","1.227487",".1565554"
"sp75_1727_ss_c_lag_all","1","."
"sp75_1728_ss_c_lag_all","1","."
"sp75_1729_ss_c_lag_all","2.16382",".0186222"
"sp75_1730_ss_c_lag_all","1","."
"sp75_1731_ss_c_lag_all",".9876779",".1102926"
"sp75_1903_ss_c_lag_all","2.285837",".0019802"
"sp75_1909_ss_c_lag_all","1.068229",".0189352"
"sp75_1910_ss_c_lag_all",".9300279",".2181214"
"sp75_1911_ss_c_lag_all","1.167489",".0251859"
"sp75_1912_ss_c_lag_all","1","."
"sp75_1913_ss_c_lag_all","1","."
"sp75_1914_ss_c_lag_all","1.003869",".8816922"
"sp75_1915_ss_c_lag_all","1.121628",".3857222"
"sp75_202_ss_c_lag_all",".9995348",".8888994"
"sp75_208_ss_c_lag_all",".9705289",".1760699"
"sp75_211_ss_c_lag_all","1.022628",".5111155"
"sp75_212_ss_c_lag_all",".9387738",".5950074"
"sp75_214_ss_c_lag_all","1.491909",".0709198"
"sp75_312_ss_c_lag_all",".6035053",".0008357"
"sp75_320_ss_c_lag_all",".8631782",".1763026"
"sp75_324_ss_c_lag_all","1.097325",".2548416"
"sp75_337_ss_c_lag_all","1.097547",".6724294"
"sp75_340_ss_c_lag_all","1.064931",".0351867"
"sp75_342_ss_c_lag_all",".9787532",".1812111"
"sp75_344_ss_c_lag_all",".6659974",".1347993"
"sp75_352_ss_c_lag_all",".941746",".6322897"
"sp75_382_ss_c_lag_all","1.007064",".9233466"
"sp75_503_ss_c_lag_all","1.002429",".6949849"
"sp75_504_ss_c_lag_all",".7982671",".4267057"
"sp75_505_ss_c_lag_all","1","."
"sp75_506_1_ss_c_lag_all","1","."
"sp75_506_ss_c_lag_all","1","."
"sp75_507_ss_c_lag_all",".8796408",".2691539"
"sp75_511_1_ss_c_lag_all","1","."
"sp75_511_ss_c_lag_all","1.12306",".0919309"
"sp75_512_1_ss_c_lag_all","2.604057",".4125995"
"sp75_512_2_ss_c_lag_all","1.088005",".477901"
"sp75_512_ss_c_lag_all","1.008753",".3216604"
"sp75_513_1_ss_c_lag_all","1","."
"sp75_513_ss_c_lag_all",".9157056",".7180897"
"sp75_514_ss_c_lag_all",".9512368",".2419034"
"sp75_515_ss_c_lag_all","1.008829",".8236552"
"sp75_516_1_ss_c_lag_all","1.949463",".0643265"
"sp75_516_2_ss_c_lag_all","1","."
"sp75_516_ss_c_lag_all","1.008876",".9079824"
"sp75_517_1_ss_c_lag_all",".709543",".0104465"
"sp75_517_ss_c_lag_all",".989514",".00323"
"sp75_518_1_ss_c_lag_all","1.286475",".0230259"
"sp75_518_ss_c_lag_all",".9568351",".2977294"
"sp75_519_ss_c_lag_all","1","."
"sp75_520_ss_c_lag_all","1.28204",".0314582"
"sp75_523_1_ss_c_lag_all","1.029136",".105858"
"sp75_523_2_ss_c_lag_all","1.01569",".4560995"
"sp75_523_ss_c_lag_all","1.014553",".618584"
"sp75_600_1_ss_c_lag_all","1","."
"sp75_600_ss_c_lag_all","1","."
"sp75_601_1_ss_c_lag_all",".9338096",".271441"
"sp75_601_2_ss_c_lag_all","1","."
"sp75_601_3_ss_c_lag_all","1","."
"sp75_601_ss_c_lag_all",".9525604",".0796651"
"sp75_602_ss_c_lag_all",".959854",".8165141"
"sp75_603_ss_c_lag_all",".8782047",".4144544"
"sp75_604_ss_c_lag_all","1.02669","7.99e-08"
"sp75_605_ss_c_lag_all",".9624605",".302394"
"sp75_606_ss_c_lag_all",".9267311",".0066909"
"sp75_607_ss_c_lag_all",".6347609",".000914"
"sp75_700_1_ss_c_lag_all",".8701798",".479903"
"sp75_700_ss_c_lag_all","1.011239",".8113044"
"sp75_701_1_ss_c_lag_all","1.197849",".0002926"
"sp75_701_2_ss_c_lag_all","1.054923",".6362998"
"sp75_701_3_ss_c_lag_all",".9826093",".9060215"
"sp75_701_4_ss_c_lag_all","1","."
"sp75_701_ss_c_lag_all",".9515035",".1030295"
"sp75_703_2_ss_c_lag_all","1","."
"sp75_703_3_ss_c_lag_all",".729555",".369745"
"sp75_703_ss_c_lag_all",".9944296",".9313585"
"sp75_704_ss_c_lag_all","1","."
"sp75_705_1_ss_c_lag_all","3.047476",".0902026"
"sp75_705_8_ss_c_lag_all","1","."
"sp75_705_ss_c_lag_all",".5985945",".0049029"
"sp75_706_ss_c_lag_all",".8863186",".059049"
"sp75_800_2_ss_c_lag_all","1","."
"sp75_800_3_ss_c_lag_all",".8454067",".3243046"
"sp75_800_4_ss_c_lag_all","1","."
"sp75_800_ss_c_lag_all","1.211318",".0094424"
"sp75_801_ss_c_lag_all","1","."
"sp75_802_ss_c_lag_all","1","."
"sp75_803_2_ss_c_lag_all","1","."
"sp75_803_ss_c_lag_all","174.8272",".4071931"
"sp75_812_ss_c_lag_all","1.114033",".2898341"
"sp75_814_ss_c_lag_all","1","."
"sp75_815_ss_c_lag_all",".8774578",".6587677"
