"","est1",""
"","b","p"
"dv","",""
"p48_ss","1.026983",".6537467"
"p75_ss","1.002273",".3101258"
"mine_time",".9984147",".950662"
"onsite_insp_hours",".9996627",".0587583"
"1.state","1.325788",".5220069"
"2.state","1.233749",".004986"
"3.state",".6257439","1.21e-09"
"4.state",".9721715",".770508"
"5.state",".7116298",".0010361"
"6.state",".7462085",".0021307"
"11.state","1.139721",".0741121"
"12.state","1.14875",".1517445"
"13.state","4.08e-08","0"
"14.state",".9435763",".4515238"
"15.state",".7572321",".0009327"
"16.state","1","."
"1.time","1","."
"2.time","1.137589",".2632061"
"3.time","1.285432",".0488552"
"4.time",".915243",".5286228"
"5.time",".9702854",".8827243"
"6.time",".8773723",".4353552"
"7.time","1.144937",".4462271"
"8.time",".9271787",".7328456"
"9.time",".9067209",".69638"
"10.time","1.004202",".9870467"
"11.time",".9461027",".8346156"
"12.time",".8592066",".6234244"
"13.time",".902677",".7735736"
"14.time",".781342",".4882976"
"15.time","1.088838",".8136747"
"16.time",".9496278",".9002322"
"17.time",".8144838",".6277827"
"18.time",".7457887",".5244235"
"19.time",".9514965",".9226523"
"20.time",".9045287",".8553005"
"21.time",".8096847",".6889491"
"22.time",".7809523",".6691387"
"23.time",".7955969",".6982827"
"24.time",".6625634",".5061906"
"25.time",".6819512",".5582903"
"26.time",".5423008",".3733055"
"27.time",".6569788",".5439039"
"28.time",".6196227",".5087878"
"29.time",".6212917",".5167259"
"30.time",".5790117",".4744812"
"31.time",".7987428",".7737331"
"32.time",".5969082",".5166175"
"33.time",".5892432",".5272614"
"34.time",".5752083",".5139293"
"35.time",".5890547",".5477863"
"36.time",".4906726",".4374626"
"37.time",".6561284",".6492449"
"38.time",".4352652",".3912773"
"39.time",".4903709",".4786201"
"40.time",".4820438",".4716748"
"41.time",".4733331",".4773532"
"42.time",".449289",".4492722"
"43.time",".5266986",".5668039"
"44.time",".3176749",".325677"
"45.time",".4279731",".4675335"
"46.time",".485536",".531383"
"47.time",".532184",".6034216"
"48.time",".3655918",".4181999"
"49.time",".3464065",".4042301"
"50.time",".311613",".3676896"
"51.time",".5682747",".6684596"
"52.time",".4134387",".4998065"
"53.time",".3803078",".4838249"
"N","2325",""
