"","est1",""
"","b","p"
"dv","",""
"p48_c_4lag","1.000679",".9740486"
"p75_c_4lag","1.000158",".6063254"
"mine_time",".9899887",".7234305"
"onsite_insp_hours",".9996906",".1440408"
"1.state","1.161899",".7570071"
"2.state","1.381936",".0000397"
"3.state",".6275664","3.95e-09"
"4.state",".9548506",".6734226"
"5.state",".6925484",".0005677"
"6.state",".7471607",".0030981"
"11.state","1.15209",".0619167"
"12.state","1.168373",".1387894"
"13.state","1.97e-08","0"
"14.state",".9683968",".6946129"
"15.state",".7593667",".0011721"
"16.state","1","."
"1.time","1","."
"2.time","1.171458",".1669233"
"3.time","1.233889",".1000909"
"4.time",".9574342",".7680589"
"5.time","1.015101",".9434882"
"6.time",".8957403",".5406636"
"7.time","1.192842",".3612034"
"8.time","1.007812",".9732515"
"9.time",".9690157",".9053117"
"10.time","1.078209",".7892827"
"11.time","1.062033",".8365318"
"12.time",".986452",".9674742"
"13.time",".993005",".9856452"
"14.time",".8914698",".7684707"
"15.time","1.272544",".5430682"
"16.time","1.090677",".8475013"
"17.time",".8752777",".7812817"
"18.time",".8280434",".7139516"
"19.time","1.14309",".8134383"
"20.time","1.064664",".9169088"
"21.time",".9679613",".9553154"
"22.time",".9341273",".9144507"
"23.time",".9452424",".9309405"
"24.time",".7972303",".7398605"
"25.time",".8196776",".7814603"
"26.time",".6638786",".5872429"
"27.time",".8104537",".7833768"
"28.time",".7661305",".7379827"
"29.time",".7755953",".7537775"
"30.time",".7447251",".7277056"
"31.time","1.034019",".969517"
"32.time",".7681174",".766608"
"33.time",".7683088",".7770263"
"34.time",".751083",".7606864"
"35.time",".7715865",".7911258"
"36.time",".6625509",".6869956"
"37.time",".8155327",".8432854"
"38.time",".5837733",".6175448"
"39.time",".6626841",".7114801"
"40.time",".6537048",".7055033"
"41.time",".6529792",".7144429"
"42.time",".6203263",".6828901"
"43.time",".735669",".8040915"
"44.time",".4511707",".5348084"
"45.time",".6173472",".7096041"
"46.time",".7010529",".7823291"
"47.time",".7750712",".8501676"
"48.time",".535427",".6513845"
"49.time",".5089897",".6315594"
"50.time",".4623855",".5913651"
"51.time",".8484225",".9104487"
"52.time",".6242892",".7466146"
"53.time",".5771525",".7192671"
"N","2187",""
