"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_c_lag_all",".8857044",".1207445"
"sp48_25_ss_c_lag_all","1.45323",".0047717"
"sp48_26_ss_c_lag_all","1.207502",".1613539"
"sp48_27_ss_c_lag_all",".9962453",".9736857"
"sp48_28_ss_c_lag_all",".7175376",".0205859"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.391573",".1467106"
"sp48_6_ss_c_lag_all","1.603451",".1665524"
"sp48_7_ss_c_lag_all",".9422885",".5898867"
"sp48_8_ss_c_lag_all","2.317921","1.13e-12"
"sp75_100_ss_c_lag_all","1.768194",".0936232"
"sp75_1002_ss_c_lag_all","1.023695",".8930169"
"sp75_1003_ss_c_lag_all",".9641567",".7681729"
"sp75_1003_2_ss_c_lag_all","1","."
"sp75_1311_ss_c_lag_all","1","."
"sp75_1315_ss_c_lag_all","1","."
"sp75_1316_ss_c_lag_all","1","."
"sp75_1318_ss_c_lag_all","1","."
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all",".7829418",".010904"
"sp75_1400_1_ss_c_lag_all","1.262728",".3652083"
"sp75_1403_10_ss_c_lag_all","1.014691",".5108969"
"sp75_1403_5_ss_c_lag_all",".9267649",".0023366"
"sp75_1403_6_ss_c_lag_all","1.016522",".5165679"
"sp75_1403_7_ss_c_lag_all",".9969273",".9804434"
"sp75_1403_8_ss_c_lag_all",".9929548",".9138213"
"sp75_1404_ss_c_lag_all","1","."
"sp75_1404_1_ss_c_lag_all","1","."
"sp75_1405_ss_c_lag_all","1.103616",".2571758"
"sp75_1405_1_ss_c_lag_all","1","."
"sp75_153_ss_c_lag_all","1","."
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all","1","."
"sp75_1719_2_ss_c_lag_all","1","."
"sp75_1719_4_ss_c_lag_all","1","."
"sp75_1720_ss_c_lag_all",".9843506",".7695412"
"sp75_1725_ss_c_lag_all","1.000164",".9728273"
"sp75_1906_ss_c_lag_all",".6944163",".0676718"
"sp75_1916_ss_c_lag_all",".8791304",".0182497"
"sp75_203_ss_c_lag_all","1.017823",".3148638"
"sp75_204_ss_c_lag_all","1.108779",".0825783"
"sp75_205_ss_c_lag_all","1.313238",".0002056"
"sp75_207_ss_c_lag_all","1.405972",".1908961"
"sp75_208_ss_c_lag_all",".9715939",".4152135"
"sp75_209_ss_c_lag_all","1.012252",".8450898"
"sp75_212_ss_c_lag_all","1.218174",".0343241"
"sp75_213_ss_c_lag_all","1","."
"sp75_215_ss_c_lag_all","1.156001",".6109832"
"sp75_332_ss_c_lag_all","1.852875",".0007723"
"sp75_334_ss_c_lag_all",".9048685",".3587756"
"sp75_337_ss_c_lag_all",".9686628",".8264786"
"sp75_340_ss_c_lag_all",".986224",".6860125"
"sp75_343_ss_c_lag_all","1","."
"sp75_373_ss_c_lag_all","1","."
"sp75_388_ss_c_lag_all","1.107795",".199114"
"sp75_389_ss_c_lag_all",".5749903",".0006714"
"sp75_500_ss_c_lag_all","1.426388",".0525826"
"sp75_500_1_ss_c_lag_all","1","."
"sp75_501_ss_c_lag_all",".96554",".9021253"
"sp75_501_2_ss_c_lag_all","1","."
"sp75_502_ss_c_lag_all","1","."
"sp75_503_ss_c_lag_all",".993701",".1409931"
"sp75_505_ss_c_lag_all","1","."
"sp75_506_1_ss_c_lag_all","1","."
"sp75_507_ss_c_lag_all",".8535721",".0753614"
"sp75_507_1_ss_c_lag_all","1.035738",".7224627"
"sp75_509_ss_c_lag_all","1.311232",".0706361"
"sp75_512_1_ss_c_lag_all","4.439135",".0003757"
"sp75_523_ss_c_lag_all",".8829714",".0049442"
"sp75_523_3_ss_c_lag_all",".9900494",".5869353"
"sp75_524_ss_c_lag_all","1","."
"sp75_602_ss_c_lag_all",".7616632",".0219982"
"sp75_603_ss_c_lag_all","1.127016",".6408017"
"sp75_604_ss_c_lag_all","1.009156",".0856211"
"sp75_605_ss_c_lag_all",".934898",".1539798"
"sp75_606_ss_c_lag_all",".9764253",".4013114"
"sp75_607_ss_c_lag_all",".9823544",".9344139"
"sp75_703_3_ss_c_lag_all","1.144072",".2498102"
"sp75_807_ss_c_lag_all","1.043048",".219606"
"sp75_810_ss_c_lag_all","1.731914",".0287914"
"sp75_811_ss_c_lag_all","1.089898",".7289523"
"sp75_812_ss_c_lag_all",".6112609",".7797722"
"sp75_816_ss_c_lag_all",".9789366",".9079357"
"sp75_817_ss_c_lag_all","1","."
"sp75_906_ss_c_lag_all","1","."
"mine_time","1.000012",".9995987"
"onsite_insp_hours",".9997773",".1500327"
"1.state","1","."
"3.state",".8832059",".4599369"
"4.state","2.470676",".000901"
"5.state",".2959812",".0637185"
"6.state","1","."
"11.state","1.018521",".9603801"
"12.state","1.185282",".4478987"
"13.state","3.82e-08","0"
"15.state","1.00123",".9926525"
"16.state","1.230476",".1507381"
"1.time","1","."
"2.time","1.163003",".165826"
"3.time","1.247057",".0465239"
"4.time",".9794294",".8873435"
"5.time","1.032178",".8230633"
"6.time",".9646598",".8282607"
"7.time","1.134631",".5032363"
"8.time",".9488973",".8210056"
"9.time",".8929906",".6378138"
"10.time",".9494329",".8338304"
"11.time","1.05632",".8472342"
"12.time",".8977571",".7258541"
"13.time",".9061023",".7485124"
"14.time",".8277618",".5898259"
"15.time","1.129081",".730289"
"16.time","1.093395",".79756"
"17.time",".7644907",".5124442"
"18.time",".7282324",".464191"
"19.time",".9761943",".9561525"
"20.time",".9559778",".9199681"
"21.time",".7155228",".491991"
"22.time",".7184212",".5434584"
"23.time",".7371642",".5801659"
"24.time",".6456758",".4395149"
"25.time",".7376907",".6174461"
"26.time",".628351",".4579595"
"27.time",".7274751",".6110378"
"28.time",".8294107",".7752372"
"29.time",".6506794",".5151024"
"30.time",".6132427",".5052235"
"31.time",".8903958",".8777155"
"32.time",".612057",".5156391"
"33.time",".5745599",".4887773"
"34.time",".5491435",".4579608"
"35.time",".5683451",".4787021"
"36.time",".52606",".442639"
"37.time",".5630789",".5009204"
"38.time",".4036206",".3106251"
"39.time",".5032659",".468026"
"40.time",".4333301",".3903609"
"41.time",".547277",".5111215"
"42.time",".5085451",".4741152"
"43.time",".6258291",".6436994"
"44.time",".3391928",".3016488"
"45.time",".5561024",".5664392"
"46.time",".5162711",".5399112"
"47.time",".596617",".6498255"
"48.time",".3898912",".4188814"
"49.time",".3951862",".4288915"
"50.time",".3876862",".4121053"
"51.time",".6594187",".7397559"
"52.time",".3666474",".4031336"
"53.time",".4327605",".5549804"
"N","1451",""
