"","est1",""
"","b","p"
"dv","",""
"sp48_11_1lag",".9969198",".9619235"
"sp75_1311_1lag","1.470976","7.34e-06"
"sp75_1400_1_1lag",".5248511","2.86e-06"
"sp75_1404_1_1lag","1","."
"sp75_1405_1_1lag","1","."
"sp75_500_1_1lag","1","."
"sp75_501_1lag",".9274067",".5876848"
"sp75_506_1_1lag",".5473311",".0128689"
"sp75_507_1_1lag",".9944958",".9350831"
"sp75_508_1_1lag","1","."
"sp75_512_1_1lag",".8848094",".3781036"
"sp75_811_1lag",".8785687",".253457"
"sp75_1002_1lag","1.028356",".8107386"
"sp75_1003_2_1lag","1","."
"sp75_1322_1lag","1","."
"sp75_1719_2_1lag",".9597608",".6907648"
"sp75_212_1lag","1.066696",".2342212"
"sp75_332_1lag",".9121636",".6065204"
"sp75_501_2_1lag",".7545554",".2615367"
"sp75_502_1lag","2.58e-09","0"
"sp75_602_1lag",".9336544",".4385165"
"sp75_812_1lag",".8073519",".1381457"
"sp75_1003_1lag","7.68e-09","0"
"sp75_153_1lag","1","."
"sp75_203_1lag",".9842321",".4611342"
"sp75_213_1lag","2.107995","8.63e-07"
"sp75_343_1lag","1.114391",".0976845"
"sp75_373_1lag","1","."
"sp75_503_1lag","1.008195",".2855255"
"sp75_523_1lag",".8978071",".0492647"
"sp75_523_3_1lag",".9889112",".5751122"
"sp75_603_1lag",".9220246",".4969144"
"sp75_703_3_1lag","1.060055",".6298259"
"sp48_24_1lag","1","."
"sp48_4_1lag","4.59e-10","0"
"sp75_1404_1lag","1","."
"sp75_1719_4_1lag","1.163006",".002359"
"sp75_204_1lag","1.041017",".4069445"
"sp75_334_1lag","1.036829",".6775105"
"sp75_524_1lag",".6757146",".0421727"
"sp75_604_1lag","1.002964",".7561468"
"sp75_703_4_1lag","1","."
"sp48_25_1lag","1.381568",".0447108"
"sp48_5_1lag",".905371",".7182491"
"sp75_1315_1lag","1","."
"sp75_1403_5_1lag","1.0333",".0799879"
"sp75_1405_1lag","1.094913",".3568787"
"sp75_155_1lag","1","."
"sp75_1725_1lag",".9930787",".569226"
"sp75_205_1lag",".6909532",".3609905"
"sp75_215_1lag",".725076",".0239231"
"sp75_505_1lag","1.222216",".282139"
"sp75_605_1lag",".9720894",".427903"
"sp48_26_1lag","1.157232",".4355622"
"sp48_6_1lag","1.013749",".9713982"
"sp75_1316_1lag",".5351998","3.30e-08"
"sp75_1403_6_1lag",".9706889",".0703126"
"sp75_156_1lag","1","."
"sp75_1906_1lag","1.075042",".2634427"
"sp75_1916_1lag","1.083686",".3393043"
"sp75_606_1lag","1.009465",".6366578"
"sp75_816_1lag","1.042659",".6320403"
"sp75_906_1lag",".7350179",".5548687"
"sp48_27_1lag",".9499214",".7508587"
"sp48_7_1lag",".9050192",".3681722"
"sp75_1403_7_1lag","1.033114",".6834505"
"sp75_207_1lag","1.235878",".5414314"
"sp75_327_1lag","1","."
"sp75_337_1lag","1.103574",".3576264"
"sp75_507_1lag","1.123744",".3138427"
"sp75_607_1lag","1.279304",".0901103"
"sp75_807_1lag",".9834491",".3485033"
"sp75_817_1lag",".5604728",".1745813"
"sp48_28_1lag",".9381895",".5092139"
"sp48_8_1lag","1.285116",".0428477"
"sp75_1318_1lag","1","."
"sp75_1403_8_1lag","1.002254",".9519811"
"sp75_208_1lag","1.086778",".0191347"
"sp75_388_1lag",".8156798",".3578808"
"sp75_209_1lag",".9086532",".5638542"
"sp75_389_1lag",".5869936",".0002417"
"sp75_509_1lag","1.202608",".1059335"
"sp75_100_1lag",".7604744",".1761341"
"sp75_1400_1lag",".8962764",".2201877"
"sp75_1403_10_1lag",".9877235",".6972954"
"sp75_160_1lag","9.322587","1.14e-08"
"sp75_1720_1lag","1.048916",".5497979"
"sp75_340_1lag",".9777616",".1867562"
"sp75_500_1lag",".8976696",".2852553"
"sp75_510_1lag","1","."
"sp75_810_1lag","1.002804",".9775046"
"mine_time",".9975154",".9199338"
"onsite_insp_hours",".9996013",".0162005"
"1.state","1.238498",".6150694"
"2.state","1.245729",".0033644"
"3.state",".6383494","4.74e-08"
"4.state",".895331",".1687535"
"5.state",".6807497",".0001161"
"6.state",".7472681",".0023671"
"11.state","1.098724",".2450695"
"12.state","1.135575",".1862146"
"13.state","9.05e-10","0"
"14.state",".9435663",".4570708"
"15.state",".7482792",".0005056"
"16.state","1","."
"1.time","1","."
"2.time","1.095008",".4195136"
"3.time","1.200379",".1622261"
"4.time",".9083235",".4874728"
"5.time",".9719319",".8858883"
"6.time",".8597346",".3484389"
"7.time","1.131183",".4670542"
"8.time",".894414",".5963969"
"9.time",".8699452",".5538582"
"10.time","1.020596",".9354648"
"11.time",".8993278",".6802205"
"12.time",".8771975",".6612081"
"13.time",".8754985",".7006454"
"14.time",".7624777",".4242046"
"15.time","1.0961",".7907734"
"16.time",".9316225",".8600092"
"17.time",".7875374",".5718108"
"18.time",".7220874",".4693767"
"19.time",".9284562",".8721692"
"20.time",".884675",".8190269"
"21.time",".7989028",".6605717"
"22.time",".8175711",".7205948"
"23.time",".7886089",".6778467"
"24.time",".6828151",".5266534"
"25.time",".6990159",".5743974"
"26.time",".5353091",".3513042"
"27.time",".6687002",".5448018"
"28.time",".6139647",".4851696"
"29.time",".6174158",".4952549"
"30.time",".560203",".438584"
"31.time",".76568",".7234922"
"32.time",".5843556",".4821628"
"33.time",".6242111",".5610352"
"34.time",".5827838",".5097126"
"35.time",".5999787",".5480793"
"36.time",".4843299",".415256"
"37.time",".6238345",".5993566"
"38.time",".4493511",".3930846"
"39.time",".4943654",".4686274"
"40.time",".4787703",".4521919"
"41.time",".4816348",".4715685"
"42.time",".4501642",".4342735"
"43.time",".5388838",".5662882"
"44.time",".3193595",".3113081"
"45.time",".4304355",".454957"
"46.time",".4768708",".5063977"
"47.time",".5331393",".5920365"
"48.time",".3789943",".4199562"
"49.time",".3629289",".409991"
"50.time",".324544",".3724737"
"51.time",".5472615",".6382425"
"52.time",".41383",".4859201"
"53.time",".3995984",".4904618"
"N","2273",""
