"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss",".9766939",".8629745"
"sp48_25_ss","1.540739",".0006342"
"sp48_26_ss","1.232227",".1259963"
"sp48_27_ss",".7813316",".3210151"
"sp48_28_ss",".6642919",".016585"
"sp48_4_ss",".1825323",".0509362"
"sp48_5_ss",".6927835",".154626"
"sp48_6_ss","1.365713",".4739671"
"sp48_7_ss","1.090997",".3058977"
"sp48_8_ss","1.851717",".0049871"
"sp75_100_ss","1.129407",".2949307"
"sp75_1002_ss",".7854389",".0408284"
"sp75_1003_ss","1","."
"sp75_1003_2_ss","1","."
"sp75_1311_ss","1","."
"sp75_1315_ss","1","."
"sp75_1316_ss","1","."
"sp75_1318_ss","1","."
"sp75_1322_ss","1","."
"sp75_1400_ss","1.092662",".7858928"
"sp75_1400_1_ss","1.019677",".9560994"
"sp75_1403_10_ss",".9629656",".2918123"
"sp75_1403_5_ss",".9885817",".7590476"
"sp75_1403_6_ss",".9513184",".0278729"
"sp75_1403_7_ss","1.160457",".2994106"
"sp75_1403_8_ss",".9163248",".4154282"
"sp75_1404_ss","1","."
"sp75_1404_1_ss","1","."
"sp75_1405_ss","1.001325",".9878106"
"sp75_1405_1_ss","1","."
"sp75_153_ss","1","."
"sp75_155_ss","1","."
"sp75_156_ss","1","."
"sp75_1719_2_ss","1","."
"sp75_1719_4_ss",".9116519",".737467"
"sp75_1720_ss",".9881165",".8592717"
"sp75_1725_ss","1.010514",".3291201"
"sp75_1906_ss","1.389324",".029653"
"sp75_1916_ss","1.111078",".3124097"
"sp75_203_ss",".98511",".5647109"
"sp75_204_ss",".9423117",".3426561"
"sp75_205_ss","1","."
"sp75_207_ss","1.149843",".2922512"
"sp75_208_ss","1.064835",".1481725"
"sp75_209_ss",".7232004",".0467586"
"sp75_212_ss","1.08183",".4460103"
"sp75_213_ss","1","."
"sp75_215_ss","1","."
"sp75_332_ss",".8366827",".2300433"
"sp75_334_ss","1.048423",".5811879"
"sp75_337_ss",".9185756",".5712188"
"sp75_340_ss",".9681404",".4143382"
"sp75_343_ss","1","."
"sp75_373_ss","1","."
"sp75_388_ss","1.25255",".0515647"
"sp75_389_ss","1","."
"sp75_500_ss",".8175198",".3955727"
"sp75_500_1_ss","1","."
"sp75_501_ss","1","."
"sp75_501_2_ss","1","."
"sp75_502_ss","1.040411",".7706514"
"sp75_503_ss","1.013523",".1948054"
"sp75_505_ss","1","."
"sp75_506_1_ss","1","."
"sp75_507_ss","1.223157",".1336127"
"sp75_507_1_ss","1.209968",".0902383"
"sp75_509_ss","1.172289",".2848795"
"sp75_512_1_ss",".8789968",".616344"
"sp75_523_ss",".8758976",".0209472"
"sp75_523_3_ss","1.011428",".6854248"
"sp75_524_ss",".9370944",".82283"
"sp75_602_ss",".8291011",".3693463"
"sp75_603_ss","1.235224",".1137054"
"sp75_604_ss",".9943563",".4816581"
"sp75_605_ss","1.066921",".412456"
"sp75_606_ss",".9536676",".3684034"
"sp75_607_ss",".9491411",".7444961"
"sp75_703_3_ss",".9435886",".7948013"
"sp75_807_ss","1.007943",".8569255"
"sp75_810_ss",".8392046",".1293105"
"sp75_811_ss",".9382967",".7657076"
"sp75_812_ss","1.239967",".4553281"
"sp75_816_ss","1.066588",".6613152"
"sp75_817_ss","1","."
"sp75_906_ss","1","."
"mine_time","1.093157",".2991075"
"onsite_insp_hours",".9998139",".0112887"
"1.state","1.564308",".085946"
"2.state",".8959756",".3108823"
"3.state",".606409","4.13e-08"
"4.state","1.079875",".7055362"
"5.state",".7421807",".0008049"
"6.state",".811026",".0773939"
"11.state","1.099259",".337699"
"12.state","1.177503",".1502961"
"14.state","1.084856",".4609384"
"15.state",".7662534",".0044391"
"16.state","1","."
"1.time","1","."
"2.time",".8028286",".0751532"
"3.time",".6836484",".0470994"
"4.time",".6332683",".0724328"
"5.time",".5243356",".0677116"
"6.time",".4372235",".0519302"
"7.time",".3330825",".0362091"
"8.time",".3257859",".0668709"
"9.time",".2478235",".0426846"
"10.time",".2173982",".0518977"
"11.time",".1791238",".0527917"
"12.time",".1556176",".0505021"
"13.time",".1284705",".0495094"
"N","552",""
