"","est1",""
"","b","p"
"dv","",""
"p47_pp",".9946298",".2468265"
"p48_pp","1.001639",".1841365"
"p71_pp","1.00113",".4567658"
"p72_pp",".990178",".0013282"
"p75_pp","1.000027",".3671081"
"p77_pp",".9994987",".3995978"
"mine_time","1.014282",".4054845"
"onsite_insp_hours",".9997459",".5183659"
"4.state","1.762349",".0111834"
"5.state",".9228818",".5656361"
"6.state","1","."
"9.state",".7178373",".0132909"
"10.state","1.116722",".4030623"
"11.state",".7567724",".0941095"
"15.state",".7969083",".1371528"
"16.state",".7622001",".200703"
"17.time","1","."
"18.time",".7660243",".2478527"
"19.time",".7015095",".3194094"
"20.time",".8640229",".6062929"
"21.time",".7736182",".4206637"
"22.time",".6687892",".1756623"
"23.time",".821209",".509895"
"24.time",".5265649",".039993"
"25.time",".433263",".0017858"
"26.time",".5173868",".0171389"
"27.time",".5342141",".1001647"
"28.time",".4946951",".0279451"
"29.time",".4913669",".0297175"
"30.time",".5010643",".0214731"
"31.time",".5901395",".2093006"
"32.time",".5081388",".0548037"
"33.time",".2434354",".0094856"
"34.time",".5439247",".1005973"
"35.time",".4598948",".0110449"
"36.time",".40756",".0250012"
"37.time",".5690688",".1711635"
"38.time",".499953",".1176724"
"39.time",".460794",".078979"
"40.time",".6773076",".3629848"
"41.time",".6142798",".2597488"
"42.time",".5314554",".1925481"
"43.time",".6327345",".3514984"
"44.time",".5822312",".2588381"
"45.time",".5563267",".2638745"
"46.time",".4419497",".0996788"
"47.time",".5804747",".2913842"
"48.time",".3740616",".0736991"
"49.time",".3740419",".0954463"
"50.time",".2808818",".0259685"
"51.time",".497089",".1994351"
"52.time",".3140586",".0446237"
"53.time",".6184103",".3863507"
"N","957",""
