"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_4lag",".5259361",".0311234"
"p48_ss_c_4lag",".9541463",".0827538"
"p71_ss_c_4lag",".6323046",".195131"
"p72_ss_c_4lag","1.241314",".3472753"
"p75_ss_c_4lag","1.004041",".0049935"
"p77_ss_c_4lag",".9728165",".6581267"
"mine_time","1.013225",".3279112"
"onsite_insp_hours",".9995023",".1326589"
"4.state",".7659567",".0132785"
"5.state",".8803571",".1958321"
"6.state","1","."
"9.state",".6982937","1.47e-06"
"10.state","1.067668",".481836"
"11.state",".9775871",".8312745"
"15.state",".6045384",".0000192"
"16.state",".8093172",".1324757"
"1.time","1","."
"2.time",".9149008",".7403761"
"3.time","1.148347",".619728"
"4.time",".7572998",".2978004"
"5.time",".8059367",".3879613"
"6.time","1.130068",".6559248"
"7.time","1.000252",".9991968"
"8.time",".7199865",".3065498"
"9.time",".7054424",".2119409"
"10.time",".8748246",".6635127"
"11.time",".6192052",".222124"
"12.time",".8005866",".4307604"
"13.time",".7737458",".3363473"
"14.time",".5002495",".0478276"
"15.time",".7177512",".2763783"
"16.time",".5414105",".0791354"
"17.time",".6449665",".253995"
"18.time",".4998117",".0555175"
"19.time",".4776116",".0492848"
"20.time",".6086562",".1985555"
"21.time",".5556168",".0596669"
"22.time",".4675368",".088527"
"23.time",".5945362",".1741856"
"24.time",".3881552",".0110015"
"25.time",".3058155",".0105792"
"26.time",".3893757",".0395758"
"27.time",".3870704",".0471371"
"28.time",".3528809",".0187416"
"29.time",".37145",".029737"
"30.time",".343701",".0339946"
"31.time",".4408229",".1393882"
"32.time",".3636582",".0552172"
"33.time",".1743713",".0017241"
"34.time",".3809311",".0912619"
"35.time",".3190658",".0184464"
"36.time",".2899422",".036084"
"37.time",".4053885",".1481235"
"38.time",".3268849",".0768811"
"39.time",".3451788",".0912939"
"40.time",".5106532",".2923971"
"41.time",".4490351",".2145952"
"42.time",".3423477",".0878592"
"43.time",".4776477",".30252"
"44.time",".3928767",".1714986"
"45.time",".4377102",".2616401"
"46.time",".316274",".122016"
"47.time",".4018164",".198563"
"48.time",".2620064",".08314"
"49.time",".2547581",".0890635"
"50.time",".2081715",".0448944"
"51.time",".3655059",".1799909"
"52.time",".2435044",".0538271"
"53.time",".4409011",".2510904"
"N","1817",""
