"","est1",""
"","b","p"
"dv","",""
"p47",".8104317",".4337311"
"p48","1.089995",".148018"
"p71",".9911779",".9066561"
"p72",".6658006",".0010408"
"p75","1.001097",".5357007"
"p77",".9765308",".2897967"
"mine_time","1.021069",".1272144"
"onsite_insp_hours",".9996739",".3902986"
"4.state",".9362019",".5393773"
"5.state",".8305149",".0633889"
"6.state","1","."
"9.state",".7117645","8.32e-06"
"10.state","1.07792",".4272574"
"11.state",".9662397",".7198241"
"15.state",".6550973",".0039637"
"16.state",".8629711",".3089601"
"1.time","1","."
"2.time",".9110006",".7211323"
"3.time","1.189791",".5080765"
"4.time",".7637324",".3194874"
"5.time",".7601883",".260376"
"6.time","1.065984",".8097993"
"7.time",".9961961",".9892993"
"8.time",".6820885",".2349255"
"9.time",".7047528",".2011778"
"10.time",".79948",".4961995"
"11.time",".5458192",".122971"
"12.time",".7068899",".2239355"
"13.time",".689552",".1540851"
"14.time",".4805727",".0287542"
"15.time",".6529689",".1509404"
"16.time",".5073375",".0535436"
"17.time",".6016615",".1755961"
"18.time",".4614759",".0410168"
"19.time",".4200793",".0341053"
"20.time",".5195283",".0838935"
"21.time",".4657865",".0123625"
"22.time",".3951298",".0306091"
"23.time",".4807298",".0479558"
"24.time",".3056553",".0016949"
"25.time",".2461148",".001797"
"26.time",".3002864",".0115068"
"27.time",".2990549",".0128502"
"28.time",".2704303",".0034434"
"29.time",".2759296",".005271"
"30.time",".2770441",".0103601"
"31.time",".3321065",".0507605"
"32.time",".282635",".0132185"
"33.time",".135689",".0002514"
"34.time",".2952414",".0294554"
"35.time",".248096",".0029859"
"36.time",".2131419",".0082531"
"37.time",".2979513",".055346"
"38.time",".2471448",".0268473"
"39.time",".2380172",".0261476"
"40.time",".3530203",".1035128"
"41.time",".3053108",".0711253"
"42.time",".2668075",".036463"
"43.time",".3180257",".1060251"
"44.time",".2864504",".0618276"
"45.time",".2811465",".0844952"
"46.time",".2150697",".0365665"
"47.time",".2840507",".0746232"
"48.time",".1806943",".0268897"
"49.time",".1774105",".0277971"
"50.time",".1363917",".0110463"
"51.time",".235651",".0548694"
"52.time",".1564659",".0152816"
"53.time",".2827729",".0823687"
"N","1880",""
