"","est1",""
"","b","p"
"dv","",""
"sp47_41_1lag",".6101393",".0015647"
"sp48_11_1lag","1.073779",".6010472"
"sp71_701_1lag","1","."
"sp75_1001_1_1lag","1.564476",".330104"
"sp75_1001_1lag","6.34643",".2617079"
"sp75_1003_1_1lag",".3113151",".0000122"
"sp75_1400_1_1lag","1.456276",".4590764"
"sp75_1401_1_1lag","1","."
"sp75_1401_1lag","1.450117",".4767381"
"sp75_1403_11_1lag","1","."
"sp75_1404_1_1lag","1","."
"sp75_1405_1_1lag","1.161985",".793758"
"sp75_1431_1lag","1","."
"sp75_151_1lag","1.37e-14","0"
"sp75_1721_1lag","1","."
"sp75_1731_1lag","1.029302",".051493"
"sp75_1911_1lag",".9381942",".4055633"
"sp75_211_1lag",".9407348",".3724239"
"sp75_341_1lag","3.27e-17","0"
"sp75_506_1_1lag",".1017663",".0000325"
"sp75_510_1_1lag","1","."
"sp75_511_1_1lag","1","."
"sp75_511_1lag","1.061365",".7482499"
"sp75_512_1_1lag","1","."
"sp75_513_1_1lag","10.002",".0484987"
"sp75_516_1_1lag","53.14103","0"
"sp75_517_1_1lag",".7153815",".3468996"
"sp75_518_1_1lag",".9656848",".5964652"
"sp75_523_1_1lag","1.038892",".8208869"
"sp75_600_1_1lag",".6580167",".7323083"
"sp75_601_1_1lag",".9659822",".4578883"
"sp75_601_1lag",".8937072",".166952"
"sp75_700_1_1lag",".8682533",".9123219"
"sp75_701_1_1lag",".9336271",".2889836"
"sp75_701_1lag","1.107295",".0488304"
"sp75_702_1_1lag","8.33e-16","0"
"sp75_703_1_1lag","1","."
"sp75_705_1_1lag","1.037025",".9210375"
"sp75_801_1lag","2.44e-15","0"
"sp75_811_1lag","1.053217",".754632"
"sp75_821_1lag","1.216064",".3457849"
"sp75_831_1lag","2.10e-15","0"
"sp75_901_1lag","1.271323",".6678983"
"sp75_902_1_1lag","1","."
"sp77_1111_1lag",".7891935",".4197059"
"sp77_401_1lag",".9028204",".6745233"
"sp77_403_1_1lag",".8538467",".7419165"
"sp77_411_1lag",".8562491",".871621"
"sp77_501_1lag","1.718028",".0141859"
"sp77_502_1_1lag","1.229032",".5962233"
"sp77_503_1_1lag","1.34e-15","0"
"sp77_506_1_1lag",".3343643",".0063262"
"sp77_508_1_1lag",".8005978",".7285831"
"sp77_511_1lag","6.01e-17","0"
"sp77_601_1lag","1.326825",".6371399"
"sp77_606_1_1lag",".2207113",".0026723"
"sp77_700_1_1lag","9.044657","1.33e-15"
"sp77_701_1_1lag",".391782",".1506332"
"sp77_701_1lag",".8517821",".17295"
"sp77_704_1_1lag","1","."
"sp77_800_1_1lag","1.50986",".3899121"
"sp77_801_1_1lag","1","."
"sp77_801_1lag","1","."
"sp77_807_1_1lag","3.51e-16","0"
"sp77_900_1_1lag","1.782849",".2232386"
"sp77_901_1_1lag","1","."
"sp77_901_1lag",".2871954",".3290305"
"sp47_42_1lag",".2595779",".0031338"
"sp75_1100_2_1lag","1.005295",".8597136"
"sp75_1102_1lag",".7742336",".0757782"
"sp75_1106_2_1lag",".9193495",".4592464"
"sp75_1400_2_1lag","1.239583",".3574883"
"sp75_1402_2_1lag","1","."
"sp75_1432_1lag","1.56976",".067909"
"sp75_1600_2_1lag",".9221409",".5380454"
"sp75_1912_1lag","10.75663",".0387925"
"sp75_202_1lag","1.012853",".2109608"
"sp75_212_1lag",".8578396",".3903257"
"sp75_312_1lag","1.186233",".1243546"
"sp75_342_1lag","1.076872",".0005558"
"sp75_352_1lag",".5774232",".0002382"
"sp75_382_1lag",".7712275",".1658476"
"sp75_512_2_1lag","1.052852",".3977235"
"sp75_512_1lag","1.012123",".4447787"
"sp75_516_2_1lag",".8161583",".0192086"
"sp75_523_2_1lag",".7376028",".0235881"
"sp75_601_2_1lag","1","."
"sp75_602_1lag",".9290269",".6735634"
"sp75_701_2_1lag","2.862848",".0105235"
"sp75_702_1lag","1","."
"sp75_703_2_1lag","1.032083",".9258794"
"sp75_705_2_1lag","1","."
"sp75_800_2_1lag","3.11e-15","0"
"sp75_802_1lag",".6610123",".6536178"
"sp75_803_2_1lag","1","."
"sp75_812_1lag","1.607024",".1019674"
"sp75_832_1lag","1","."
"sp75_900_2_1lag",".7514352",".7535792"
"sp75_902_2_1lag","1.65e-08","0"
"sp75_902_1lag","1.135436",".240288"
"sp77_1112_1lag",".7361481",".1307459"
"sp77_1432_1lag","3.479274",".0053301"
"sp77_1802_1lag",".654365",".279158"
"sp77_202_1lag",".877922",".0272503"
"sp77_402_1lag",".9727583",".7105528"
"sp77_403_2_1lag","2.48689",".3171223"
"sp77_412_1lag",".9130778",".6331103"
"sp77_502_2_1lag",".8603992",".4000555"
"sp77_502_1lag","1.038372",".1053512"
"sp77_512_1lag",".8873909",".208889"
"sp77_602_1lag","2.020616",".0092495"
"sp77_701_2_1lag","4.889107","1.44e-09"
"sp77_702_1lag","1","."
"sp77_800_2_1lag",".8090553",".5828119"
"sp77_802_1lag",".8574328",".8202204"
"sp77_807_2_1lag",".5465244",".1440332"
"sp77_900_2_1lag",".876581",".7931979"
"sp77_902_2_1lag","1","."
"sp77_902_1lag","6.212771",".0001956"
"sp47_43_1lag","1","."
"sp72_503_1lag",".8117177",".3167597"
"sp75_1106_3_1lag",".9983207",".9672228"
"sp75_1400_3_1lag","1.394049",".0292279"
"sp75_1403_3_1lag","1","."
"sp75_1433_1lag","1.046707",".8129462"
"sp75_153_1lag","1.86e-15","0"
"sp75_1903_1lag",".5067039",".0021107"
"sp75_1913_1lag",".8163725",".8293601"
"sp75_503_1lag","1.011439",".3048516"
"sp75_513_1lag","1.354006",".0348302"
"sp75_523_1lag","1.022071",".8769782"
"sp75_601_3_1lag",".4865776",".0111581"
"sp75_603_1lag","1.666055",".1143782"
"sp75_701_3_1lag",".8868281",".5513119"
"sp75_703_3_1lag","2.826558",".0017258"
"sp75_703_1lag","1.215689",".0607895"
"sp75_705_3_1lag","1","."
"sp75_800_3_1lag",".644032",".4265502"
"sp75_803_1lag",".4600258",".0057282"
"sp75_900_3_1lag",".8745532",".5777675"
"sp75_903_1lag",".8721282",".276741"
"sp77_103_1lag","1","."
"sp77_1103_1lag","1.144749",".2159355"
"sp77_1403_1lag",".6776953",".3531922"
"sp77_1433_1lag",".267391",".0308185"
"sp77_203_1lag","5.266807",".0033704"
"sp77_403_1lag","9.1418",".1262325"
"sp77_413_1lag","1","."
"sp77_503_1lag",".1769708",".1267997"
"sp77_513_1lag","1.072281",".387332"
"sp77_603_1lag",".4978615",".2468572"
"sp77_701_3_1lag","1","."
"sp77_703_1lag","1","."
"sp77_803_1lag","4.259512",".0001807"
"sp77_807_3_1lag","1","."
"sp77_902_3_1lag",".3070025",".0919544"
"sp77_903_1lag",".041935","3.30e-06"
"sp47_44_1lag",".8501308",".2397427"
"sp48_24_1lag","1","."
"sp48_4_1lag","1","."
"sp75_1103_4_1lag","1.102871",".1993798"
"sp75_1104_1lag","1.970088",".0070712"
"sp75_1106_4_1lag",".948881",".8211993"
"sp75_1107_14_1lag",".2858918",".2342996"
"sp75_1400_4_1lag","1.451335",".0128255"
"sp75_1403_4_1lag","1","."
"sp75_1404_1lag",".3340085",".3513374"
"sp75_1434_1lag","1.180506",".5996139"
"sp75_1914_1lag",".9737015",".6484641"
"sp75_214_1lag","1.228986",".0769044"
"sp75_324_1lag",".6585854",".0723212"
"sp75_344_1lag","1.156838",".4582066"
"sp75_504_1lag","1.255812",".0126599"
"sp75_514_1lag","1.056437",".4162434"
"sp75_604_1lag","1.022028",".3413276"
"sp75_701_4_1lag","1.10e-15","0"
"sp75_703_4_1lag","1","."
"sp75_704_1lag","1.82e-15","0"
"sp75_800_4_1lag","1.395369",".3335618"
"sp75_804_1lag",".9732972",".9304262"
"sp75_814_1lag",".0478619",".0054473"
"sp75_834_1lag","1","."
"sp75_900_4_1lag","1.114707",".4151057"
"sp75_902_4_1lag",".7792454",".1623842"
"sp75_904_1lag",".9744387",".4262029"
"sp77_104_1lag","1","."
"sp77_1104_1lag","1.027813",".249414"
"sp77_1434_1lag",".6922324",".5285287"
"sp77_204_1lag",".6833162",".0049488"
"sp77_314_1lag","1","."
"sp77_404_1lag",".9222845",".0243772"
"sp77_504_1lag","1.043757",".792502"
"sp77_514_1lag","1.017127",".9682208"
"sp77_604_1lag",".783452",".6928589"
"sp77_701_4_1lag","8.80e-16","0"
"sp77_704_1lag","1","."
"sp77_804_1lag","1","."
"sp77_904_1lag","1.053627",".6713582"
"sp48_25_1lag",".7427151",".3178639"
"sp48_5_1lag",".3727034",".1620581"
"sp75_1106_5_1lag",".8145068",".0959336"
