"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_4lag",".751101",".0144856"
"p48_ss_c_4lag",".9909382",".4120465"
"p71_ss_c_4lag",".9168576",".3693951"
"p72_ss_c_4lag","1.127372",".26863"
"p75_ss_c_4lag","1.00134",".0026315"
"p77_ss_c_4lag",".9895051",".5149428"
"mine_time","1.142342",".0947119"
"onsite_insp_hours",".9997746",".0207029"
"4.state",".7178967",".0024711"
"5.state",".9573262",".7240325"
"6.state","1","."
"9.state",".6952934","2.34e-06"
"10.state","1.117946",".2087958"
"11.state",".971773",".7599604"
"15.state",".5808018","8.84e-06"
"16.state",".9295229",".54384"
"1.time","1","."
"2.time",".9082887",".5901389"
"3.time",".7083025",".0505567"
"4.time",".5917566",".0504028"
"5.time",".4475811",".0260431"
"6.time",".3978805",".0132263"
"7.time",".258059",".0079265"
"8.time",".2687356",".0186232"
"9.time",".1793723",".0063564"
"10.time",".2189983",".0291856"
"11.time",".2029347",".0476403"
"12.time",".1614399",".0383084"
"13.time",".1164619",".020493"
"N","427",""
