"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_lag_all",".9995648",".9990308"
"sp47_42_pp_c_lag_all","1","."
"sp47_44_pp_c_lag_all","1.001033",".9980528"
"sp48_11_pp_c_lag_all","1.000324",".9997047"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.0005",".9996125"
"sp48_26_pp_c_lag_all","1.001587",".9961745"
"sp48_27_pp_c_lag_all",".9990427",".9970053"
"sp48_28_pp_c_lag_all","1.000923",".9994694"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.00244",".9985863"
"sp48_6_pp_c_lag_all",".9997233",".99959"
"sp48_7_pp_c_lag_all","1.001154",".9978056"
"sp48_8_pp_c_lag_all","1.004344",".9950139"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9997313",".9981558"
"sp72_610_pp_c_lag_all",".9993054",".9997744"
"sp72_620_pp_c_lag_all","1.013545","."
"sp72_630_pp_c_lag_all","1.000001",".9999936"
"sp75_100_pp_c_lag_all",".995896",".9962908"
"sp75_1001_1_pp_c_lag_all","1.001718","."
"sp75_1001_pp_c_lag_all","1.000085",".9999694"
"sp75_1003_1_pp_c_lag_all",".9986629",".9995921"
"sp75_1100_2_pp_c_lag_all","1.000034",".9992764"
"sp75_1101_20_pp_c_lag_all","1","."
"sp75_1102_pp_c_lag_all","1.000272",".9997551"
"sp75_1103_4_pp_c_lag_all","1.000062",".9984835"
"sp75_1104_pp_c_lag_all",".9980397",".9969752"
"sp75_1106_2_pp_c_lag_all",".9999679",".9999054"
"sp75_1106_3_pp_c_lag_all","1.00004",".9994365"
"sp75_1106_4_pp_c_lag_all","1.000012",".9999813"
"sp75_1106_5_pp_c_lag_all","1.00083",".9987218"
"sp75_1106_6_pp_c_lag_all","1","."
"sp75_1106_pp_c_lag_all",".9987586",".9980793"
"sp75_1107_14_pp_c_lag_all","1.005126",".9982896"
"sp75_1400_1_pp_c_lag_all",".9960695",".9990739"
"sp75_1400_2_pp_c_lag_all","1.001184",".9995291"
"sp75_1400_3_pp_c_lag_all",".9991695",".9989787"
"sp75_1400_4_pp_c_lag_all","1.000928",".9997585"
"sp75_1400_pp_c_lag_all",".9983499",".9970778"
"sp75_1401_1_pp_c_lag_all","1","."
"sp75_1401_pp_c_lag_all",".9971904",".9984786"
"sp75_1403_10_pp_c_lag_all",".9999429",".9991286"
"sp75_1403_11_pp_c_lag_all","1","."
"sp75_1403_3_pp_c_lag_all","1","."
"sp75_1403_4_pp_c_lag_all","1","."
"sp75_1403_5_pp_c_lag_all",".9999966",".9999829"
"sp75_1403_6_pp_c_lag_all",".9999988",".9999868"
"sp75_1403_7_pp_c_lag_all","1.00004",".9999627"
"sp75_1403_8_pp_c_lag_all",".9999969",".9999827"
"sp75_1403_9_pp_c_lag_all","1.000112",".9998357"
"sp75_1404_1_pp_c_lag_all","1","."
"sp75_1404_pp_c_lag_all","1.002772",".9960724"
"sp75_1405_1_pp_c_lag_all","1.000872",".9999127"
"sp75_1405_pp_c_lag_all","1.000051",".9998321"
"sp75_1431_pp_c_lag_all",".9858382",".9997354"
"sp75_1432_pp_c_lag_all",".9982677",".9987504"
"sp75_1433_pp_c_lag_all","1.00113",".9992565"
"sp75_1434_pp_c_lag_all",".9995046",".9995013"
"sp75_1435_pp_c_lag_all","1","."
"sp75_1437_pp_c_lag_all","1","."
"sp75_150_pp_c_lag_all","1","."
"sp75_151_pp_c_lag_all",".6385916","."
"sp75_153_pp_c_lag_all","1","."
"sp75_156_pp_c_lag_all","1.007235",".9896223"
"sp75_160_pp_c_lag_all",".999638",".9999072"
"sp75_1600_2_pp_c_lag_all","1.00012",".9952522"
"sp75_1712_10_pp_c_lag_all","1.002713",".9988766"
"sp75_1712_6_pp_c_lag_all","1.000584",".998311"
"sp75_1720_pp_c_lag_all","1.000061",".9998695"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.000001",".9999783"
"sp75_1726_pp_c_lag_all","1.000902",".9994022"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all","1.002403",".9994684"
"sp75_1729_pp_c_lag_all","1.001416",".9990107"
"sp75_1730_pp_c_lag_all",".999942",".9999734"
"sp75_1731_pp_c_lag_all","1.000013",".9997431"
"sp75_1903_pp_c_lag_all",".9981496",".999413"
"sp75_1909_pp_c_lag_all","1.000006",".9998912"
"sp75_1910_pp_c_lag_all","1.000143",".9994748"
"sp75_1911_pp_c_lag_all",".9999625",".9997226"
"sp75_1912_pp_c_lag_all","1","."
"sp75_1913_pp_c_lag_all","1","."
"sp75_1914_pp_c_lag_all",".999965",".9997664"
"sp75_1915_pp_c_lag_all",".9964029",".9931989"
"sp75_202_pp_c_lag_all","1.000001",".9998739"
"sp75_208_pp_c_lag_all","1.000048",".9997513"
"sp75_211_pp_c_lag_all",".9999134",".9995541"
"sp75_212_pp_c_lag_all",".9994446",".998897"
"sp75_214_pp_c_lag_all","1.000443",".9981384"
"sp75_312_pp_c_lag_all","1.00014",".9994682"
"sp75_320_pp_c_lag_all",".9997301",".9959847"
"sp75_324_pp_c_lag_all",".9996003",".999815"
"sp75_337_pp_c_lag_all","1.00049",".9973399"
"sp75_340_pp_c_lag_all","1.000001",".9999883"
"sp75_341_pp_c_lag_all",".9938518",".9989089"
"sp75_342_pp_c_lag_all",".9999772",".9995674"
"sp75_344_pp_c_lag_all","1.000212",".9995105"
"sp75_352_pp_c_lag_all","1.000243",".9997153"
"sp75_382_pp_c_lag_all","1.00001",".9999771"
"sp75_503_pp_c_lag_all",".9999972",".9998818"
"sp75_504_pp_c_lag_all",".9984569",".9946529"
"sp75_505_pp_c_lag_all",".999062",".9988436"
"sp75_506_1_pp_c_lag_all",".9960315",".9965752"
"sp75_506_pp_c_lag_all","1.000613",".9995243"
"sp75_507_pp_c_lag_all",".9986359",".9983928"
"sp75_511_1_pp_c_lag_all","1","."
"sp75_511_pp_c_lag_all",".9994657",".9990341"
"sp75_512_1_pp_c_lag_all","1","."
"sp75_512_2_pp_c_lag_all","1.000145",".9997108"
"sp75_512_pp_c_lag_all",".9999962",".9999003"
"sp75_513_1_pp_c_lag_all","1","."
"sp75_513_pp_c_lag_all",".999814",".998767"
"sp75_514_pp_c_lag_all",".9999946",".9999659"
"sp75_515_pp_c_lag_all","1.000003",".9999301"
"sp75_516_1_pp_c_lag_all","1","."
"sp75_516_2_pp_c_lag_all",".9988533",".9959336"
"sp75_516_pp_c_lag_all","1.000027",".9997729"
"sp75_517_1_pp_c_lag_all","1.00453",".9929966"
"sp75_517_pp_c_lag_all","1.000001",".9999481"
"sp75_518_1_pp_c_lag_all",".9999879",".999959"
"sp75_518_pp_c_lag_all","1.000081",".9986157"
"sp75_519_pp_c_lag_all","1.000191","."
"sp75_520_pp_c_lag_all","1.000129",".9998173"
"sp75_523_1_pp_c_lag_all",".9992673",".9981441"
"sp75_523_2_pp_c_lag_all",".9999465",".9997915"
"sp75_523_pp_c_lag_all","1.000042",".9999413"
"sp75_600_1_pp_c_lag_all",".9976326",".9974345"
"sp75_600_pp_c_lag_all",".5722785","."
"sp75_601_1_pp_c_lag_all",".9999154",".9994486"
"sp75_601_2_pp_c_lag_all","1","."
"sp75_601_3_pp_c_lag_all",".9994382",".9997898"
"sp75_601_pp_c_lag_all",".9999564",".9990427"
"sp75_602_pp_c_lag_all",".999913",".9996563"
"sp75_603_pp_c_lag_all","1.000975",".9987624"
"sp75_604_pp_c_lag_all",".9999799",".9996049"
"sp75_605_pp_c_lag_all","1.000215",".9989804"
"sp75_606_pp_c_lag_all",".9999946",".9999451"
"sp75_607_pp_c_lag_all","1.004551",".995839"
"sp75_700_1_pp_c_lag_all","1.002513",".9992295"
"sp75_700_pp_c_lag_all","1.00039",".9997039"
"sp75_701_1_pp_c_lag_all",".9997716",".99972"
"sp75_701_2_pp_c_lag_all",".9950811",".9960916"
"sp75_701_3_pp_c_lag_all",".9996766",".9998054"
"sp75_701_4_pp_c_lag_all","1.01018",".9936189"
"sp75_701_pp_c_lag_all","1.00007",".9994288"
"sp75_702_1_pp_c_lag_all","1.001394",".9893503"
"sp75_702_pp_c_lag_all","1","."
"sp75_703_1_pp_c_lag_all","1","."
"sp75_703_2_pp_c_lag_all","1.00071",".9999601"
"sp75_703_3_pp_c_lag_all","1.000533",".9994433"
"sp75_703_4_pp_c_lag_all","1","."
"sp75_703_pp_c_lag_all",".9999192",".9996628"
"sp75_704_pp_c_lag_all",".9710697",".9959347"
"sp75_705_1_pp_c_lag_all",".999277",".9993403"
