"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss",".725885",".5328059"
"sp47_44_ss","1","."
"sp48_11_ss","1.711329",".2284597"
"sp48_25_ss",".4888086",".1772316"
"sp48_26_ss",".6174446",".1265433"
"sp48_27_ss","1.176745",".6244087"
"sp48_28_ss","1.083207",".7577519"
"sp48_4_ss","1","."
"sp48_5_ss","1.169647",".9179868"
"sp48_6_ss",".1206812",".0000127"
"sp48_7_ss","1.458388",".141102"
"sp48_8_ss",".7487878",".5432428"
"sp71_701_ss","1","."
"sp72_503_ss",".3859486",".5108497"
"sp72_610_ss","1","."
"sp72_620_ss","74590.31","."
"sp72_630_ss","1.051283",".3241443"
"sp75_100_ss","1.11e-12","0"
"sp75_1001_1_ss","1","."
"sp75_1001_ss","264.8043",".093258"
"sp75_1003_1_ss","1.360034",".716689"
"sp75_1100_2_ss",".8201397",".0717501"
"sp75_1101_20_ss","1","."
"sp75_1102_ss",".7665916",".0815848"
"sp75_1103_4_ss","1.06071",".7655266"
"sp75_1104_ss",".1130561",".0021105"
"sp75_1106_2_ss",".6750397",".227932"
"sp75_1106_3_ss","1.044537",".6306866"
"sp75_1106_4_ss","13.92407",".0312937"
"sp75_1106_5_ss",".6182582",".1477582"
"sp75_1106_6_ss","1","."
"sp75_1106_ss","1.156876",".2546173"
"sp75_1107_14_ss","1","."
"sp75_1400_1_ss","1.941673",".5224687"
"sp75_1400_2_ss","1.074599",".9817242"
"sp75_1400_3_ss","1.18712",".6591484"
"sp75_1400_4_ss","1","."
"sp75_1400_ss","2.336406",".1441127"
"sp75_1401_ss",".6069699",".5000014"
"sp75_1403_10_ss","1.143256",".1283932"
"sp75_1403_11_ss","1","."
"sp75_1403_3_ss","1","."
"sp75_1403_4_ss","1","."
"sp75_1403_5_ss",".9248663",".335175"
"sp75_1403_6_ss","1.151023",".0354938"
"sp75_1403_7_ss","1.47327",".1610107"
"sp75_1403_8_ss","1.293405",".0256742"
"sp75_1403_9_ss",".3884112",".2576753"
"sp75_1404_1_ss","1","."
"sp75_1404_ss",".2113116",".4141504"
"sp75_1405_1_ss",".2088618",".4913041"
"sp75_1405_ss",".9720015",".6921244"
"sp75_1431_ss","1","."
"sp75_1432_ss","1","."
"sp75_1433_ss","18.25981",".0053467"
"sp75_1434_ss",".3621179",".0323535"
"sp75_1435_ss","1","."
"sp75_1437_ss","1","."
"sp75_150_ss","1","."
"sp75_151_ss","1","."
"sp75_153_ss","1","."
"sp75_155_ss","1","."
"sp75_156_ss","1","."
"sp75_1600_2_ss",".5737762",".1089453"
"sp75_1712_10_ss","1","."
"sp75_1712_6_ss",".0217838",".0742557"
"sp75_1720_ss",".83125",".3167296"
"sp75_1721_ss","1","."
"sp75_1725_ss",".9463182",".0799696"
"sp75_1726_ss",".3811862",".046972"
"sp75_1727_ss","1","."
"sp75_1728_ss",".2442569",".4791933"
"sp75_1729_ss","5.052763",".1854237"
"sp75_1730_ss","1.329758",".6789776"
"sp75_1731_ss","1.014515",".4585802"
"sp75_1903_ss","1","."
"sp75_1909_ss",".9709702",".7281215"
"sp75_1910_ss","1.390627",".0252968"
"sp75_1911_ss","1.221185",".4320959"
"sp75_1912_ss","1","."
"sp75_1913_ss","10.60055",".0394928"
"sp75_1914_ss",".8793883",".2577015"
"sp75_1915_ss","8.797511",".0582411"
"sp75_202_ss","1.01569",".1321714"
"sp75_208_ss","1.156173",".120342"
"sp75_211_ss","1.003468",".963337"
"sp75_212_ss",".6660376",".1705396"
"sp75_214_ss",".9384891",".832857"
"sp75_312_ss",".8668132",".6853657"
"sp75_320_ss","1.234724",".1292364"
"sp75_324_ss","2.746825",".0009199"
"sp75_337_ss","1.044202",".4233018"
"sp75_340_ss","1.239238",".0540902"
"sp75_342_ss","1.02296",".6336982"
"sp75_344_ss","2.534403",".0059801"
"sp75_352_ss",".5236947",".3753901"
"sp75_382_ss","1","."
"sp75_503_ss","1.002908",".9183527"
"sp75_504_ss","1","."
"sp75_505_ss","1.232156",".7994054"
"sp75_506_1_ss","1.464952",".5841548"
"sp75_506_ss",".4454066",".095944"
"sp75_507_ss",".5942951",".1362481"
"sp75_511_1_ss","1","."
"sp75_511_ss",".7308434",".7022846"
"sp75_512_1_ss","1","."
"sp75_512_2_ss",".7966419",".4008231"
"sp75_512_ss","1.048188",".0797375"
"sp75_513_1_ss","1","."
"sp75_513_ss","2.467863",".044326"
"sp75_514_ss","1.114936",".3582563"
"sp75_515_ss",".74631",".000213"
"sp75_516_1_ss","1","."
"sp75_516_2_ss","1","."
"sp75_516_ss","1.290866",".3525826"
"sp75_517_1_ss","1","."
"sp75_517_ss",".9865148",".5016868"
"sp75_518_1_ss","1.864838",".199574"
"sp75_518_ss",".9779216",".8474913"
"sp75_519_ss",".1180018",".4141804"
"sp75_520_ss",".6600048",".0823965"
"sp75_523_1_ss",".9599251",".8630736"
"sp75_523_2_ss",".987657",".9258963"
"sp75_523_ss",".9467198",".7575675"
"sp75_600_1_ss","1","."
"sp75_600_ss","1","."
"sp75_601_1_ss","1.111877",".3258853"
"sp75_601_2_ss","1","."
"sp75_601_3_ss",".0729023",".0710609"
"sp75_601_ss",".876045",".388686"
"sp75_602_ss","1.161103",".6676895"
"sp75_603_ss",".4029203",".0431108"
"sp75_604_ss","1.036669",".3360405"
"sp75_605_ss","1.062362",".6904815"
"sp75_606_ss","1.061898",".4375833"
"sp75_607_ss","1.527171",".0449172"
"sp75_700_1_ss",".2050011",".0279431"
"sp75_700_ss","9.828702",".0066652"
"sp75_701_1_ss",".9497669",".7685944"
"sp75_701_2_ss",".6169212",".3664079"
"sp75_701_3_ss","1.087463",".8874539"
"sp75_701_4_ss","118.5585",".0366551"
"sp75_701_5_ss","4.473092",".1660597"
"sp75_701_ss","1.046237",".7238361"
"sp75_703_2_ss","1","."
"sp75_703_3_ss","3.903198",".0200767"
"sp75_703_ss","1.815892",".2431596"
"sp75_704_ss","1","."
"sp75_705_1_ss","2.044105",".1272882"
"sp75_705_8_ss","1.52e-12","0"
"sp75_705_ss",".3558572",".4023766"
"sp75_706_ss","2.716633",".0742512"
"sp75_800_2_ss","1","."
"sp75_800_3_ss","1","."
"sp75_800_4_ss","1","."
"sp75_800_ss","1.777965",".1241293"
"sp75_801_ss","3.14e-13","0"
"sp75_802_ss","1.14072",".8771406"
"sp75_803_2_ss","1","."
"sp75_803_ss",".4374928",".0120371"
"sp75_804_ss","1.102727",".6902456"
"sp75_805_ss","1","."
"sp75_806_ss",".8407938",".8090534"
"sp75_807_ss","1.119282",".1762425"
"sp75_808_ss","1.276643",".6055946"
"sp75_809_ss",".5571727",".1880559"
"sp75_810_ss","1.392819",".4365139"
"sp75_811_ss",".7100492",".6241156"
"sp75_812_ss",".5910528",".2028188"
"sp75_814_ss","1","."
"sp75_815_ss","1.67e-11","0"
"sp75_816_ss","1.490579",".4978765"
"sp75_818_ss","1","."
"sp75_819_ss","1","."
"sp75_820_ss",".661754",".4800144"
"sp75_821_ss","1","."
"sp75_825_ss","1","."
"sp75_827_ss","1","."
"sp75_831_ss","1","."
"sp75_900_2_ss","1.361688",".7215445"
"sp75_900_3_ss",".3562839",".1106899"
"sp75_900_4_ss","2.88e-07","1.55e-15"
"sp75_900_ss",".8736398",".3332403"
"sp75_901_ss","2.722353",".1695249"
"sp75_902_1_ss","1","."
"sp75_902_2_ss","1","."
"sp75_902_4_ss","1.305598",".5355562"
"sp75_902_ss","1.178025",".1540779"
"sp75_903_ss","1.226252",".5618942"
"sp75_904_ss",".86549",".0154082"
"sp75_905_ss",".102463",".006236"
"sp75_907_ss","1","."
"sp77_103_ss","1","."
"sp77_1103_ss","2.465015",".0007606"
"sp77_1104_ss","1.01137",".8610942"
"sp77_1106_ss","1","."
"sp77_1111_ss",".0097524",".0043076"
"sp77_1112_ss","16.40138",".0004297"
"sp77_1403_ss","3.71e-09","1.82e-08"
"sp77_1433_ss","1","."
"sp77_1434_ss",".0009509",".0017071"
"sp77_1437_ss","1","."
"sp77_1438_ss","1","."
"sp77_1605_ss",".9425567",".4605615"
"sp77_1606_ss",".8641498",".1867808"
"sp77_1710_ss",".672773",".0034028"
"sp77_1802_ss","1","."
"sp77_1906_ss","1","."
"sp77_1915_ss","1","."
"sp77_1916_ss","1","."
"sp77_200_ss","1.365318",".0083886"
"sp77_202_ss","1.004774",".9792246"
"sp77_203_ss",".4170319",".251053"
"sp77_204_ss","1.062765",".6520044"
"sp77_205_ss","1.036359",".5889935"
"sp77_206_ss","1.765399",".050003"
"sp77_207_ss",".9609732",".9135418"
"sp77_208_ss","1.446497",".0196867"
