"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_lag_all","1.000234",".4075965"
"p75_pp_c_lag_all",".9999996",".7249738"
"mine_time","1.016957",".380083"
"onsite_insp_hours",".9991155",".0004362"
"4.state","1.918819","2.23e-07"
"5.state",".7720936",".3089368"
"6.state","1","."
"9.state",".5452992","1.85e-06"
"10.state",".8940471",".2828847"
"11.state","1.597042",".0000783"
"15.state",".8841847",".2193671"
"16.state",".9861069",".9496733"
"17.time","1","."
"18.time","1.183929",".481529"
"19.time","1.098071",".594778"
"20.time","1.080518",".7136089"
"21.time",".8148636",".2680317"
"22.time",".9003625",".5914901"
"23.time",".8148181",".3358304"
"24.time",".7954136",".3012244"
"25.time",".765758",".2776814"
"26.time",".7024801",".1501684"
"27.time",".623652",".0688625"
"28.time",".702366",".2398346"
"29.time",".5566709",".0634361"
"30.time",".5707803",".078436"
"31.time",".664476",".2498514"
"32.time",".6296252",".232817"
"33.time",".4500371",".0340472"
"34.time",".6010259",".1621257"
"35.time",".567788",".1642535"
"36.time",".3866297",".0281619"
"37.time",".5002817",".0968065"
"38.time",".346461",".018882"
"39.time",".5226423",".1346743"
"40.time",".4593737",".1259666"
"41.time",".4843752",".1469146"
"42.time",".4582191",".1129216"
"43.time",".7328333",".5647342"
"44.time",".3320823",".0268263"
"45.time",".4952382",".2259058"
"46.time",".4460362",".1741282"
"47.time",".4768155",".2023646"
"48.time",".3512943",".1005633"
"49.time",".4581918",".1971115"
"50.time",".3202533",".0870527"
"51.time",".559442",".4053547"
"52.time",".4493957",".2362015"
"53.time",".4714397",".2987884"
"N","723",""
