"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_c_lag_all","1.192975",".050506"
"sp48_25_ss_c_lag_all","1.117241",".1871646"
"sp48_26_ss_c_lag_all","1.258404",".110343"
"sp48_27_ss_c_lag_all",".9961943",".982173"
"sp48_28_ss_c_lag_all",".8907866",".1476189"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.902034",".0006467"
"sp48_6_ss_c_lag_all",".942133",".4250982"
"sp48_7_ss_c_lag_all",".9835949",".8423478"
"sp48_8_ss_c_lag_all","1.270609",".5555072"
"sp75_100_ss_c_lag_all",".855707",".4866863"
"sp75_1002_ss_c_lag_all","1.180046",".0450457"
"sp75_1003_ss_c_lag_all","1.056431",".0222697"
"sp75_1003_2_ss_c_lag_all","1.01018",".9498749"
"sp75_1311_ss_c_lag_all","1","."
"sp75_1315_ss_c_lag_all","1","."
"sp75_1316_ss_c_lag_all","1","."
"sp75_1318_ss_c_lag_all","1","."
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all",".9867325",".6455974"
"sp75_1400_1_ss_c_lag_all",".6603363",".0488252"
"sp75_1403_10_ss_c_lag_all","1.052924",".0546647"
"sp75_1403_5_ss_c_lag_all",".9851244",".1493741"
"sp75_1403_6_ss_c_lag_all",".9966157",".8046039"
"sp75_1403_7_ss_c_lag_all","1.076578",".1546362"
"sp75_1403_8_ss_c_lag_all",".9948397",".6118398"
"sp75_1404_ss_c_lag_all","1.403322",".3580182"
"sp75_1404_1_ss_c_lag_all","1","."
"sp75_1405_ss_c_lag_all","1.005774",".7027636"
"sp75_1405_1_ss_c_lag_all",".7372714",".2308605"
"sp75_153_ss_c_lag_all","1.61739",".2165828"
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all","1","."
"sp75_1719_2_ss_c_lag_all",".7839237",".4137772"
"sp75_1719_4_ss_c_lag_all","1.369165",".0664447"
"sp75_1720_ss_c_lag_all",".9828796",".6699044"
"sp75_1725_ss_c_lag_all",".9994887",".9142904"
"sp75_1906_ss_c_lag_all","1","."
"sp75_1916_ss_c_lag_all",".2786588",".001986"
"sp75_203_ss_c_lag_all",".9939088",".6321329"
"sp75_204_ss_c_lag_all","1.096802",".0019349"
"sp75_205_ss_c_lag_all",".1101957",".0011649"
"sp75_207_ss_c_lag_all",".8787019",".5472731"
"sp75_208_ss_c_lag_all",".94445",".004169"
"sp75_209_ss_c_lag_all",".7424221",".0003078"
"sp75_212_ss_c_lag_all",".8778214",".0428857"
"sp75_213_ss_c_lag_all","1.1482",".0009565"
"sp75_215_ss_c_lag_all","1","."
"sp75_332_ss_c_lag_all",".915134",".636112"
"sp75_334_ss_c_lag_all",".9382917",".2624053"
"sp75_337_ss_c_lag_all",".9844982",".4852016"
"sp75_340_ss_c_lag_all",".9906434",".6527567"
"sp75_343_ss_c_lag_all",".8265246",".1289227"
"sp75_373_ss_c_lag_all","1","."
"sp75_388_ss_c_lag_all","1.165001",".3261333"
"sp75_389_ss_c_lag_all",".8405985",".3420064"
"sp75_500_ss_c_lag_all","1.748541",".0021062"
"sp75_500_1_ss_c_lag_all","1","."
"sp75_501_ss_c_lag_all","1","."
"sp75_501_2_ss_c_lag_all","1.170157",".630795"
"sp75_502_ss_c_lag_all","8.63e-07","0"
"sp75_503_ss_c_lag_all",".9974141",".4590868"
"sp75_505_ss_c_lag_all","1.06869",".7872522"
"sp75_506_1_ss_c_lag_all","1.741015",".002775"
"sp75_507_ss_c_lag_all",".8261869",".0044087"
"sp75_507_1_ss_c_lag_all","1.103082",".2318576"
"sp75_509_ss_c_lag_all","2.152338","6.43e-07"
"sp75_512_1_ss_c_lag_all","1","."
"sp75_523_ss_c_lag_all",".9668932",".4567498"
"sp75_523_3_ss_c_lag_all",".9965326",".7551823"
"sp75_524_ss_c_lag_all","1.23499",".1935419"
"sp75_602_ss_c_lag_all","1.050086",".6643847"
"sp75_603_ss_c_lag_all","1.282224",".0685459"
"sp75_604_ss_c_lag_all","1.002721",".6801958"
"sp75_605_ss_c_lag_all",".9357882",".1058554"
"sp75_606_ss_c_lag_all",".9942945",".7435191"
"sp75_607_ss_c_lag_all","1.589878",".0004377"
"sp75_703_3_ss_c_lag_all","1.089598",".6236242"
"sp75_807_ss_c_lag_all",".9810511",".4433684"
"sp75_810_ss_c_lag_all","1.262831",".0303236"
"sp75_811_ss_c_lag_all","1.064986",".5911232"
"sp75_812_ss_c_lag_all",".8687829",".3829455"
"sp75_816_ss_c_lag_all",".9337287",".4988093"
"sp75_817_ss_c_lag_all","3.592045","7.80e-06"
"sp75_906_ss_c_lag_all","1","."
"mine_time",".9921111",".6213559"
"onsite_insp_hours","1.000219",".4054054"
"4.state","3.146245",".0466672"
"5.state","1.144299",".7526715"
"6.state","1","."
"9.state",".6736284",".0248075"
"10.state",".8996686",".6607373"
"11.state","2.664181",".0028494"
"15.state",".9118253",".630041"
"16.state","1.426952",".0378145"
"1.time","1","."
"2.time",".9077744",".4575576"
"3.time",".9659785",".7846454"
"4.time",".8394823",".2067779"
"5.time",".8160006",".2030783"
"6.time",".9607636",".7894156"
"7.time","1.079339",".6298691"
"8.time",".7874323",".149394"
"9.time",".7953506",".225529"
"10.time",".8521657",".3984965"
"11.time","1.034072",".8620793"
"12.time",".9509731",".8227508"
"13.time",".9457177",".7917217"
"14.time",".6811424",".085546"
"15.time",".9431505",".8127535"
"16.time",".7954977",".3637962"
"17.time",".9596412",".8752178"
"18.time","1.155892",".6578771"
"19.time","1.162668",".6199465"
"20.time",".9897544",".9753114"
"21.time",".7799776",".4505473"
"22.time",".8991479",".7605736"
"23.time",".8242626",".6211132"
"24.time",".8567119",".6894371"
"25.time",".8767049",".7347401"
"26.time",".8248595",".6421659"
"27.time",".7385234",".4702675"
"28.time",".9345741",".8842245"
"29.time",".6980014",".4650593"
"30.time",".7491944",".5418112"
"31.time",".8803535",".7954321"
"32.time",".8760983",".7825384"
"33.time",".643956",".3870748"
"34.time",".832297",".7300973"
"35.time",".7909892",".6631708"
"36.time",".5431214",".2982367"
"37.time",".6654996",".4938424"
"38.time",".4770379",".2375265"
"39.time",".774104",".6888573"
"40.time",".6965086",".5912206"
"41.time",".7198867",".6142735"
"42.time",".7008949",".5961146"
"43.time",".9305738",".9124694"
"44.time",".570459",".4277075"
"45.time",".6190652",".5176178"
"46.time",".5983061",".4693771"
"47.time",".6620953",".5767139"
"48.time",".4802461",".3529007"
"49.time",".6558845",".5844644"
"50.time",".4813995",".3717523"
"51.time",".8155435",".8037265"
"52.time",".6446756",".5874041"
"53.time",".6498015",".6280249"
"N","1431",""
