"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_4lag",".9999788",".858132"
"p75_pp_c_4lag","1.000001",".3819622"
"mine_time","1.117734",".0330027"
"onsite_insp_hours",".9996521",".001464"
"5.state","1.007622",".9550557"
"6.state","1","."
"9.state",".5986325","4.34e-07"
"10.state",".9782389",".8684634"
"11.state","1.620573",".0006128"
"15.state",".8914438",".4925404"
"16.state","1.092646",".6248615"
"5.time","1","."
"6.time",".7254923",".0060854"
"7.time",".5866131",".0006401"
"8.time",".4661224",".0000364"
"9.time",".3545248","6.98e-06"
"10.time",".3130484",".0000662"
"11.time",".3543465",".001881"
"12.time",".2808952",".0007435"
"13.time",".2680036",".0016885"
"N","222",""
