"","est1",""
"","b","p"
"dv","",""
"p48_c_4lag",".9881655",".0834728"
"p75_c_4lag","1.000154",".0685379"
"mine_time","1.110117",".0315571"
"onsite_insp_hours",".9996633",".0028738"
"4.state","1.116379",".2920832"
"5.state","1.14978",".1313473"
"6.state","1","."
"9.state",".6171174","1.55e-10"
"10.state",".9067446",".3164339"
"11.state","1.424845",".0002148"
"15.state",".8816355",".3517894"
"16.state","1.178911",".2128409"
"1.time","1","."
"2.time",".9332702",".4863065"
"3.time",".8510971",".1903439"
"4.time",".7241238",".085177"
"5.time",".7057476",".1871143"
"6.time",".5316156",".0301395"
"7.time",".4192554",".0036524"
"8.time",".3320341",".0016948"
"9.time",".2529201",".0006159"
"10.time",".22663",".0012974"
"11.time",".2644928",".0082882"
"12.time",".2061767",".0037307"
"13.time",".1971017",".0063578"
"N","427",""
