"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_1lag","1.258474",".0503686"
"sp48_25_ss_1lag","1.056144",".5192537"
"sp48_26_ss_1lag","1.54694",".0252157"
"sp48_27_ss_1lag",".567315",".0095072"
"sp48_28_ss_1lag",".9568012",".6439247"
"sp48_4_ss_1lag","1","."
"sp48_5_ss_1lag","1.723285",".0039861"
"sp48_6_ss_1lag",".691212",".0001303"
"sp48_7_ss_1lag","1.068477",".3897728"
"sp48_8_ss_1lag","1.683134",".0190487"
"sp75_100_ss_1lag",".87089",".530253"
"sp75_1002_ss_1lag","1.121165",".1616503"
"sp75_1003_ss_1lag","1.046802",".3832221"
"sp75_1003_2_ss_1lag","1.263961",".409683"
"sp75_1311_ss_1lag","1","."
"sp75_1315_ss_1lag","1","."
"sp75_1316_ss_1lag","1","."
"sp75_1318_ss_1lag","1","."
"sp75_1322_ss_1lag","1","."
"sp75_1400_ss_1lag",".9549844",".7683808"
"sp75_1400_1_ss_1lag","1.501707",".0538548"
"sp75_1403_10_ss_1lag","1.0756",".0404403"
"sp75_1403_5_ss_1lag",".9795458",".2664172"
"sp75_1403_6_ss_1lag","1.045987",".0829655"
"sp75_1403_7_ss_1lag",".9818773",".8592902"
"sp75_1403_8_ss_1lag",".943365","3.48e-06"
"sp75_1404_ss_1lag","1.063213",".7539165"
"sp75_1404_1_ss_1lag","1","."
"sp75_1405_ss_1lag","1.007388",".7309359"
"sp75_1405_1_ss_1lag","1.559472",".1245561"
"sp75_153_ss_1lag","1","."
"sp75_155_ss_1lag","1","."
"sp75_156_ss_1lag","1","."
"sp75_1719_2_ss_1lag","1.060314",".8255485"
"sp75_1719_4_ss_1lag","1.119548",".3802549"
"sp75_1720_ss_1lag","1.046014",".6529081"
"sp75_1725_ss_1lag",".9946841",".5759894"
"sp75_1906_ss_1lag","1","."
"sp75_1916_ss_1lag","1","."
"sp75_203_ss_1lag",".9819911",".5504585"
"sp75_204_ss_1lag",".9930413",".8836896"
"sp75_205_ss_1lag",".4292123",".0006529"
"sp75_207_ss_1lag",".9594116",".8612567"
"sp75_208_ss_1lag",".9932769",".8782647"
"sp75_209_ss_1lag","1.050531",".6844562"
"sp75_212_ss_1lag",".8219352",".0780392"
"sp75_213_ss_1lag","1.021793",".780084"
"sp75_215_ss_1lag","1","."
"sp75_332_ss_1lag",".3719219",".0082176"
"sp75_334_ss_1lag","1.037676",".7085974"
"sp75_337_ss_1lag",".9760832",".4247436"
"sp75_340_ss_1lag","1.022031",".4127064"
"sp75_343_ss_1lag",".8080052",".1171698"
"sp75_373_ss_1lag","1","."
"sp75_388_ss_1lag","1.177403",".4150025"
"sp75_389_ss_1lag","1.264517",".3230284"
"sp75_500_ss_1lag",".7781483",".0016216"
"sp75_500_1_ss_1lag","1","."
"sp75_501_ss_1lag","1","."
"sp75_501_2_ss_1lag",".5556812",".0001664"
"sp75_502_ss_1lag","1","."
"sp75_503_ss_1lag","1.011596",".20261"
"sp75_505_ss_1lag",".6949205",".0521121"
"sp75_506_1_ss_1lag",".9344503",".6642009"
"sp75_507_ss_1lag","1.0429",".6363192"
"sp75_507_1_ss_1lag","1.313186",".0376552"
"sp75_509_ss_1lag","1.655877",".0099729"
"sp75_512_1_ss_1lag","1","."
"sp75_523_ss_1lag",".904839",".163519"
"sp75_523_3_ss_1lag",".9621308",".1397011"
"sp75_524_ss_1lag","1.752653",".0146824"
"sp75_602_ss_1lag",".8472446",".0929809"
"sp75_603_ss_1lag","1.984721","2.91e-06"
"sp75_604_ss_1lag","1.001858",".8785404"
"sp75_605_ss_1lag","1.078584",".2734835"
"sp75_606_ss_1lag",".9104565",".0003372"
"sp75_607_ss_1lag",".9145652",".4964337"
"sp75_703_3_ss_1lag",".9060496",".725387"
"sp75_807_ss_1lag","1.050297",".2578479"
"sp75_810_ss_1lag",".6945208",".234279"
"sp75_811_ss_1lag","1.46769",".1157057"
"sp75_812_ss_1lag",".6598855",".0240694"
"sp75_816_ss_1lag","1.159061",".3157572"
"sp75_817_ss_1lag",".9583842",".8186334"
"sp75_906_ss_1lag","1","."
"mine_time","1.126547",".0224279"
"onsite_insp_hours",".9998025",".007257"
"4.state","1.642434",".0298883"
"5.state","1.072968",".4490685"
"6.state","1","."
"9.state",".6066087","1.46e-07"
"10.state",".8624901",".2349739"
"11.state","1.580033","1.19e-06"
"15.state",".9369035",".6445204"
"16.state","1.255421",".120497"
"1.time","1","."
"2.time",".9279316",".4491427"
"3.time",".8339493",".1540526"
"4.time",".722441",".097704"
"5.time",".6583302",".0875462"
"6.time",".4816733",".0085875"
"7.time",".4505883",".0135924"
"8.time",".3237415",".0018703"
"9.time",".2208087",".0004027"
"10.time",".2042956",".0009456"
"11.time",".2118771",".004276"
"12.time",".1659767",".002055"
"13.time",".1644148",".005515"
"N","427",""
