"","est1",""
"","b","p"
"dv","",""
"sp48_11_c_lag_all","1.013239",".4438858"
"sp75_1311_c_lag_all","1","."
"sp75_1400_1_c_lag_all","1.060185",".3572492"
"sp75_1404_1_c_lag_all","1","."
"sp75_1405_1_c_lag_all","1.040553",".6655873"
"sp75_500_1_c_lag_all","1","."
"sp75_501_c_lag_all",".9385364",".1653931"
"sp75_506_1_c_lag_all",".9932169",".8884927"
"sp75_507_1_c_lag_all","1.024828",".0481583"
"sp75_508_1_c_lag_all","1","."
"sp75_512_1_c_lag_all","1","."
"sp75_811_c_lag_all",".9968542",".8797866"
"sp75_1002_c_lag_all",".9951108",".5908814"
"sp75_1003_2_c_lag_all","1.001348",".9711421"
"sp75_1322_c_lag_all","1","."
"sp75_1719_2_c_lag_all",".8476704",".0033492"
"sp75_212_c_lag_all",".983311",".2552531"
"sp75_332_c_lag_all",".9675663",".2662722"
"sp75_501_2_c_lag_all","1.025245",".5061299"
"sp75_502_c_lag_all","1.045382",".5069411"
"sp75_602_c_lag_all",".9874051",".2404022"
"sp75_812_c_lag_all","1.083918",".136531"
"sp75_1003_c_lag_all",".9938848",".2885978"
"sp75_153_c_lag_all",".7960813",".0302089"
"sp75_203_c_lag_all",".9929135",".0926496"
"sp75_213_c_lag_all","1.02629",".3296227"
"sp75_343_c_lag_all","1.029029",".3391434"
"sp75_373_c_lag_all","1","."
"sp75_503_c_lag_all","1.000677",".5239219"
"sp75_523_c_lag_all","1.002785",".8159742"
"sp75_523_3_c_lag_all",".9994241",".8578285"
"sp75_603_c_lag_all","1.06065",".017053"
"sp75_703_3_c_lag_all","1.020594",".7078578"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1404_c_lag_all","1.207191",".0190602"
"sp75_1719_4_c_lag_all",".972348",".0081512"
"sp75_204_c_lag_all","1.015095",".055135"
"sp75_334_c_lag_all","1.0224",".039389"
"sp75_524_c_lag_all",".9776495",".7436445"
"sp75_604_c_lag_all",".9978563",".2694003"
"sp75_703_4_c_lag_all","1","."
"sp48_25_c_lag_all","1.018307",".3856031"
"sp48_5_c_lag_all","1.050493",".0844421"
"sp75_1315_c_lag_all","1","."
"sp75_1403_5_c_lag_all",".9963523",".0935454"
"sp75_1405_c_lag_all",".9979031",".7855278"
"sp75_155_c_lag_all","1.031683",".8256826"
"sp75_1725_c_lag_all","1.001306",".3202575"
"sp75_205_c_lag_all",".7637214",".2778192"
"sp75_215_c_lag_all",".7233126",".1063545"
"sp75_505_c_lag_all",".9099107",".0772146"
"sp75_605_c_lag_all","1.006677",".1751864"
"sp48_26_c_lag_all","1.055858",".0462089"
"sp48_6_c_lag_all",".9834257",".2619501"
"sp75_1316_c_lag_all","1","."
"sp75_1403_6_c_lag_all","1.003312",".1801446"
"sp75_156_c_lag_all",".9734619",".7758319"
"sp75_1906_c_lag_all","1.000305",".9773944"
"sp75_1916_c_lag_all","1.014944",".5737318"
"sp75_606_c_lag_all",".9973253",".1943928"
"sp75_816_c_lag_all","1.013058",".3248968"
"sp75_906_c_lag_all",".8131082",".0011114"
"sp48_27_c_lag_all","1.015012",".6572582"
"sp48_7_c_lag_all","1.04272",".0291028"
"sp75_1403_7_c_lag_all","1.012954",".6082548"
"sp75_207_c_lag_all",".9256675",".0358976"
"sp75_327_c_lag_all","1","."
"sp75_337_c_lag_all","1.027212",".0157412"
"sp75_507_c_lag_all",".9917165",".7060728"
"sp75_607_c_lag_all","1.042568",".0086194"
"sp75_807_c_lag_all",".9922768",".0055196"
"sp75_817_c_lag_all",".9694089",".7349275"
"sp48_28_c_lag_all",".9805791",".143389"
"sp48_8_c_lag_all","1.030274",".3643149"
"sp75_1318_c_lag_all",".9825373",".8867217"
"sp75_1403_8_c_lag_all","1.000233",".8567886"
"sp75_208_c_lag_all",".9928641",".0572296"
"sp75_388_c_lag_all",".9860746",".6377571"
"sp75_209_c_lag_all",".9823285",".1589397"
"sp75_389_c_lag_all","1.035152",".3976756"
"sp75_509_c_lag_all","1.129789",".0323443"
"sp75_100_c_lag_all","1.026136",".5927159"
"sp75_1400_c_lag_all",".9996798",".9681265"
"sp75_1403_10_c_lag_all","1.002861",".5792064"
"sp75_160_c_lag_all","1.196397",".1986541"
"sp75_1720_c_lag_all","1.026902",".1061465"
"sp75_340_c_lag_all","1.004811",".1156529"
"sp75_500_c_lag_all","1.040181",".0474204"
"sp75_510_c_lag_all","1.019812",".7738406"
"sp75_810_c_lag_all",".9843027",".0238571"
"mine_time","1.003454",".9483257"
"onsite_insp_hours","1.000127",".3264515"
"4.state","2.954712",".0448264"
"5.state","3.55761",".0180902"
"6.state","1","."
"9.state",".8605085",".6770382"
"10.state","1.394155",".4185493"
"11.state","1.979124",".1786792"
"15.state","1.023334",".9125618"
"16.state","1.707635",".0087645"
"1.time","1","."
"2.time","1.01001",".9252884"
"3.time",".9296472",".6114319"
"4.time",".8779992",".5012551"
"5.time",".8914876",".6384013"
"6.time",".6835652",".1972287"
"7.time",".5753935",".1016621"
"8.time",".4117972",".0292332"
"9.time",".3609618",".0301656"
"10.time",".2923845",".0296911"
"11.time",".3531471",".097758"
"12.time",".2542431",".0385858"
"13.time",".2819961",".082891"
"N","427",""
