"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_1lag",".9907021",".0003532"
"sp47_42_pp_1lag",".9833013",".0619423"
"sp47_44_pp_1lag",".997848",".5155767"
"sp48_11_pp_1lag","1.001693",".5600142"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1.00442",".0585699"
"sp48_26_pp_1lag","1.00665",".1718148"
"sp48_27_pp_1lag",".9989199",".7803514"
"sp48_28_pp_1lag","1.001525",".5260857"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag",".9963948",".4300058"
"sp48_6_pp_1lag",".9968388",".1614522"
"sp48_7_pp_1lag",".9980863",".3947982"
"sp48_8_pp_1lag","1.003316",".1906772"
"sp71_701_pp_1lag","1.031082",".048305"
"sp72_503_pp_1lag","1.000154",".9618838"
"sp72_610_pp_1lag","1.002869",".5942525"
"sp72_620_pp_1lag","1","."
"sp72_630_pp_1lag","1.000167",".6527502"
"sp75_100_pp_1lag",".9884791",".1388832"
"sp75_1001_1_pp_1lag","1.00145",".875448"
"sp75_1001_pp_1lag","1","."
"sp75_1003_1_pp_1lag",".9949353",".1784354"
"sp75_1100_2_pp_1lag",".9997668",".6047301"
"sp75_1101_20_pp_1lag","1","."
"sp75_1102_pp_1lag",".9971425",".3906421"
"sp75_1103_4_pp_1lag","1.001211",".1579909"
"sp75_1104_pp_1lag","1.004183",".0058651"
"sp75_1106_2_pp_1lag","1.00457",".0351606"
"sp75_1106_3_pp_1lag","1.000903",".0801827"
"sp75_1106_4_pp_1lag",".9895335",".323189"
"sp75_1106_5_pp_1lag",".9925212",".0672262"
"sp75_1106_6_pp_1lag","1","."
"sp75_1106_pp_1lag",".9973921",".3211831"
"sp75_1107_14_pp_1lag","1.591374","0"
"sp75_1400_1_pp_1lag","1.022298",".0002483"
"sp75_1400_2_pp_1lag",".9813498",".0312116"
"sp75_1400_3_pp_1lag","1.000757",".7977175"
"sp75_1400_4_pp_1lag","1.002336",".4881902"
"sp75_1400_pp_1lag",".9963862",".5351623"
"sp75_1401_1_pp_1lag","1","."
"sp75_1401_pp_1lag",".9801428",".0007305"
"sp75_1403_10_pp_1lag","1.000699",".5053551"
"sp75_1403_11_pp_1lag","1","."
"sp75_1403_3_pp_1lag","1","."
"sp75_1403_4_pp_1lag","1","."
"sp75_1403_5_pp_1lag","1.000715",".2325181"
"sp75_1403_6_pp_1lag",".9999326",".8543143"
"sp75_1403_7_pp_1lag",".9998489",".9619375"
"sp75_1403_8_pp_1lag","1.00001",".9813498"
"sp75_1403_9_pp_1lag",".9972885",".0334358"
"sp75_1404_1_pp_1lag","1","."
"sp75_1404_pp_1lag","1","."
"sp75_1405_1_pp_1lag","1","."
"sp75_1405_pp_1lag",".9991826",".1397378"
"sp75_1431_pp_1lag","1","."
"sp75_1432_pp_1lag","1.003128",".4095576"
"sp75_1433_pp_1lag",".998856",".7085598"
"sp75_1434_pp_1lag",".9977305",".4546138"
"sp75_1435_pp_1lag","1.02541",".0001067"
"sp75_1437_pp_1lag","1","."
"sp75_150_pp_1lag","1.009495",".0413822"
"sp75_151_pp_1lag","1","."
"sp75_153_pp_1lag",".8214609","0"
"sp75_156_pp_1lag",".8086427","0"
"sp75_160_pp_1lag","1","."
"sp75_1600_2_pp_1lag",".998722",".2076207"
"sp75_1712_10_pp_1lag",".9921999",".3668986"
"sp75_1712_6_pp_1lag","1.003093",".1752472"
"sp75_1720_pp_1lag","1.00182",".4050804"
"sp75_1721_pp_1lag","1","."
"sp75_1725_pp_1lag",".9996642",".1607418"
"sp75_1726_pp_1lag","1.003706",".2358392"
"sp75_1727_pp_1lag","1","."
"sp75_1728_pp_1lag","1.016053",".0147434"
"sp75_1729_pp_1lag","1.005135",".1496992"
"sp75_1730_pp_1lag","1.002763",".6719404"
"sp75_1731_pp_1lag","1.000142",".4105298"
"sp75_1903_pp_1lag",".9968986",".0181139"
"sp75_1909_pp_1lag","1.000304",".3171491"
"sp75_1910_pp_1lag","1.00007",".8893461"
"sp75_1911_pp_1lag","1.000134",".8342997"
"sp75_1912_pp_1lag",".9972351",".2660906"
"sp75_1913_pp_1lag",".9774984",".0232668"
"sp75_1914_pp_1lag","1.000105",".8121015"
"sp75_1915_pp_1lag",".9996256",".9245828"
"sp75_202_pp_1lag","1.000044",".7586332"
"sp75_208_pp_1lag",".9972965",".0019802"
"sp75_211_pp_1lag","1.000997",".3735587"
"sp75_212_pp_1lag",".9944847",".2429711"
"sp75_214_pp_1lag","1.002446",".1116372"
"sp75_312_pp_1lag","1.003806",".1427104"
"sp75_320_pp_1lag",".999802",".8662067"
"sp75_324_pp_1lag",".9999653",".9938447"
"sp75_337_pp_1lag","1.000366",".685835"
"sp75_340_pp_1lag","1.001032",".1029399"
"sp75_341_pp_1lag",".7624231","0"
"sp75_342_pp_1lag","1.000431",".2225937"
"sp75_344_pp_1lag",".9911865",".0190237"
"sp75_352_pp_1lag",".9998315",".9447213"
"sp75_382_pp_1lag",".9963965",".17938"
"sp75_503_pp_1lag",".9998844",".4988173"
"sp75_504_pp_1lag","1.004941",".0014027"
"sp75_505_pp_1lag",".9798886",".1240687"
"sp75_506_1_pp_1lag",".9860183",".0967658"
"sp75_506_pp_1lag","1.000162",".9646796"
"sp75_507_pp_1lag","1.007149",".0224062"
"sp75_511_1_pp_1lag","1","."
"sp75_511_pp_1lag",".9937978",".0379803"
"sp75_512_1_pp_1lag","1","."
"sp75_512_2_pp_1lag","1.00157",".146358"
"sp75_512_pp_1lag",".9998149",".5396007"
"sp75_513_1_pp_1lag",".9955992",".7007904"
"sp75_513_pp_1lag","1.006546",".1515657"
"sp75_514_pp_1lag","1.000151",".8289978"
"sp75_515_pp_1lag",".9989065",".040604"
"sp75_516_1_pp_1lag","1","."
"sp75_516_2_pp_1lag",".9971406",".2050602"
"sp75_516_pp_1lag","1.000628",".4891229"
"sp75_517_1_pp_1lag",".9976505",".5316194"
"sp75_517_pp_1lag",".9994675",".0000727"
"sp75_518_1_pp_1lag",".9978284",".1137402"
"sp75_518_pp_1lag","1.000221",".6873184"
"sp75_519_pp_1lag",".8287394","0"
"sp75_520_pp_1lag","1.000895",".5124475"
"sp75_523_1_pp_1lag",".9923841",".0096814"
"sp75_523_2_pp_1lag",".9973689",".2784028"
"sp75_523_pp_1lag",".9950447",".1283452"
"sp75_600_1_pp_1lag",".7765192","0"
"sp75_600_pp_1lag","1","."
"sp75_601_1_pp_1lag","1.000528",".3507166"
"sp75_601_2_pp_1lag","1","."
"sp75_601_3_pp_1lag",".9906451",".1160086"
"sp75_601_pp_1lag","1.003023",".0326044"
"sp75_602_pp_1lag",".9987605",".5227033"
"sp75_603_pp_1lag","1.03614",".1717077"
"sp75_604_pp_1lag","1.000304",".4400787"
"sp75_605_pp_1lag","1.000581",".6775932"
"sp75_606_pp_1lag",".9993113",".1924861"
"sp75_607_pp_1lag","1.003195",".5120207"
"sp75_700_1_pp_1lag",".8219821","0"
"sp75_700_pp_1lag","1.007846",".038777"
"sp75_701_1_pp_1lag",".9960186",".3743061"
"sp75_701_2_pp_1lag",".9893365",".1157282"
"sp75_701_3_pp_1lag","1.004541",".41939"
"sp75_701_4_pp_1lag","1.014563",".0579788"
"sp75_701_5_pp_1lag",".9984033",".6539951"
"sp75_701_pp_1lag","1.000769",".4589289"
"sp75_702_1_pp_1lag",".7570488","0"
"sp75_702_pp_1lag","1","."
"sp75_703_1_pp_1lag",".7711862","0"
"sp75_703_2_pp_1lag","1.006618",".1435876"
"sp75_703_3_pp_1lag","1.020867",".0000159"
"sp75_703_4_pp_1lag","1","."
"sp75_703_pp_1lag","1.003531",".0230334"
"sp75_704_pp_1lag","1","."
"sp75_705_1_pp_1lag",".9944719",".1930473"
"sp75_705_3_pp_1lag","1","."
"sp75_705_8_pp_1lag",".7781706","0"
"sp75_705_pp_1lag","1","."
"sp75_706_pp_1lag",".976192",".0056146"
"sp75_800_2_pp_1lag",".7850957","0"
"sp75_800_3_pp_1lag",".8415387","0"
"sp75_800_4_pp_1lag","1.007374",".0140132"
"sp75_800_pp_1lag",".9939448",".0004144"
"sp75_801_pp_1lag",".9974621",".358165"
"sp75_802_pp_1lag",".8071229","0"
"sp75_803_2_pp_1lag","1","."
"sp75_803_pp_1lag","1.002973",".3530579"
"sp75_804_pp_1lag","1.000332",".9644278"
"sp75_805_pp_1lag","1.040714",".2274735"
"sp75_806_pp_1lag","1","."
"sp75_807_pp_1lag","1.000605",".2000581"
"sp75_808_pp_1lag","1.001561",".4839083"
"sp75_809_pp_1lag",".9998525",".9534705"
"sp75_810_pp_1lag","1.003091",".2544482"
