"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_1lag",".4347991",".0004395"
"sp47_44_ss_1lag","1","."
"sp48_11_ss_1lag","1.059563",".7481792"
"sp48_25_ss_1lag","1.208989",".1083684"
"sp48_26_ss_1lag",".9667843",".9549144"
"sp48_27_ss_1lag","1.193131",".355028"
"sp48_28_ss_1lag","1.096984",".5948423"
"sp48_4_ss_1lag","1","."
"sp48_5_ss_1lag","1.348666",".429548"
"sp48_6_ss_1lag",".4111964",".0085749"
"sp48_7_ss_1lag","1.046636",".7813837"
"sp48_8_ss_1lag",".6605079",".5092509"
"sp71_701_ss_1lag","17.18847","2.68e-10"
"sp72_503_ss_1lag",".9498218",".9078264"
"sp72_610_ss_1lag","1","."
"sp72_620_ss_1lag","1.16724",".6890628"
"sp72_630_ss_1lag","1.030229",".6217481"
"sp75_100_ss_1lag","5.511016",".0173316"
"sp75_1001_1_ss_1lag","1","."
"sp75_1001_ss_1lag","1.70168",".6693552"
"sp75_1003_1_ss_1lag",".4110748","2.28e-08"
"sp75_1100_2_ss_1lag","1.164662",".0578918"
"sp75_1101_20_ss_1lag","1","."
"sp75_1102_ss_1lag",".7543359",".526483"
"sp75_1103_4_ss_1lag",".4428881",".0182495"
"sp75_1104_ss_1lag",".7179978",".6510883"
"sp75_1106_2_ss_1lag",".9508685",".8308742"
"sp75_1106_3_ss_1lag","1.140262",".0744813"
"sp75_1106_4_ss_1lag",".9340664",".822814"
"sp75_1106_5_ss_1lag",".8227884",".4936086"
"sp75_1106_6_ss_1lag","1","."
"sp75_1106_ss_1lag","1.203212",".3948361"
"sp75_1107_14_ss_1lag","1","."
"sp75_1400_1_ss_1lag","2.988218",".2163505"
"sp75_1400_2_ss_1lag","4.993408",".0017936"
"sp75_1400_3_ss_1lag","1.098171",".733328"
"sp75_1400_4_ss_1lag","1","."
"sp75_1400_ss_1lag","1.313176",".1448067"
"sp75_1401_ss_1lag","1.451828",".6886336"
"sp75_1403_10_ss_1lag","1.029083",".6158154"
"sp75_1403_11_ss_1lag","1","."
"sp75_1403_3_ss_1lag","1","."
"sp75_1403_4_ss_1lag","1","."
"sp75_1403_5_ss_1lag",".9378375",".176725"
"sp75_1403_6_ss_1lag",".9521494",".2074647"
"sp75_1403_7_ss_1lag",".9898329",".9276364"
"sp75_1403_8_ss_1lag",".996359",".9382268"
"sp75_1403_9_ss_1lag",".2613806",".0047929"
"sp75_1404_1_ss_1lag","1","."
"sp75_1404_ss_1lag","2.06e-13","0"
"sp75_1405_1_ss_1lag",".7627774",".5593028"
"sp75_1405_ss_1lag",".9072723",".0141974"
"sp75_1431_ss_1lag","1","."
"sp75_1432_ss_1lag","1","."
"sp75_1433_ss_1lag",".6537541",".242968"
"sp75_1434_ss_1lag","1.559045",".0373909"
"sp75_1435_ss_1lag","1","."
"sp75_1437_ss_1lag","1","."
"sp75_150_ss_1lag","2.55523",".2946965"
"sp75_151_ss_1lag","1","."
"sp75_153_ss_1lag","1","."
"sp75_155_ss_1lag","1.015701",".9603157"
"sp75_156_ss_1lag","1","."
"sp75_1600_2_ss_1lag",".5237426",".3671136"
"sp75_1712_10_ss_1lag","1","."
"sp75_1712_6_ss_1lag","4.861003",".0010957"
"sp75_1720_ss_1lag","1.193762",".2498454"
"sp75_1721_ss_1lag","1","."
"sp75_1725_ss_1lag",".9658374",".0238297"
"sp75_1726_ss_1lag",".8577558",".4657823"
"sp75_1727_ss_1lag","2.00e-12","0"
"sp75_1728_ss_1lag","4.028366",".0000179"
"sp75_1729_ss_1lag",".5587058",".0447863"
"sp75_1730_ss_1lag",".6254668",".4677786"
"sp75_1731_ss_1lag","1.035853",".0383113"
"sp75_1903_ss_1lag",".7593322",".2352158"
"sp75_1909_ss_1lag",".9820169",".7322092"
"sp75_1910_ss_1lag",".8981182",".2187624"
"sp75_1911_ss_1lag",".9977221",".9832154"
"sp75_1912_ss_1lag","1.561806",".2031876"
"sp75_1913_ss_1lag","1.985496",".356786"
"sp75_1914_ss_1lag","1.030289",".4818981"
"sp75_1915_ss_1lag","1.504597",".2582528"
"sp75_202_ss_1lag",".9941171",".5938602"
"sp75_208_ss_1lag",".9642536",".6244329"
"sp75_211_ss_1lag","1.127801",".1238662"
"sp75_212_ss_1lag",".7631824",".351058"
"sp75_214_ss_1lag","1.490966",".3982513"
"sp75_312_ss_1lag","2.445737",".1170738"
"sp75_320_ss_1lag","1.121181",".5965411"
"sp75_324_ss_1lag","1.155603",".4499625"
"sp75_337_ss_1lag",".9546761",".6658564"
"sp75_340_ss_1lag","1.088847",".0785332"
"sp75_342_ss_1lag",".9511731",".2567426"
"sp75_344_ss_1lag","1.214106",".3105192"
"sp75_352_ss_1lag","1.769975",".001785"
"sp75_382_ss_1lag",".70308",".166981"
"sp75_503_ss_1lag","1.002935",".8950955"
"sp75_504_ss_1lag","2.388423",".019572"
"sp75_505_ss_1lag",".832526",".7130394"
"sp75_506_1_ss_1lag","4.65e-13","0"
"sp75_506_ss_1lag",".9421609",".8691379"
"sp75_507_ss_1lag",".7374655",".2558263"
"sp75_511_1_ss_1lag","1","."
"sp75_511_ss_1lag","1.196932",".1184084"
"sp75_512_1_ss_1lag","1","."
"sp75_512_2_ss_1lag",".9987638",".9917375"
"sp75_512_ss_1lag","1.007346",".774312"
"sp75_513_1_ss_1lag","1","."
"sp75_513_ss_1lag","1.600651",".0006607"
"sp75_514_ss_1lag",".8474783",".0798126"
"sp75_515_ss_1lag",".8881502",".1639788"
"sp75_516_1_ss_1lag","1","."
"sp75_516_2_ss_1lag","1","."
"sp75_516_ss_1lag","1.217995",".0149081"
"sp75_517_1_ss_1lag","1","."
"sp75_517_ss_1lag",".9802486",".0697674"
"sp75_518_1_ss_1lag",".8118511",".3757675"
"sp75_518_ss_1lag","1.034508",".3713708"
"sp75_519_ss_1lag","6.50e-14","0"
"sp75_520_ss_1lag","1.103712",".3248691"
"sp75_523_1_ss_1lag",".9995164",".9981181"
"sp75_523_2_ss_1lag",".8810679",".4041652"
"sp75_523_ss_1lag",".7677081",".1212965"
"sp75_600_1_ss_1lag",".0001383","0"
"sp75_600_ss_1lag","1","."
"sp75_601_1_ss_1lag","1.183022",".000762"
"sp75_601_2_ss_1lag","1","."
"sp75_601_3_ss_1lag","4.250623",".0696504"
"sp75_601_ss_1lag",".8835813",".2928036"
"sp75_602_ss_1lag","1.403399",".1511753"
"sp75_603_ss_1lag","1.540533",".4343107"
"sp75_604_ss_1lag",".9732272",".4478429"
"sp75_605_ss_1lag",".911477",".3496676"
"sp75_606_ss_1lag",".8686646",".0472424"
"sp75_607_ss_1lag","1.495714",".1619465"
"sp75_700_1_ss_1lag","1.74838",".6144925"
"sp75_700_ss_1lag","2.420914",".0570461"
"sp75_701_1_ss_1lag",".5136644",".3736204"
"sp75_701_2_ss_1lag",".3525317",".0692013"
"sp75_701_3_ss_1lag","1.558311",".0476477"
"sp75_701_4_ss_1lag","1.96e+09","0"
"sp75_701_5_ss_1lag",".9623258",".9106334"
"sp75_701_ss_1lag","1.072257",".4884335"
"sp75_703_2_ss_1lag","1","."
"sp75_703_3_ss_1lag","1.112142",".8283767"
"sp75_703_ss_1lag","1.512809",".0338936"
"sp75_704_ss_1lag","1","."
"sp75_705_1_ss_1lag",".3901218",".2816021"
"sp75_705_8_ss_1lag","2.96e-12","0"
"sp75_705_ss_1lag","1.08e-13","0"
"sp75_706_ss_1lag","1.347552",".8050572"
"sp75_800_2_ss_1lag","1","."
"sp75_800_3_ss_1lag","2.869152",".0000225"
"sp75_800_4_ss_1lag","1","."
"sp75_800_ss_1lag",".7528675",".0664008"
"sp75_801_ss_1lag",".8362719",".7007181"
"sp75_802_ss_1lag","1.919724",".0933481"
"sp75_803_2_ss_1lag","1","."
"sp75_803_ss_1lag",".8463802",".5500379"
"sp75_804_ss_1lag","1.510524",".2913164"
"sp75_805_ss_1lag",".2624784",".1775786"
"sp75_806_ss_1lag","1","."
"sp75_807_ss_1lag","1.190431",".0076918"
"sp75_808_ss_1lag","1.127306",".8508893"
"sp75_809_ss_1lag","1.365849",".2087396"
"sp75_810_ss_1lag",".2605782",".0681072"
"sp75_811_ss_1lag",".909781",".732939"
"sp75_812_ss_1lag","2.277349",".0000394"
"sp75_814_ss_1lag","1","."
"sp75_815_ss_1lag","6.06e-12","0"
"sp75_816_ss_1lag",".9835105",".9696614"
"sp75_818_ss_1lag",".8639088",".3419705"
"sp75_819_ss_1lag","1","."
"sp75_820_ss_1lag","3.04e-07","0"
"sp75_821_ss_1lag",".6456159",".2040623"
"sp75_825_ss_1lag","1.558679",".0509994"
