"","est1",""
"","b","p"
"dv","",""
"p47_pp_1lag",".9968959",".0270358"
"p48_pp_1lag",".9995056",".4376601"
"p71_pp_1lag",".9982576",".3966697"
"p72_pp_1lag",".9981308",".1073922"
"p75_pp_1lag","1.000024",".0041067"
"p77_pp_1lag",".9998831",".6029836"
"mine_time","1.145941",".2351768"
"onsite_insp_hours",".9996365",".0034049"
"1.state","1.629696",".0475243"
"2.state","1.914571",".0000487"
"3.state",".7992933",".4506196"
"5.state","1.345856",".1174403"
"6.state","1","."
"9.state",".8865417",".4984297"
"10.state","1.304752",".1181796"
"11.state",".7948795",".1487336"
"15.state",".7901652",".1173473"
"16.state",".9495067",".8418058"
"5.time","1","."
"6.time",".9491461",".7704616"
"7.time",".608998",".0676095"
"8.time",".5970395",".1518461"
"9.time",".5228777",".1579644"
"10.time",".5022674",".2236616"
"11.time",".4147517",".2180601"
"12.time",".3924054",".2261588"
"13.time",".3348555",".2170817"
"N","277",""
