"","est1",""
"","b","p"
"dv","",""
"p47_c_4lag","1.001801",".9755767"
"p48_c_4lag",".9942375",".5450583"
"p71_c_4lag",".9468038",".0908379"
"p72_c_4lag",".9805356",".3967874"
"p75_c_4lag","1.000113",".321628"
"p77_c_4lag",".9968059",".2956895"
"mine_time","1.177739",".1252201"
"onsite_insp_hours",".9998604",".1018482"
"1.state","1.172398",".2547059"
"2.state","1.74323",".0000101"
"3.state",".7337526",".2683506"
"4.state","1.045237",".7521476"
"5.state",".9755307",".8260764"
"6.state","1","."
"9.state",".8161563",".0312544"
"10.state","1.396922",".0298411"
"11.state","1.09097",".4107413"
"15.state",".8017751",".1526279"
"16.state",".9403246",".723308"
"1.time","1","."
"2.time",".8762615",".2935376"
"3.time",".6824245",".0675998"
"4.time",".5664056",".0776698"
"5.time",".3892993",".0292216"
"6.time",".3721653",".0517731"
"7.time",".2345414",".0217974"
"8.time",".2134942",".0348028"
"9.time",".1807679",".0389002"
"10.time",".1654237",".0596202"
"11.time",".1355035",".0614639"
"12.time",".1258197",".0674735"
"13.time",".1070361",".0677766"
"N","503",""
