"","est1",""
"","b","p"
"dv","",""
"sp47_41",".9547059",".5523857"
"sp48_11",".9947789",".9734038"
"sp71_701",".5657423",".6022281"
"sp75_1001",".0039044",".0014534"
"sp75_1001_1","2.484763",".3879842"
"sp75_1003_1",".3790195",".1094678"
"sp75_1400_1",".7761733",".7439809"
"sp75_1401",".8359096",".7509371"
"sp75_1401_1","1","."
"sp75_1403_11","1","."
"sp75_1404_1","1","."
"sp75_1405_1",".0266607",".2135604"
"sp75_1431","1","."
"sp75_151","1","."
"sp75_1721","1","."
"sp75_1731",".9868824",".3571989"
"sp75_1911",".9862113",".6860335"
"sp75_211",".9917086",".909026"
"sp75_341","7.32e-14","0"
"sp75_506_1",".703777",".5243492"
"sp75_510_1","1","."
"sp75_511",".9503501",".7124574"
"sp75_511_1","1","."
"sp75_512_1","3.16e-12","0"
"sp75_513_1",".3003315",".257295"
"sp75_516_1",".4389919",".1294256"
"sp75_517_1","1.470228",".4547461"
"sp75_518_1",".8445789",".1031367"
"sp75_523_1","1.045506",".7518967"
"sp75_600_1",".9223169",".7119852"
"sp75_601","1.009881",".862437"
"sp75_601_1",".9763247",".5903546"
"sp75_700_1",".7840669",".6655316"
"sp75_701","1.034895",".4654223"
"sp75_701_1",".7427954",".0070184"
"sp75_702_1","1.073069",".8082383"
"sp75_703_1",".5511883",".2807688"
"sp75_705_1","1.090328",".8775752"
"sp75_801",".3455311",".0049084"
"sp75_811",".8343497",".2688511"
"sp75_821","1.085579",".7141544"
"sp75_831","5.80e-13","0"
"sp75_901",".6179166",".2110269"
"sp75_902_1","1","."
"sp77_1111",".7129617",".3931114"
"sp77_401",".6325987",".090229"
"sp77_403_1","1.592535",".0941852"
"sp77_411",".777516",".8634734"
"sp77_501",".5396982",".0611306"
"sp77_502_1","1.130212",".8265935"
"sp77_503_1",".056573",".013398"
"sp77_506_1",".9655358",".3480629"
"sp77_508_1",".5497633",".1600746"
"sp77_511",".9286372",".8944912"
"sp77_601",".2270152",".0084419"
"sp77_606_1",".0926733","7.25e-10"
"sp77_700_1","6.001735","1.05e-09"
"sp77_701","1.179923",".1775543"
"sp77_701_1",".8116899",".586838"
"sp77_704_1","1","."
"sp77_800_1","1.066398",".9107709"
"sp77_801",".3935527",".2967635"
"sp77_801_1","1","."
"sp77_807_1","1.51e-11","0"
"sp77_900_1","9.148865",".0068954"
"sp77_901",".7022323",".4529833"
"sp77_901_1","1","."
"sp47_42",".0559089",".0007872"
"sp75_1100_2","1.051027",".031856"
"sp75_1102",".6638665",".0873165"
"sp75_1106_2","1.0116",".9511166"
"sp75_1400_2","1.231762",".5603128"
"sp75_1402_2","1","."
"sp75_1432","1.00747",".9893438"
"sp75_1600_2",".8747336",".0115234"
"sp75_1912",".8839912",".5581656"
"sp75_202","1.008184",".3305626"
"sp75_212","1.062885",".781427"
"sp75_312",".9552317",".5861031"
"sp75_342",".9945753",".8569008"
"sp75_352","1.109178",".4691176"
"sp75_382","1.097987",".6767646"
"sp75_512","1.001038",".9168289"
"sp75_512_2",".9982098",".9663296"
"sp75_516_2","1.261761",".0012211"
"sp75_523_2","1.106608",".1398953"
"sp75_601_2","1","."
"sp75_602",".6829914",".0407808"
"sp75_701_2",".9889433",".981393"
"sp75_702","1","."
"sp75_703_2","1.169241",".9324132"
"sp75_705_2","1","."
"sp75_800_2","1","."
"sp75_802",".1138336",".1664572"
"sp75_803_2","1","."
"sp75_812","2.148364",".1990859"
"sp75_832","17.77303",".0079888"
"sp75_900_2",".8536783",".6901865"
"sp75_902",".8314033",".0994567"
"sp75_902_2",".8405326",".741154"
"sp77_1112",".5223101",".0293273"
"sp77_1432","3.43522",".1908266"
"sp77_1802","3.897331",".5007093"
"sp77_202","1.003359",".938686"
"sp77_402","1.370061",".0068243"
"sp77_403_2","1.144012",".9381914"
"sp77_412","1.315509",".2904872"
"sp77_502",".9014011",".003341"
"sp77_502_2","1.166694",".3438028"
"sp77_512",".9857261",".8723784"
"sp77_602","1.952364",".5710399"
"sp77_701_2","1.043971",".8641461"
"sp77_702","1","."
"sp77_800_2","2.083292",".0064934"
"sp77_802","18.54641",".1532171"
"sp77_807_2","1.206179",".7127"
"sp77_900_2","1.438307",".3937407"
"sp77_902",".703869",".4367381"
"sp77_902_2","1","."
"sp47_43","7.553657",".0468071"
"sp72_503","1.010427",".9305776"
"sp75_1106_3","1.006687",".879819"
"sp75_1400_3",".3479161",".0001866"
"sp75_1403_3","1","."
"sp75_1433","1.748339",".0479616"
"sp75_153","1.83e-11","0"
"sp75_1903","1.024119",".7524593"
"sp75_1913",".7513832",".1872881"
"sp75_503",".9980858",".8590132"
"sp75_513",".6372123",".0157617"
"sp75_523",".7830951",".0701473"
"sp75_601_3",".364805",".0183816"
"sp75_603",".4808315",".1127156"
"sp75_701_3","1.262301",".468724"
"sp75_703","1.170791",".1224562"
"sp75_703_3",".4960817",".2526632"
"sp75_705_3","1","."
"sp75_800_3",".6869155",".2284414"
"sp75_803","1.369866",".3296126"
"sp75_900_3","1.444025",".2059599"
"sp75_903","1.195414",".0895809"
"sp77_103","1","."
"sp77_1103","1.11868",".0665502"
"sp77_1403","1.34466",".6296197"
"sp77_1433",".6182934",".3154426"
"sp77_203",".824592",".8377566"
"sp77_403","1.161548",".8727211"
"sp77_413","1","."
"sp77_503","2.699032",".000898"
"sp77_513","1.072152",".6548179"
"sp77_603","1.040887",".9628255"
"sp77_701_3","1","."
"sp77_703","1","."
"sp77_803","1.31e-11","0"
"sp77_807_3","1","."
"sp77_902_3","2.827727",".2228489"
"sp77_903","47.32387",".0271104"
"sp47_44",".8779759",".5240858"
"sp48_24","1","."
"sp48_4","1","."
"sp75_1103_4",".9969442",".95483"
"sp75_1104","1.044664",".6924524"
"sp75_1106_4",".4141257",".1251537"
"sp75_1107_14","2.86e+07","."
"sp75_1400_4",".5702334",".0877063"
"sp75_1403_4","1","."
"sp75_1404",".1223834",".1091384"
"sp75_1434",".6756665",".3282184"
"sp75_1914","1.022323",".3164186"
"sp75_214","1.265592",".0059464"
"sp75_324","1.233618",".3924289"
"sp75_344",".6836852",".1562399"
"sp75_504",".9442822",".4931137"
"sp75_514",".9511824",".3753031"
"sp75_604","1.052294",".0321503"
"sp75_701_4","5.316898",".0110829"
"sp75_703_4","1","."
"sp75_704","1","."
"sp75_800_4",".7931134",".3549387"
"sp75_804",".6883464",".0377963"
"sp75_814","3.37255",".0431031"
"sp75_834","1","."
"sp75_900_4",".7229261",".0156457"
"sp75_902_4",".9782602",".9050252"
"sp75_904","1.021463",".5252077"
"sp77_104","1","."
"sp77_1104","1.105843",".0003595"
"sp77_1434","1.255582",".7714407"
"sp77_204","1.118475",".1454519"
"sp77_314","1","."
"sp77_404",".9048621",".0065271"
"sp77_504","1.690353",".0009594"
"sp77_514","1.672596",".3226912"
"sp77_604","1.093767",".7441219"
"sp77_701_4","1.159875",".9300528"
"sp77_704",".8970176",".9239954"
"sp77_804","1","."
"sp77_904","1.218706",".0521184"
"sp48_25","1.453992",".0484148"
"sp48_5",".6741419",".0914735"
"sp75_1106_5",".6901388",".0230986"
"sp75_1403_5",".9640882",".2524799"
"sp75_1405","1.004773",".8925452"
"sp75_1435","12.29801",".0004001"
"sp75_155","1.560934",".2793044"
"sp75_1725","1.002205",".8917339"
"sp75_1915","1.51491",".0320585"
"sp75_505",".8823171",".8269829"
"sp75_515","1.018985",".3557089"
"sp75_605",".9633253",".6153579"
"sp75_701_5","1.285573",".6686773"
"sp75_705",".3258142",".0946508"
"sp75_805","1.065138",".9537211"
"sp75_815",".9246366",".7953388"
"sp75_825",".6421047",".02776"
"sp75_905","3.66e-09","0"
"sp77_1605",".9310256",".0829086"
"sp77_1915","1.121915",".7388953"
"sp77_205","1.000009",".9998095"
"sp77_305","1","."
"sp77_315","1","."
"sp77_405","3.010304",".0215719"
"sp77_505","1.034492",".6598641"
"sp77_515","1","."
"sp77_605","1","."
"sp77_705","1.341937",".3196742"
"sp77_805","1","."
"sp48_26",".7881852",".3882628"
"sp48_6",".8061441",".2002813"
"sp75_1106",".8443463",".4457452"
"sp75_1106_6","1","."
"sp75_1403_6","1.018589",".2683288"
"sp75_1436",".1136671",".2926146"
"sp75_156","11.67365",".1860059"
"sp75_1712_6",".9339109",".3806893"
"sp75_1726",".9102501",".7288649"
"sp75_506",".8376144",".2246946"
"sp75_516","1.049185",".4562083"
"sp75_606",".9566335",".2483012"
"sp75_706",".9098636",".732341"
"sp75_806",".166094",".1119466"
"sp75_816",".9579002",".7929113"
"sp77_1106","1","."
"sp77_1606","1.077919",".237033"
"sp77_1906",".3771424",".1257776"
