"","est1",""
"","b","p"
"dv","",""
"p48_ss_1lag",".9655158",".4047058"
"p75_ss_1lag",".9986295",".4155896"
"mine_time","1.029846",".0913318"
"onsite_insp_hours",".9992934",".0002896"
"1.state",".9916279",".9467987"
"2.state","1.521875","1.55e-06"
"3.state",".6064517",".0096265"
"4.state","1.318642",".0011668"
"5.state","1.118364",".1396366"
"6.state","1","."
"9.state",".6139143","1.60e-10"
"10.state",".9583668",".5813965"
"11.state","1.493183","3.32e-06"
"15.state",".9774096",".8441806"
"16.state","1.004221",".9768164"
"1.time","1","."
"2.time",".8946733",".3281291"
"3.time",".94175",".5654064"
"4.time",".8416757",".1914477"
"5.time",".7348237",".0215379"
"6.time",".8639534",".3073202"
"7.time",".9193749",".5708088"
"8.time",".6478907",".0274522"
"9.time",".6473358",".0113347"
"10.time",".6842427",".0329508"
"11.time",".7667444",".1829545"
"12.time",".6460355",".0909094"
"13.time",".6595521",".0891919"
"14.time",".5102075",".0071059"
"15.time",".6455498",".1088158"
"16.time",".5067429",".0255189"
"17.time",".5390932",".032219"
"18.time",".4781293",".0234758"
"19.time",".5241163",".0563266"
"20.time",".4854395",".0501159"
"21.time",".4382258",".0182582"
"22.time",".41407",".0236523"
"23.time",".4269609",".0296666"
"24.time",".4067636",".0230285"
"25.time",".3847449",".0223859"
"26.time",".3313704",".0135073"
"27.time",".3081748",".0087457"
"28.time",".2942835",".0076194"
"29.time",".2815657",".0073179"
"30.time",".271208",".0125215"
"31.time",".3080199",".0241141"
"32.time",".2495553",".0127591"
"33.time",".2346046",".0130732"
"34.time",".2629886",".0174503"
"35.time",".2240284",".0138564"
"36.time",".1690383",".0029733"
"37.time",".2228205",".0118398"
"38.time",".1674683",".004582"
"39.time",".19747",".0164842"
"40.time",".1642051",".007482"
"41.time",".1840766",".0146843"
"42.time",".1678279",".014308"
"43.time",".2047131",".0359056"
"44.time",".1242137",".0065661"
"45.time",".1610162",".0172036"
"46.time",".1681794",".0246872"
"47.time",".1694606",".0276949"
"48.time",".1345715",".0136212"
"49.time",".1494006",".0276096"
"50.time",".1172194",".0137919"
"51.time",".1822594",".0564555"
"52.time",".1314524",".023108"
"53.time",".137636",".0279761"
"N","2111",""
