"","est1",""
"","b","p"
"dv","",""
"p48_c_lag_all",".9939468",".5990773"
"p75_c_lag_all","1.000009",".8152553"
"mine_time","1.016045",".5515798"
"onsite_insp_hours",".9991833",".0001044"
"1.state",".9939627",".9667033"
"3.state",".6177985",".0273251"
"4.state","1.287935",".0004752"
"5.state","1.141893",".4798159"
"6.state","1","."
"9.state",".6030586","2.54e-08"
"10.state",".9757328",".87107"
"11.state","1.486216",".0000274"
"15.state",".9811021",".8760881"
"16.state",".9800394",".920841"
"1.time","1","."
"2.time",".9339278",".5665499"
"3.time",".9830839",".8838792"
"4.time",".8851505",".4057206"
"5.time",".8206065",".2071713"
"6.time",".9096012",".5900603"
"7.time","1.029971",".8749936"
"8.time",".7447498",".2247802"
"9.time",".7286084",".1607424"
"10.time",".7840035",".3414379"
"11.time",".9564078",".8741003"
"12.time",".7460999",".4096339"
"13.time",".7552315",".4066585"
"14.time",".5789859",".1349019"
"15.time",".7708811",".5075504"
"16.time",".6477016",".3175163"
"17.time",".6488176",".3123011"
"18.time",".6125036",".3029606"
"19.time",".6957326",".4600464"
"20.time",".6513491",".4120601"
"21.time",".5685893",".2723918"
"22.time",".5664957",".3185571"
"23.time",".6075628",".3843546"
"24.time",".5977395",".3770151"
"25.time",".5746514",".3720611"
"26.time",".4909967",".2752016"
"27.time",".480464",".2698597"
"28.time",".4421697",".2306836"
"29.time",".4510409",".254693"
"30.time",".4358179",".2750525"
"31.time",".491539",".3616195"
"32.time",".4119033",".2800702"
"33.time",".4051564",".2852607"
"34.time",".4438383",".3331361"
"35.time",".3926168",".2939877"
"36.time",".3087561",".1832706"
"37.time",".3699949",".2623141"
"38.time",".2931442",".1943817"
"39.time",".3597498",".2976538"
"40.time",".3019913",".2281654"
"41.time",".354087",".3109259"
"42.time",".316097",".278079"
"43.time",".3923734",".3950533"
"44.time",".2246003",".1837126"
"45.time",".329501",".3263744"
"46.time",".3346719",".3463171"
"47.time",".3465867",".3637254"
"48.time",".2721731",".2785675"
"49.time",".3087511",".3459345"
"50.time",".2564228",".2799517"
"51.time",".3873307",".4586767"
"52.time",".2866119",".3358569"
"53.time",".3138658",".376819"
"N","1751",""
