"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp",".9986484",".2094947"
"sp48_24_pp","1","."
"sp48_25_pp","1.001654",".0412457"
"sp48_26_pp","1.001311",".5808197"
"sp48_27_pp",".9990642",".5976215"
"sp48_28_pp","1.000768",".7835154"
"sp48_4_pp","1","."
"sp48_5_pp","1.001665",".46452"
"sp48_6_pp",".9993875",".5368367"
"sp48_7_pp",".9987776",".0373857"
"sp48_8_pp","1.003423",".0043528"
"sp75_100_pp","1.000056",".9877853"
"sp75_1002_pp",".9998703",".8415867"
"sp75_1003_pp",".9994216",".1487904"
"sp75_1003_2_pp","1.001895",".109225"
"sp75_1311_pp","1.003882",".328209"
"sp75_1315_pp","1","."
"sp75_1316_pp","1.001716",".052924"
"sp75_1318_pp","1","."
"sp75_1400_pp",".9978106",".2742073"
"sp75_1400_1_pp","1.003162",".6564485"
"sp75_1403_10_pp","1.000844",".1683586"
"sp75_1403_5_pp",".9999546",".8740358"
"sp75_1403_6_pp",".9998005",".3446276"
"sp75_1403_7_pp","1.000291",".8215189"
"sp75_1403_8_pp",".9995604",".0015864"
"sp75_1404_pp","1","."
"sp75_1404_1_pp","1","."
"sp75_1405_pp","1.00002",".9409801"
"sp75_1405_1_pp","1","."
"sp75_153_pp","1.004137",".1766579"
"sp75_156_pp",".7940911","0"
"sp75_160_pp","1","."
"sp75_1719_2_pp","1.004998",".1386709"
"sp75_1719_4_pp",".9992332",".369348"
"sp75_1720_pp","1.000708",".4934921"
"sp75_1725_pp",".9999814",".8901015"
"sp75_1906_pp",".9975716",".0742524"
"sp75_1916_pp",".9998374",".880082"
"sp75_203_pp","1.001285",".0167673"
"sp75_204_pp",".999972",".9703281"
"sp75_205_pp",".9945194",".4331253"
"sp75_207_pp",".9805323","7.97e-11"
"sp75_208_pp",".9996696",".6015511"
"sp75_209_pp",".9989153",".514702"
"sp75_212_pp","1.002624",".1003658"
"sp75_213_pp","1.00192",".1245288"
"sp75_215_pp","1","."
"sp75_332_pp","1.004829",".0905822"
"sp75_334_pp","1.000557",".707796"
"sp75_337_pp","1.00004",".885651"
"sp75_340_pp","1.000138",".5826479"
"sp75_343_pp","1.000001",".9995178"
"sp75_373_pp","1","."
"sp75_388_pp",".8016008","0"
"sp75_389_pp","1.003098",".1485647"
"sp75_500_pp",".9994689",".7826072"
"sp75_500_1_pp","1","."
"sp75_501_pp",".9964683",".1522197"
"sp75_501_2_pp",".999247",".939171"
"sp75_502_pp","1.007886",".0064309"
"sp75_503_pp","1.00007",".5477509"
"sp75_505_pp","1.003019",".6450518"
"sp75_506_1_pp",".9953779",".31877"
"sp75_507_pp",".9972534",".1410288"
"sp75_507_1_pp","1.00067",".2265485"
"sp75_508_1_pp","1","."
"sp75_509_pp",".9993472",".7871731"
"sp75_510_pp",".9956132",".2368147"
"sp75_512_1_pp","1","."
"sp75_523_pp",".9986407",".3452564"
"sp75_523_3_pp",".9999928",".9815758"
"sp75_524_pp",".9977626",".1721014"
"sp75_602_pp",".9996525",".7503088"
"sp75_603_pp","1.016698","3.33e-06"
"sp75_604_pp","1.000046",".854625"
"sp75_605_pp","1.000639",".330533"
"sp75_606_pp",".9995",".187222"
"sp75_607_pp",".99971",".8612514"
"sp75_703_3_pp",".9976966",".537062"
"sp75_703_4_pp","1","."
"sp75_807_pp",".9996658",".263928"
"sp75_810_pp",".9942208",".0021206"
"sp75_811_pp","1.002991",".0092293"
"sp75_812_pp",".9970633",".2509057"
"sp75_816_pp",".9990989",".2638737"
"sp75_817_pp","1.001658",".5343492"
"sp75_906_pp","1.018046","4.19e-08"
"mine_time","1.025536",".0924371"
"onsite_insp_hours",".999433",".0000358"
"1.state","1.107529",".4970027"
"2.state","1.690554","2.90e-06"
"3.state",".5832267",".0012277"
"4.state","2.046691",".0000126"
"5.state","1.025575",".8362525"
"6.state","1","."
"9.state",".6390213",".0001135"
"10.state","1.117891",".3448018"
"11.state","1.974487","1.27e-07"
"15.state",".9839831",".8980149"
"16.state",".9778089",".8542535"
"17.time","1","."
"18.time",".8960302",".364837"
"19.time","1.032775",".8084477"
"20.time",".8768376",".4107313"
"21.time",".8567863",".2736547"
"22.time",".8416545",".2171203"
"23.time",".8195023",".2563474"
"24.time",".7814025",".1314351"
"25.time",".7467638",".1095567"
"26.time",".6608445",".0297243"
"27.time",".6092953",".0135054"
"28.time",".5409525",".0072148"
"29.time",".5591071",".0112087"
"30.time",".5508326",".0185152"
"31.time",".6072274",".0448654"
"32.time",".4731744",".0098098"
"33.time",".4843131",".0116233"
"34.time",".5518882",".0275595"
"35.time",".4368374",".0094607"
"36.time",".3271522",".0003248"
"37.time",".433117",".008122"
"38.time",".3320704",".0009034"
"39.time",".4131859",".0211166"
"40.time",".3288659",".0045724"
"41.time",".3588774",".0085945"
"42.time",".3296258",".0070858"
"43.time",".4045003",".0493894"
"44.time",".2500472",".0021713"
"45.time",".3292592",".0131849"
"46.time",".3391437",".0220558"
"47.time",".348841",".0318892"
"48.time",".2562359",".0055993"
"49.time",".288694",".0177431"
"50.time",".2350056",".006663"
"51.time",".3751999",".0864571"
"52.time",".285202",".0282739"
"53.time",".2941002",".0314566"
"N","1165",""
