"","est1",""
"","b","p"
"dv","",""
"sp48_11",".99058",".8910282"
"sp75_1311","1.393255",".2221172"
"sp75_1400_1","1.415937",".1503915"
"sp75_1404_1","1","."
"sp75_1405_1",".5070282",".0093413"
"sp75_500_1","1","."
"sp75_501",".9725087",".8470955"
"sp75_506_1",".8766117",".4566448"
"sp75_507_1","1.067446",".2327037"
"sp75_508_1","1","."
"sp75_512_1","7.95e-08","0"
"sp75_811","1.042986",".4681198"
"sp75_1002",".9937673",".8736502"
"sp75_1003_2","1.21158",".1838071"
"sp75_1322","1.475519",".1511638"
"sp75_1719_2","1.092024",".5101056"
"sp75_212","1.106574",".0139832"
"sp75_332","1.256627",".2288088"
"sp75_501_2",".5501598",".0603188"
"sp75_502","1.105059",".6125325"
"sp75_602",".8709162",".1468412"
"sp75_812",".9136628",".7052029"
"sp75_1003",".9264197",".0021993"
"sp75_153","1.339263",".256759"
"sp75_203","1.07314",".0157257"
"sp75_213","1.101787",".2409193"
"sp75_343","1.016397",".7978792"
"sp75_373","1","."
"sp75_503",".9975126",".7023"
"sp75_523",".9718745",".6986957"
"sp75_523_3",".9700353",".1291774"
"sp75_603",".8601939",".5731767"
"sp75_703_3",".5754752",".0195759"
"sp48_24","1","."
"sp48_4","1","."
"sp75_1404",".7021982",".0968192"
"sp75_1719_4","1.020946",".6917014"
"sp75_204","1.078282",".0680327"
"sp75_334",".9900448",".9128349"
"sp75_524",".8443998",".21953"
"sp75_604","1.003602",".8017921"
"sp75_703_4","1","."
"sp48_25",".9818348",".8795365"
"sp48_5","1.258059",".0916926"
"sp75_1315","1","."
"sp75_1403_5",".9700097",".0276667"
"sp75_1405",".9802553",".2621707"
"sp75_155","1.333074",".2999203"
"sp75_1725",".9921479",".3477995"
"sp75_205",".6553049",".0418944"
"sp75_215",".8360382",".5230698"
"sp75_505","1.103896",".7163519"
"sp75_605","1.013455",".7177651"
"sp48_26","1.203421",".3790721"
"sp48_6",".9714161",".717332"
"sp75_1316","1.088773",".3784389"
"sp75_1403_6",".9900074",".3916556"
"sp75_156","1.44e-07","0"
"sp75_1906",".939654",".3291551"
"sp75_1916",".8810658",".0526929"
"sp75_606",".9800835",".3718367"
"sp75_816",".9117712",".1076183"
"sp75_906","2.435982","4.65e-06"
"sp48_27",".9175419",".4484552"
"sp48_7",".9709201",".7392029"
"sp75_1403_7","1.083333",".0542654"
"sp75_207",".5730814",".0073205"
"sp75_327","1","."
"sp75_337","1.019548",".5711214"
"sp75_507",".8868504",".3157044"
"sp75_607","1.218011",".0880048"
"sp75_807","1.014416",".4861178"
"sp75_817",".9222486",".7089451"
"sp48_28",".9070325",".5125914"
"sp48_8","1.097287",".3976976"
"sp75_1318","6.155099","0"
"sp75_1403_8",".9663079","2.02e-06"
"sp75_208","1.010568",".7278538"
"sp75_388",".5687246",".0486857"
"sp75_209",".932387",".5363825"
"sp75_389","2.537403",".0017385"
"sp75_509",".9909375",".9532602"
"sp75_100","1.15277",".5551918"
"sp75_1400","1.029886",".5480865"
"sp75_1403_10","1.015824",".4643456"
"sp75_160","1","."
"sp75_1720","1.008626",".904947"
"sp75_340",".9762144",".108629"
"sp75_500","1.011539",".9084832"
"sp75_510",".6970589",".1083764"
"sp75_810",".8936968",".1244918"
"mine_time","1.028418",".0866631"
"onsite_insp_hours",".9995326",".0140988"
"1.state",".9929621",".9564323"
"2.state","1.55069","1.69e-06"
"3.state",".6094237",".0125108"
"4.state","1.340361",".098986"
"5.state","1.126287",".2521989"
"6.state","1","."
"9.state",".6394289","1.37e-06"
"10.state","1.117361",".276934"
"11.state","1.5262","7.41e-06"
"15.state","1.037777",".7324874"
"16.state","1.133386",".3759858"
"1.time","1","."
"2.time",".8960111",".3172164"
"3.time",".9885838",".9199634"
"4.time",".8901027",".3255034"
"5.time",".7671966",".038892"
"6.time",".897732",".4178721"
"7.time",".9461934",".6989216"
"8.time",".6901158",".0509651"
"9.time",".6665056",".0181522"
"10.time",".6874127",".037838"
"11.time",".7540484",".1332248"
"12.time",".6683303",".0628616"
"13.time",".705958",".121642"
"14.time",".5703606",".0167704"
"15.time",".6985688",".1610864"
"16.time",".5115242",".0217279"
"17.time",".559521",".0385391"
"18.time",".4992619",".0255423"
"19.time",".5563462",".0704773"
"20.time",".4918706",".0366821"
"21.time",".4568768",".0186371"
"22.time",".4301748",".0210054"
"23.time",".4357665",".0256965"
"24.time",".4241267",".0229317"
"25.time",".399569",".018196"
"26.time",".3423598",".0114915"
"27.time",".3296399",".0085931"
"28.time",".2899876",".0044125"
"29.time",".2847968",".0044082"
"30.time",".2748525",".0084478"
"31.time",".2995074",".0130611"
"32.time",".2354855",".0061088"
"33.time",".2406283",".0090719"
"34.time",".2621401",".0105085"
"35.time",".220018",".0084588"
"36.time",".1620232",".0015805"
"37.time",".218353",".0074283"
"38.time",".1583908",".0018638"
"39.time",".1926829",".0101832"
"40.time",".1549973",".0036676"
"41.time",".1812552",".0092865"
"42.time",".1559397",".0071462"
"43.time",".188683",".0199924"
"44.time",".1272199",".0040143"
"45.time",".157071",".0106925"
"46.time",".1569788",".0121828"
"47.time",".1604433",".0148826"
"48.time",".1242747",".0067782"
"49.time",".1335768",".0128105"
"50.time",".1125466",".0070211"
"51.time",".16727",".0323569"
"52.time",".1247531",".0137739"
"53.time",".1307098",".0167481"
"N","2143",""
