"","est1",""
"","b","p"
"dv","",""
"p48_ss_1lag",".9788074",".4364839"
"p75_ss_1lag","1.000252",".7419915"
"mine_time","1.199027",".0259589"
"onsite_insp_hours",".9997609",".0004725"
"1.state","1.040895",".7515141"
"2.state","1.275498",".0080994"
"3.state",".6926182",".0497866"
"4.state","1.281559",".0085039"
"5.state","1.079823",".2740495"
"6.state","1","."
"9.state",".6092938","5.33e-11"
"10.state",".9823486",".8092352"
"11.state","1.546227","6.08e-08"
"15.state",".9673655",".7975281"
"16.state","1.031915",".7771538"
"1.time","1","."
"2.time",".81638",".0449647"
"3.time",".6573389",".0116287"
"4.time",".5379387",".0126052"
"5.time",".4463942",".0172375"
"6.time",".3537959",".010983"
"7.time",".2636491",".0059962"
"8.time",".2014711",".0049774"
"9.time",".1547097",".004249"
"10.time",".1223083",".0045574"
"11.time",".1093022",".007383"
"12.time",".0920681",".0071843"
"13.time",".0807524",".0098119"
"N","503",""
