"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_c_lag_all","1.000214",".4049365"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.000139",".4802167"
"sp48_26_pp_c_lag_all","1.000305",".6078133"
"sp48_27_pp_c_lag_all","1.000114",".8219256"
"sp48_28_pp_c_lag_all",".9998024",".7539246"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all",".99944",".4692074"
"sp48_6_pp_c_lag_all","1.000297",".045845"
"sp48_7_pp_c_lag_all",".999706",".1058201"
"sp48_8_pp_c_lag_all",".9993217",".3639757"
"sp75_100_pp_c_lag_all","1.001253",".0619883"
"sp75_1002_pp_c_lag_all",".9999186",".4931957"
"sp75_1003_pp_c_lag_all",".99985",".1169377"
"sp75_1003_2_pp_c_lag_all","1.0002",".7142183"
"sp75_1311_pp_c_lag_all","1.003902",".2354779"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".9997488",".4234367"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9991833",".1584072"
"sp75_1400_1_pp_c_lag_all",".9972081",".003753"
"sp75_1403_10_pp_c_lag_all",".9999853",".8013969"
"sp75_1403_5_pp_c_lag_all",".999883",".0022528"
"sp75_1403_6_pp_c_lag_all","1.000012",".5767106"
"sp75_1403_7_pp_c_lag_all","1.000255",".3289699"
"sp75_1403_8_pp_c_lag_all","1.000018",".6533986"
"sp75_1404_pp_c_lag_all","1.001434",".5253364"
"sp75_1404_1_pp_c_lag_all","1","."
"sp75_1405_pp_c_lag_all",".9997728",".0001072"
"sp75_1405_1_pp_c_lag_all","1.000152",".9428548"
"sp75_153_pp_c_lag_all",".9996564",".8774028"
"sp75_156_pp_c_lag_all",".9972577",".098289"
"sp75_160_pp_c_lag_all","1","."
"sp75_1719_2_pp_c_lag_all",".9964556",".1881105"
"sp75_1719_4_pp_c_lag_all","1.000037",".8036832"
"sp75_1720_pp_c_lag_all","1.000615",".0063039"
"sp75_1725_pp_c_lag_all","1.000011",".5227987"
"sp75_1906_pp_c_lag_all",".9995315",".032784"
"sp75_1916_pp_c_lag_all","1.000171",".4209834"
"sp75_203_pp_c_lag_all",".9999685",".674223"
"sp75_204_pp_c_lag_all",".9999206",".5581451"
"sp75_205_pp_c_lag_all","1.004221",".0138365"
"sp75_207_pp_c_lag_all","1.000772",".50168"
"sp75_208_pp_c_lag_all","1.00005",".590882"
"sp75_209_pp_c_lag_all","1.000274",".5113026"
"sp75_212_pp_c_lag_all",".9996098",".2482242"
"sp75_213_pp_c_lag_all",".9998896",".827811"
"sp75_215_pp_c_lag_all","1","."
"sp75_332_pp_c_lag_all",".9994609",".3216523"
"sp75_334_pp_c_lag_all","1.000093",".7195085"
"sp75_337_pp_c_lag_all",".9998405",".2970292"
"sp75_340_pp_c_lag_all","1.000107",".063025"
"sp75_343_pp_c_lag_all","1.000105",".6872296"
"sp75_373_pp_c_lag_all","1","."
"sp75_388_pp_c_lag_all",".9993032",".5914476"
"sp75_389_pp_c_lag_all",".99797",".0637137"
"sp75_500_pp_c_lag_all","1.000469",".2631878"
"sp75_500_1_pp_c_lag_all","1","."
"sp75_501_pp_c_lag_all","1.0017",".0250475"
"sp75_501_2_pp_c_lag_all",".9976502",".3888409"
"sp75_502_pp_c_lag_all","1.002106",".0298208"
"sp75_503_pp_c_lag_all","1.000021",".2180669"
"sp75_505_pp_c_lag_all","1.001044",".3057714"
"sp75_506_1_pp_c_lag_all",".999999",".9994559"
"sp75_507_pp_c_lag_all",".9998253",".5316557"
"sp75_507_1_pp_c_lag_all",".9998584",".2481402"
"sp75_508_1_pp_c_lag_all","1","."
"sp75_509_pp_c_lag_all",".9996846",".552712"
"sp75_510_pp_c_lag_all","1.00088",".6359819"
"sp75_512_1_pp_c_lag_all","1","."
"sp75_523_pp_c_lag_all","1.000846",".0000754"
"sp75_523_3_pp_c_lag_all",".9999299",".237249"
"sp75_524_pp_c_lag_all","1.000844",".0574148"
"sp75_602_pp_c_lag_all","1.000498",".126406"
"sp75_603_pp_c_lag_all","1.00023",".7828728"
"sp75_604_pp_c_lag_all",".9999568",".0108653"
"sp75_605_pp_c_lag_all","1.000041",".7022353"
"sp75_606_pp_c_lag_all","1.00006",".2630088"
"sp75_607_pp_c_lag_all",".999982",".9652805"
"sp75_703_3_pp_c_lag_all",".9999415",".9316412"
"sp75_703_4_pp_c_lag_all","1","."
"sp75_807_pp_c_lag_all","1.000009",".828926"
"sp75_810_pp_c_lag_all",".999507",".0000375"
"sp75_811_pp_c_lag_all","1.000303",".1646243"
"sp75_812_pp_c_lag_all","1.001916","2.16e-06"
"sp75_816_pp_c_lag_all","1.000395",".0760944"
"sp75_817_pp_c_lag_all","1.000127",".8445558"
"sp75_906_pp_c_lag_all","1","."
"mine_time",".993629",".9375854"
"onsite_insp_hours",".9997391",".0056705"
"1.state",".907212",".7628327"
"2.state","2.877349","8.87e-10"
"3.state",".6498142",".0721721"
"5.state","1.942229",".0897337"
"6.state","1","."
"9.state",".5892772",".0156066"
"10.state","6.543355",".0201861"
"11.state","1.794152",".0896772"
"15.state",".8655409",".7174532"
"16.state","1.047449",".8757525"
"5.time","1","."
"6.time",".8627127",".1728476"
"7.time",".6762518",".0330451"
"8.time",".5950933",".0475396"
"9.time",".5002595",".0496809"
"10.time",".4196991",".0470739"
"11.time",".3709881",".0621101"
"12.time",".3964145",".125189"
"13.time",".3952074",".1722518"
"N","277",""
